昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,その他の和名_1,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,データソース,備考
moth-0179,蛾類,,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Nemapogon,,bidentata,,,,,ウスイロコクガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0180,蛾類,,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Archinemapogon,,bacurianus,,,,,スジモンコクガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0181,蛾類,,Tineidae,ヒロズコガ科,Nemapogoninae,コクガ亜科,,,,,Triaxomera,,puncticulata,,,,,シラホシミヤマヒロズコガ,,,,,,"Triaxomera puncticulata Miyamoto, Hirowatari & Yamamoto, 2002",幼虫はツリガネタケのついているブナ（ブナ科）の枯れ木でよく見られ; その表面で羽化殻が確認されている,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-701,蛾類,701,Tineidae,ヒロズコガ科,Teichobiinae,ウスバヒロズコガ亜科,,,,,Psychoides,,phaedrospora,,,,,ウスバヒロズコガ,,,,,,"Psychoides phaedrospora (Meyrick, 1935)",リョウメンシダの胞子を食する,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-702,蛾類,702,Tineidae,ヒロズコガ科,Myrmecozelinae,フサクチヒロズコガ亜科,,,,,Cephitinea,,colonella,,,,,ナガバヒロズコガ,,,,,,"Cephitinea colonella (Erschoff, 1874)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-704,蛾類,704,Tineidae,ヒロズコガ科,Myrmecozelinae,フサクチヒロズコガ亜科,,,,,Ippa,,conspersa,,,,,マダラマルハヒロズコガ,,,,,,"Ippa conspersa (Matsumura, 1931)",アリの巣の中で; ケアリ属やアミメアリ属の幼虫を食する。また; 昆虫の死骸も与えれば食べる。,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0182,蛾類,,Tineidae,ヒロズコガ科,Myrmecozelinae,フサクチヒロズコガ亜科,,,,,Cephimallota,,chasanica,,,,,ハチノスヒロズコガ,,,,,,"Cephimallota chasanica (Zagulajev, 1965)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-709,蛾類,709,Tineidae,ヒロズコガ科,Myrmecozelinae,フサクチヒロズコガ亜科,,,,,Tineovertex,,melanochryseus,,,,,クロスジキヒロズコガ,,,,,,"Tineovertex melanochryseus (Meyrick, 1911)",枯れ葉,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0183,蛾類,,Tineidae,ヒロズコガ科,Setomorphinae,亜科和名未定,,,,,Setomorpha,,rutella,,,,,ミナミクロマダラヒロズコガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-703,蛾類,703,Tineidae,ヒロズコガ科,Hapsiferinae,デコボコヒロズコガ亜科,,,,,Dasyses,,barbata,,,,,デコボコヒロズコガ,,,,,,"Dasyses barbata (Christoph, 1881)",腐朽木。また; しばしばキノコも関係しているようである,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0184,蛾類,,Tineidae,ヒロズコガ科,Hapsiferinae,デコボコヒロズコガ亜科,,,,,Dasyses,,rugosella,,,,,コブヒロズコガ,,,,,,"Dasyses rugosella (Stainton, 1859)",樹皮。沖縄では立ち枯れのソテツ樹幹から得られている。,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,ナイジェリアやフィリピンでは貯蔵していたヤム（ヤマノイモ科）を食害している。またしばしばキノコも関係しているらしい,,,,
moth-0185,蛾類,,Tineidae,ヒロズコガ科,Hapsiferinae,デコボコヒロズコガ亜科,,,,,Cimitra,,seclusella,,,,,カビラウスチャヒロズコガ,,,,,,"Cimitra seclusella Walker, 1864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-710,蛾類,710,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Trichophaga,,tapetzella,,,,,ジュウタンガ,,,,,,"Trichophaga tapetzella (Linnaeus, 1758)",羊毛と各種毛皮; それらの加工品; 羽毛や鳥のペレット,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-711,蛾類,711,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Niditinea,,tugurialis,,,,,ウスグロイガ,,,,,,"Niditinea tugurialis Meyrick, 1932",哺乳類の毛や鳥類の羽毛; またその加工品。鰹節も食する。フクロウの巣や鳥類のペリットなどから発生する,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-712,蛾類,712,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Niditinea,,striolella,,,,,クロスジイガ,,,,,,"Niditinea striolella (Matsumura, 1931)",哺乳類の毛や鳥類の羽毛と; これらの加工品,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,衣類害虫である,,,,
moth-0186,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Niditinea,,piercella,,,,,ニセウスグロイガ,,,,,,"Niditinea piercella Bentinck, 1935",動物の毛や鳥の羽; 毛織物。ヨーロッパではハトの巣やモグラの巣からも見つかっている,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-713,蛾類,713,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Tineola,,bisselliella,,,,,コイガ,,,,,,"Tineola bisselliella (Hummel, 1823)",羽毛; 動物の毛皮やこれらの加工製品；他にも魚粉などの動物質や; シリアル食品や豆類などの植物性のものでも育つ,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,旧北区において重要な害虫である,,,,
moth-0187,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Tinea,,columbariella,,,,,トリノフンヒロズコガ,,,,,,"Tinea columbariella Wocke, 1877",羽毛; 毛織物; フクロウのペリット,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-714,蛾類,714,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Tinea,,translucens,,,,,イガ,,,,,,"Tinea translucens Meyrick, 1917",毛織物; 羽毛; 動物の毛皮; 魚粉などの動物質,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,世界的に重要な害虫の1つである,,,,
moth-0188,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Tinea,,subalbidella,,,,,アトシロクロテンヒロズコガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-718,蛾類,718,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Monopis,,flavidorsalis,,,,,アトキヒロズコガ,,,,,,"Monopis flavidorsalis (Matsumura, 1931)",哺乳類の毛や鳥類の羽毛と; これらの加工品。他にもフクロウの羽やハイタカのペリット,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0189,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Monopis,,crocicapitella,,,,,アトウスキヒロズコガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-717,蛾類,717,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Monopis,,pavlovskii,,,,,マエモンクロヒロズコガ,,,,,,"Monopis longella (Walker, 1863)",羽毛; 動物の毛皮・糞; 猛禽類のペリット,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0190,蛾類,717,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Monopis,,monachella,,,,,マエシロモンクロヒロズコガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0191,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Monopis,,congestella,,,,,フタモンヒロズコガ,,,,,,"Monopis congestella (Walker, 1864)",鳥の羽; 毛皮; ペレットなどのケラチン質。オオタカとフクロウの巣にある食べ残しの骨についている肉,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0192,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Crypsithyris,,cana,,,,,ハイイロスカシモンヒロズコガ,,,,,,"Crypsithyris cana Sakai & Saigusa, 2002",地衣類; 昆虫の死骸,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-708,蛾類,708,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Crypsithyris,,crococoma,,,,,クロモンチビヒロズコガ,,,,,,"Crypsithyris crococoma Meyrick, 1934",枯れ葉,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0193,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Crypsithyris,,japonica,,,,,ウスグロスカシモンヒロズコガ,,,,,,"Crypsithyris japonica Petersen & Gaedike, 1993",地衣類; 昆虫の死骸,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0194,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Crypsithyris,,saigusai,,,,,コガタスカシモンヒロズコガ,,,,,,"Crypsithyris saigusai Gaedike, 2000",地衣類; 昆虫の死骸,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0195,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Crypsithyris,,"sp. of Nasu et al., 2020",,,,,ミナミウスグロスカシモンヒロズコガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0196,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Crypsithyrodes,,concolorella,,,,,スカシトビイロヒロズコガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0197,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Praeacedes,,atomosella,,,,,ナンヨウヒロズコガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0198,蛾類,,Tineidae,ヒロズコガ科,Tineinae,ヒロズコガ亜科,,,,,Ceratophaga,,"sp. of Nasu et al., 2019",,,,,ヤエヤマクロテンヒロズコガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-722,蛾類,722,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Erechthias,,atririvis,,,,,クロスジツマオレガ,,,,,,"Erechthias atririvis (Meyrick, 1931)",朽ち木; 枯れ木の樹皮,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-723,蛾類,723,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Erechthias,,ioloxa,,,,,チビツマオレガ,,,,,,"Erechthias iolaxa (Meyrick, 1936)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0199,蛾類,,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Erechthias,,itoi,,,,,オガサワラツマオレガ,,,,,,"Erechthias itoi Moriuti & Kadohara, 1994",ヤブニッケイの枯れ枝,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-721,蛾類,721,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Erechthias,,sphenoschista,,,,,ウスモンツマオレガ,,,,,,"Erechthias sphenoschista (Meyrick, 1931)",枯れ木の樹皮,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0200,蛾類,,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Erechthias,,zebrina,,,,,シマチビツマオレガ,,,,,,"Erechthias zebrina (Butler, 1881)",国外における幼虫の食性は; コーラの原料となるヒメコラノキの果実; 綿; 木材となるアゾベの木にできたゴール; 乾燥または腐敗した植物質,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,広食性,,,,
moth-0201,蛾類,,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Erechthias,,minuscula,,,,,ナンヨウヒメツマオレガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-724,蛾類,724,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Comodica,,contributa,,,,,マダラシロツマオレガ,,,,,,"Comodica contributa (Meyrick, 1932)",朽ち木; 枯れ木の樹皮。古くなった竹の柵でも幼虫を採集,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0202,蛾類,,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Comodica,,saitoi,,,,,ミナミマダラシロツマオレガ,,,,,,"Comodica saitoi Moriuti & Kadohara, 1994",枯れ木の樹皮,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0203,蛾類,,Tineidae,ヒロズコガ科,Erechthiinae,ツマオレガ亜科,,,,,Pyloetis,,mimosae,,,,,ギンネムヒロズコガ,,,,,,"Pyloetis mimosae (Stainton, 1859)",沖縄ではびこる外来種のギンネムの豆を食し; 乾燥して茶色くかたくなったものを好む。他にも国外で; ホストとしてさまざまなマメ科が報告されており; アラビアゴムモドキ; ピルマネムノキ; ハブソウ; ナンバンサイカチ; オウコチョウ; シロゴチョウ; キダチデンセイ,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-725,蛾類,725,Tineidae,ヒロズコガ科,Hieroxestinae,メンコガ亜科,,,,,Wegneria,,cerodelta,,,,,アトボシメンコガ,,,,,,"Wegneria cerodelta (Meyrick, 1911)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-726,蛾類,726,Tineidae,ヒロズコガ科,Hieroxestinae,メンコガ亜科,,,,,Opogona,,nipponica,,,,,クロエリメンコガ,,,,,,"Opogona nipponica Stringer, 1930",シナノキの枯れ枝; ホウオウボクの朽ちた梢,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-727,蛾類,727,Tineidae,ヒロズコガ科,Hieroxestinae,メンコガ亜科,,,,,Opogona,,thiadelpha,,,,,モトキメンコガ,,,,,,,Opogona thiadelpha Meyrick; 1934,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0204,蛾類,,Tineidae,ヒロズコガ科,Hieroxestinae,メンコガ亜科,,,,,Opogona,,"sp. of Sakai, 2013",,,,,ヘリグロメンコガ,,,,,,Opogona sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0205,蛾類,,Tineidae,ヒロズコガ科,Hieroxestinae,メンコガ亜科,,,,,Opogona,,sacchari,,,,,クロテンオオメンコガ,,,,,,"Opogona sacchari (Bojer, 1856)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0206,蛾類,,Tineidae,ヒロズコガ科,Harmacloninae,シロナガヒロズコガ亜科,,,,,Micrerethista,,denticulata,,,,,イッテンシロナガヒロズコガ,,,,,,"Micrerethista denticulata Davis, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-706,蛾類,706,Tineidae,ヒロズコガ科,Siloscinae,ホソミヒロズコガ亜科,,,,,Gerontha,,borea,,,,,アトスカシモンヒロズコガ,,,,,,"Gerontia borea Moriuti, 1977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0207,蛾類,,Tineidae,ヒロズコガ科,Siloscinae,ホソミヒロズコガ亜科,,,,,Gerontha,,akahatii,,,,,ミナミスカシモンヒロズコガ,,,,,,"Gerontia akahatii Moriuti, 1989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0208,蛾類,,Tineidae,ヒロズコガ科,Siloscinae,ホソミヒロズコガ亜科,,,,,Autochthonus,,namhaensis,,,,,シマヒロズコガ,,,,,,"Autochthonus namhaensis (Ponomarenko & Park, 1996) comb. nov.",朽ち木の樹皮,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-705,蛾類,705,Tineidae,ヒロズコガ科,Euplocaminae,クシヒゲヒロズコガ亜科,,,,,Psecadioides,,aspersus,,,,,クロクモヒロズコガ,,,,,,"Psecadioides aspersus Butler, 1881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0209,蛾類,,Tineidae,ヒロズコガ科,Euplocaminae,クシヒゲヒロズコガ亜科,,,,,Psecadioides,,tanylopha,,,,,チャイロクシヒゲヒロズコガ,,,,,,"Psecadioides tanylopha (Meyrick, 1932)",朽ち木,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-695,蛾類,695,Tineidae,ヒロズコガ科,incertae sedis,ヒロズコガ科 亜科所属不明,,,,,Pelecystola,,strigosa,,,,,クシヒゲキヒロズコガ,,,,,,"Pelecystola strigosa (Moore, 1888)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0210,蛾類,,Psychidae,ミノガ科,,,,,,,Gen.,,"sp. of Saigusa, 1962",,,,,ヒモミノガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0211,蛾類,,Psychidae,ミノガ科,,,,,,,Gen.,,"sp. of Nakamura, 1977",,,,,キノコヒモミノガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-719,蛾類,719,Psychidae,ミノガ科,,,,,,,Ceratosticha,,leptodeta,,,,,ヒロズミノガ,,,,,,"Ceratosticha leptodeta Meyrick, 1935",地衣類,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0212,蛾類,,Psychidae,ミノガ科,,,,,,,Ceratosticha,,"sp. of Saigusa, 2013",,,,,オオヒロズミノガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0213,蛾類,,Psychidae,ミノガ科,,,,,,,Eumasia,,viridilichenella,,,,,ミドリチイヒロズミノガ,,,,,,"Eumasia viridilichenella Saigusa & Sugimoto, 2005",粉状地衣類,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0214,蛾類,,Psychidae,ミノガ科,,,,,,,Eumasia,,muscella,,,,,コケヒロズミノガ,,,,,,"Eumasia muscella Saigusa & Sugimoto, 2005",蘚類,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0215,蛾類,,Psychidae,ミノガ科,,,,,,,Anatolopsyche,,stylifera,,,,,ヨナグニマダラミノガ,,,,,,"Anatolopsyche stylifera Sugimoto & Saigusa, 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0216,蛾類,,Psychidae,ミノガ科,,,,,,,Diplodoma,,laichartingella,,,,,フタエミツカドチビミノガ,,,,,,"Diplodoma laichartingella (Goeze, 1783)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,大阪府犬鳴山では地上のキノコ類を食べている幼虫が採集されている。ヨーロッパではさまざまな場所の地衣類; 腐敗した植物質; 昆虫の死骸; はげた樹皮下のクモの巣もなども食べることが記録されている,,,,
moth-0217,蛾類,,Psychidae,ミノガ科,,,,,,,Trigonodoma,,japonica,,,,,ミツカドチビミノガ,,,,,,"Trigonodoma japonica Sugimoto & Saigusa, 2004",飼育条件下では緑色藻類; エノキタケ; 乾燥した小昆虫の死骸; 麩,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-676,蛾類,676,Psychidae,ミノガ科,,,,,,,Paranarychia,,albomaculatella,,,,,シロテンチビミノガ,,,,,,"Paranarychia albomaculatella Saigusa, 1961",粉状地衣類,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,岩石表面上の白色緑色の粉状地衣類,,,,
moth-0218,蛾類,,Psychidae,ミノガ科,,,,,,,Narycia,,emikoae,,,,,シモフリチビミノガ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-677,蛾類,677,Psychidae,ミノガ科,,,,,,,Siederia,,listerella,,,,,ウスシロテンチビミノガ,,,,,,"Siederia listerella (Linnaeus, 1758)",地衣類,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,地衣類キゴケ属Stereocaulonの仲間など。ヨーロッパではChloridiiumやDematiumなどの地衣類を食べることが記録されている。飼育条件下では蘚類、エノキタケなどのキノコ類も食べる,,,,
catalog-678,蛾類,678,Psychidae,ミノガ科,,,,,,,Dahlica,,parthenogenesis,,,,,パルテノスチビミノガ,,,,,,"Dahlica parthenogenesis (Saigusa, 1961)",自然状態では地表のさまざまな有機物を食べていると推定される。,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,飼育条件下ではキノコ類や陸生藻類などを食べる,,,,
catalog-683,蛾類,683,Psychidae,ミノガ科,,,,,,,Kozhantshikovia,,vernalis,,,,,ハルノチビミノガ,,,,,,"Kozhantshikovia vernalis Saigusa, 1961",自然状態では地表近くや朽ち木下面などに生じるキノコ類（担子体）; カビ類（糸状体）などを食べているのが観察されている。,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,飼育条件下では地衣類; 蘚類; エノキタケ; クスノキの柔らかい樹皮などを食べる,,,,
catalog-684,蛾類,684,Psychidae,ミノガ科,,,,,,,Kozhantshikovia,,aestivalis,,,,,ナツノチビミノガ,,,,,,"Kozhantshikovia aestivalis Saigusa, 1961",前種と大差ないと推定される,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-679,蛾類,679,Psychidae,ミノガ科,,,,,,,Taleporia,,shosenkyoensis,,,,,トガリチビミノガ,,,,,,"Taleporia shosenkyoensis Saigusa, 1961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-680,蛾類,680,Psychidae,ミノガ科,,,,,,,Taleporia,,amariensis,,,,,アマリチビミノガ,,,,,,"Taleporia amariensis Saigusa, 1961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,飼育条件下では古い木材に生える陸生緑色藻類; 乾燥した昆虫の死骸などを食べる,,,,
catalog-681,蛾類,681,Psychidae,ミノガ科,,,,,,,Taleporia,,trichopterella,,,,,ハイイロチビミノガ,,,,,,"Taleporia trichopterella Saigusa, 1961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,飼育条件下では; 緑色地上性藻類; エノキタケ; 乾燥した昆虫の死骸; ゆで卵の黄身などを食べて成長する,,,,
