昆虫ID,分類群,大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族名_1,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,その他の和名_1,標準図鑑以後の変更,学名,主要食草1,主要食草科1,観察タイプ1,利用部位1,利用ステージ1,出典1,食草備考1,主要食草2,主要食草科2,観察タイプ2,利用部位2,利用ステージ2,出典2,食草備考2,主要食草3,主要食草科3,観察タイプ3,利用部位3,利用ステージ3,出典3,食草備考3,主要食草4,主要食草科4,観察タイプ4,利用部位4,利用ステージ4,出典4,食草備考4,主要食草5,主要食草科5,観察タイプ5,利用部位5,利用ステージ5,出典5,食草備考5,データソース,備考
catalog-4,蛾類,4,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,nipponensis,,,,,ニッポンヒロコバネ,,,,,,"Neomicropteryx nipponensis Issiki, 1931",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0012,蛾類,,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,kiwana,,,,,キイヒロコバネ,,,,,,"Neomicropteryx kiwana Hashimoto, 2006",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0013,蛾類,,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,redacta,,,,,オワセヒロコバネ,,,,,,"Neomicropteryx redacta Hashimoto, 2006",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-5,蛾類,5,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,matsumurana,,,,,マツムラヒロコバネ,,,,,,"Neomicropteryx matsumurana Issiki, 1931",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-6,蛾類,6,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,bifurca,,,,,サンダンキョウヒロコバネ,,,,,,"Neomicropteryx bifurca Issiki, 1953",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-8,蛾類,8,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,cornuta,,,,,イシヅチヒロコバネ,,,,,,"Neomicropteryx cornuta Issiki, 1953",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-7,蛾類,7,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,elongata,,,,,ツルギヒロコバネ,,,,,,"Neomicropteryx elongata Issiki, 1953",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0014,蛾類,,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,kazusana,,,,,カズサヒロコバネ,,,,,,"Neomicropteryx kazusana Hashimoto, 1992",ジャゴケ（ジャゴケ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
catalog-13,蛾類,13,Eriocraniidae,スイコバネガ科,,,,,,,Issikiocrania,,japonicella,,,,,イッシキスイコバネ,,,,,,"Issikiocrania japonicella Moriuti, 1982",ブナ（ブナ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0015,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,unimaculella,,,,,シロテンスイコバネ,,,,,,"Eriocrania unimaculella (Zetterstedt, 1839)",シラカンバ（カバノキ科）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
moth-0016,蛾類,,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,komaii,,,,,ムラサキマダラスイコバネ,,,,,,"Eriocrania komaii Mizukawa, Hirowatari & Hashimoto, 2006",ウラジロノキ（可能性が高い）,,野外（国内）,葉,幼虫,ListMJ_hostplants_master,,,,,,,,,,,,,,,,,,,,,,,,,,ListMJ_hostplants_master.csv,,,,,
