all_name,Hub name,lato/stricto,Family ID,Family name,Family name (JP),GL,SF,WF,YL,status,message
ヒメヨウラクヒバ,ヒメヨウラクヒバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00022,SF_00030,#N/A,YL_00010,確定,
ヒモスギラン,ヒモスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00019,SF_00031,#N/A,YL_00004,確定,
ヒモヅル,ヒモヅル,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00010,SF_00009,#N/A,YL_00031,確定,
ヒモラン,ヒモラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00023,SF_00032,#N/A,YL_00018,確定,
ヒロハスギカズラ,スギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00009,SF_00003,#N/A,YL_00028,確定,
ヒロハトウゲシバ,トウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00003,SF_00014,#N/A,YL_00013,確定,トウゲシバ/ヒロハトウゲシバ
ヒロハトウゲシバ,ヒロハトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00016,#N/A,#N/A,確定,トウゲシバ/ヒロハトウゲシバ
ヒロハノスギカズラ,スギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00009,SF_00003,#N/A,YL_00028,確定,スギカズラ/ヒロハノスギカズラ
ヒロハノスギカズラ,ヒロハノスギカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00030,確定,スギカズラ/ヒロハノスギカズラ
ヒロハノトウゲシバ,ヒロハトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00016,#N/A,#N/A,確定,ヒロハトウゲシバ/ヒロハノトウゲシバ
ヒロハノトウゲシバ,ヒロハノトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00017,確定,ヒロハトウゲシバ/ヒロハノトウゲシバ
ボウカズラ,ボウカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00016,SF_00025,#N/A,YL_00001,確定,
ホソバトウゲシバ,トウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00003,SF_00014,#N/A,YL_00013,確定,トウゲシバ/ホソバトウゲシバ
ホソバトウゲシバ,ホソバトウゲシバ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,SF_00015,#N/A,YL_00016,確定,トウゲシバ/ホソバトウゲシバ
ホソヒモヨウラクヒバ,ヒモスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00019,SF_00031,#N/A,YL_00004,確定,
マンネンスギ,マンネンスギ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00015,SF_00004,#N/A,YL_00036,確定,
ミズスギ,ミズスギ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00006,SF_00012,#N/A,YL_00025,確定,
ミヤマヒカゲノカズラ,チシマヒカゲノカズラ/ミヤマヒカゲノカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00008,SF_00007,#N/A,YL_00027,確定,
ムカデカズラ,ムカデカズラ,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00021,確定,
ヤチスギラン,ヤチスギラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00007,SF_00010,#N/A,YL_00026,確定,
ヨウラクヒバ,ヨウラクヒバ,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00021,SF_00029,#N/A,YL_00008,確定,
リュウキュウヒモラン,ヒモラン,,1,Lycopodiaceae,ヒカゲノカズラ,GL_00023,SF_00032,#N/A,YL_00018,確定,ヒモラン/リュウキュウヒモラン
リュウキュウヒモラン,リュウキュウヒモラン,,1,Lycopodiaceae,ヒカゲノカズラ,#N/A,#N/A,#N/A,YL_00019,確定,ヒモラン/リュウキュウヒモラン
イケニラ,ミズニラ,,2,Isoëtaceae,ミズニラ,GL_00025,SF_00052,#N/A,YL_00043,確定,
エゾミズニラ,ヒメミズニラ,,2,Isoëtaceae,ミズニラ,GL_00024,SF_00051,#N/A,YL_00041,確定,
オオバシナミズニラ,オオバシナミズニラ,,2,Isoëtaceae,ミズニラ,GL_00027,SF_00055,#N/A,YL_00047,確定,
サイシュウミズニラ,サイシュウミズニラ,,2,Isoëtaceae,ミズニラ,#N/A,#N/A,#N/A,YL_00044,確定,
シナミズニラ,シナミズニラ,広義,2,Isoëtaceae,ミズニラ,#N/A,#N/A,#N/A,YL_00046,確定,シナミズニラ広義/狭義
シナミズニラ,シナミズニラ,狭義,2,Isoëtaceae,ミズニラ,GL_00028,SF_00054,#N/A,#N/A,確定,シナミズニラ広義/狭義
タイワンミズニラ,タイワンミズニラ,,2,Isoëtaceae,ミズニラ,#N/A,#N/A,#N/A,YL_00048,確定,
タンナミズニラ,タンナミズニラ,,2,Isoëtaceae,ミズニラ,#N/A,#N/A,#N/A,YL_00042,確定,
ヒメミズニラ,ヒメミズニラ,,2,Isoëtaceae,ミズニラ,GL_00024,SF_00051,#N/A,YL_00041,確定,
ミズニラ,ミズニラ,,2,Isoëtaceae,ミズニラ,GL_00025,SF_00052,#N/A,YL_00043,確定,
ミズニラモドキ,ミズニラモドキ,,2,Isoëtaceae,ミズニラ,GL_00026,SF_00053,#N/A,YL_00045,確定,
ミチノクミズニラ,ミチノクミズニラ,,2,Isoëtaceae,ミズニラ,GL_00029,SF_00056,#N/A,YL_00049,確定,
アシブトカタヒバ,イワヒバモドキ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00075,確定,
アマミクラマゴケ,アマミクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00037,SF_00044,#N/A,YL_00062,確定,
イヌカタヒバ,イヌカタヒバ,,3,Selaginellaceae,イワヒバ,GL_00039,SF_00048,#N/A,YL_00064,確定,
イヌコケカタヒバ,イヌコケカタヒバ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00052,確定,
イワヒバ,イワヒバ,,3,Selaginellaceae,イワヒバ,GL_00046,SF_00034,#N/A,YL_00076,確定,
イワヒバモドキ,イワヒバモドキ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00075,確定,
イワマツ,イワヒバ,,3,Selaginellaceae,イワヒバ,GL_00046,SF_00034,#N/A,YL_00076,確定,
エゾクラマゴケ,エゾノヒメクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00034,SF_00042,#N/A,YL_00058,確定,
エゾノヒメクラマゴケ,エゾノヒメクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00034,SF_00042,#N/A,YL_00058,確定,
エゾノヒモカズラ,エゾノヒモカズラ,,3,Selaginellaceae,イワヒバ,GL_00044,SF_00036,#N/A,YL_00073,確定,
オニクラマゴケ,オニクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00032,SF_00046,#N/A,YL_00056,確定,
カタヒバ,カタヒバ,,3,Selaginellaceae,イワヒバ,GL_00036,SF_00047,#N/A,YL_00060,確定,
カタヒバモドキ,タカオクラマゴケ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00067,確定,
キールンクラマゴケ,クラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00041,SF_00037,#N/A,YL_00066,確定,
クラマゴケ,クラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00041,SF_00037,#N/A,YL_00066,確定,
コウシュンクラマゴケ,ヒバゴケ,,3,Selaginellaceae,イワヒバ,GL_00031,SF_00040,#N/A,YL_00051,確定,
コウズシマクラマゴケ,オニクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00032,SF_00046,#N/A,YL_00056,確定,
コウヅシマクラマゴケ,オニクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00032,SF_00046,#N/A,YL_00056,確定,
コクラマゴケ,ツルカタヒバ,,3,Selaginellaceae,イワヒバ,GL_00033,SF_00049,#N/A,YL_00057,確定,
コケカタヒバ,コケカタヒバ,,3,Selaginellaceae,イワヒバ,GL_00030,SF_00045,#N/A,YL_00050,確定,
コケスギラン,コケスギラン,,3,Selaginellaceae,イワヒバ,GL_00042,SF_00033,#N/A,YL_00070,確定,
コンテリクラマゴケ,コンテリクラマゴケ,,3,Selaginellaceae,イワヒバ,#N/A,SF_00050,#N/A,YL_00077,確定,
タカオクラマゴケ,タカオクラマゴケ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00067,確定,
タチクラマゴケ,タチクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00040,SF_00041,#N/A,YL_00065,確定,
タチハリガネヒバ,タチハリガネヒバ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00069,確定,
チャボクラマゴケ,チャボクラマゴケ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00055,確定,
ツルカタヒバ,ツルカタヒバ,,3,Selaginellaceae,イワヒバ,GL_00033,SF_00049,#N/A,YL_00057,確定,
トウクラマゴケ,トウクラマゴケ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00053,確定,
トリノハカタヒバ,トリノハカタヒバ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00054,確定,
ニイタカカタヒバ,ニイタカカタヒバ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00061,確定,
ハイクラマゴケ,タチクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00040,SF_00041,#N/A,YL_00065,確定,
ハゴロモカタヒバ,トリノハカタヒバ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00054,確定,
ハリガネヒバ,ハリガネヒバ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00068,確定,
ヒバゴケ,ヒバゴケ,,3,Selaginellaceae,イワヒバ,GL_00031,SF_00040,#N/A,YL_00051,確定,
ヒメクラマゴケ,ヒメクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00035,SF_00039,#N/A,YL_00059,確定,
ヒメタチクラマゴケ,ヒメクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00035,SF_00039,#N/A,YL_00059,確定,
ヒメムカデクラマゴケ,ヒメムカデクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00038,SF_00038,#N/A,YL_00063,確定,
ヒモカズラ,ヒモカズラ,,3,Selaginellaceae,イワヒバ,GL_00043,SF_00035,#N/A,YL_00071,確定,アカミノヒモカズラ/コウシュンヒモカズラ/ヒモカズラ
ミタニクラマゴケ,ツルカタヒバ,,3,Selaginellaceae,イワヒバ,GL_00033,SF_00049,#N/A,YL_00057,確定,ツルカタヒバ/トウクラマゴケ
ミタニクラマゴケ,トウクラマゴケ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00053,確定,ツルカタヒバ/トウクラマゴケ
ミドリカタヒバ,オニクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00032,SF_00046,#N/A,YL_00056,確定,
ミヤマヒメタチクラマゴケ,エゾノヒメクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00034,SF_00042,#N/A,YL_00058,確定,
ムニンクラマゴケ,ヒバゴケ,,3,Selaginellaceae,イワヒバ,GL_00031,SF_00040,#N/A,YL_00051,確定,
メヒバ,カタヒバ,,3,Selaginellaceae,イワヒバ,GL_00036,SF_00047,#N/A,YL_00060,確定,
モウコカタヒバ,モウコカタヒバ,,3,Selaginellaceae,イワヒバ,#N/A,#N/A,#N/A,YL_00074,確定,
モエギヒバ,コンテリクラマゴケ,,3,Selaginellaceae,イワヒバ,#N/A,SF_00050,#N/A,YL_00077,確定,
ヤマクラマゴケ,ヤマクラマゴケ,,3,Selaginellaceae,イワヒバ,GL_00045,SF_00043,#N/A,YL_00072,確定,
アオイヌドクサ,イヌドクサ,広義,4,Equisetaceae,トクサ,#N/A,#N/A,#N/A,YL_00085,確定,
イヌスギナ,イヌスギナ,,4,Equisetaceae,トクサ,GL_00050,SF_00059,#N/A,YL_00083,確定,
イヌドクサ,イヌドクサ,広義,4,Equisetaceae,トクサ,#N/A,#N/A,#N/A,YL_00085,確定,イヌドクサ広義/狭義
イヌドクサ,イヌドクサ,狭義,4,Equisetaceae,トクサ,GL_00052,SF_00065,#N/A,#N/A,確定,イヌドクサ広義/狭義
エゾスギナ,フサスギナ,,4,Equisetaceae,トクサ,GL_00054,SF_00061,#N/A,YL_00089,確定,
エダウチトクサ,トクサ,広義,4,Equisetaceae,トクサ,#N/A,#N/A,#N/A,YL_00081,確定,トクサ広義/狭義
エダウチトクサ,トクサ,狭義,4,Equisetaceae,トクサ,GL_00049,SF_00063,#N/A,#N/A,確定,トクサ広義/狭義
オクエゾスギナ,オクエゾスギナ,,4,Equisetaceae,トクサ,#N/A,SF_00058,#N/A,YL_00079,確定,オクエゾスギナ/スギナ
オクエゾスギナ,スギナ,,4,Equisetaceae,トクサ,GL_00047,SF_00057,#N/A,YL_00078,確定,オクエゾスギナ/スギナ
カワラドクサ,イヌドクサ,広義,4,Equisetaceae,トクサ,#N/A,#N/A,#N/A,YL_00085,確定,イヌドクサ広義/狭義
カワラドクサ,イヌドクサ,狭義,4,Equisetaceae,トクサ,GL_00052,SF_00065,#N/A,#N/A,確定,イヌドクサ広義/狭義
スギナ,スギナ,,4,Equisetaceae,トクサ,GL_00047,SF_00057,#N/A,YL_00078,確定,
