学名 withAuthor,和名,別名,ステータス,LAPG 科名,LAPG Family,LAPG no.,Cronquist 科名,Cronquist family,cronquist No.,Engler 科名,Engler family,Engler no.,生態,学名,修正日,ID,発表年,LAPGII::LAPG Family広義,LAPGII::LAPG Order,LAPGII::LAPG 目,LAPGII::LAPGno.,LAPGII::LAPG科名,LAPGII::LAPG Family狭義
Phacelurus latifolius (Steud.) Ohwi,アイアシ,ホソバアイアシ,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Phacelurus latifolius,2021.01.26,3,1935,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Polystichum longifrons Sa.Kurata,アイアスカイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum longifrons,2020.10.09,4,1964,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Botrychium x longistipitatum (Sahashi) Nakaike,アイイズハナワラビ,,標準,ハナヤスリ科,Ophioglossaceae,200001010,ハナヤスリ科,ハナヤスリ科,207,ハナヤスリ科,Ophioglossaceae,207,,Botrychium longistipitatum,2018.06.27,5,2013,OPHIOGLOSSACEAE,OPHIOGLOSSALES,ハナヤスリ目,300001010,ハナヤスリ科,Ophioglossaceae
Dryopteris x yamashitae Sa.Kurata,アイイヌタマシダ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Dryopteris yamashitae,2009.06.24,6,1969,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Woodwardia x intermedia Christ,アイオオカグマ,,標準,シシガシラ科,Blechnaceae,500007080,シシガシラ科,シシガシラ科,228,シシガシラ科,Blechnaceae,221,,Woodwardia intermedia,2020.10.09,8,1904,ASPLENIACEAE,POLYPODIALES,ウラボシ目,500007160,シシガシラ科,Blechnaceae
Polystichum x iidanum Sa.Kurata,アイカタイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum iidanum,2009.06.24,9,1964,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Pinus x densithunbergii Uyeki,アイグロマツ,アカクロマツ (Uyeki 1953),標準,マツ科,Pinaceae,630001010,マツ科,マツ科,253,マツ科,Pinaceae,253,,Pinus densithunbergii,2015.12.21,10,1926,PINACEAE,PINALES,マツ目,630001010,マツ科,Pinaceae
Spiraea chamaedryfolia L.  var. pilosa (Nakai) H.Hara,アイズシモツケ,アイヅシモツケ,標準,バラ科,Rosaceae,787553010,バラ科,バラ科,477,バラ科,Rosaceae,415,,Spiraea chamaedryfolia var. pilosa,2018.08.11,12,1952,ROSACEAE,ROSALES,バラ目,787553010,バラ科,Rosaceae
Cirsium aidzuense Nakai ex Kitam.,アイズヒメアザミ,アイヅヒメアザミ,標準,キク科,Asteraceae,787972110,キク科,キク科,664,キク科,Compositae,593,,Cirsium aidzuense,2018.08.09,14,1933,ASTERACEAE,ASTERALES,キク目,787972110,キク科,Asteraceae
Polystichum x amboversum Sa.Kurata,アイツヤナシイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum amboversum,2009.06.24,17,1964,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Mitrasacme pygmaea R.Br.,アイナエ,,標準,マチン科,Loganiaceae,787951010,マチン科,マチン科,616,マチン科,Loganiaceae,547,,Mitrasacme pygmaea,2017.03.29,18,1810,LOGANIACEAE,GENTIANALES,リンドウ目,787951030,マチン科,Loganiaceae
Pyrus x uyematsuana Makino,アイナシ,,標準,バラ科,Rosaceae,787553010,バラ科,バラ科,477,バラ科,Rosaceae,415,,Pyrus uyematsuana,2020.09.30,19,1908,ROSACEAE,ROSALES,バラ目,787553010,バラ科,Rosaceae
Poa fauriei Hack.,アイヌソモソモ,,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Poa fauriei,2021.01.25,20,1899,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Dryopteris x mituii Seriz.,アイノコクマワラビ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Dryopteris mituii,2020.02.06,21,1971,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Polystichum x fujisanense Seriz.,アイホソイノデ,,標準,オシダ科,Dryopteridaceae,500007100,オシダ科,オシダ科,230,オシダ科,Dryopteridaceae,220,,Polystichum fujisanense,2009.06.24,23,1970,DRYOPTERIDACEAE,POLYPODIALES,ウラボシ目,500007200,オシダ科,Dryopteridaceae
Dichondra micrantha Urb.,アオイゴケ,,標準,ヒルガオ科,Convolvulaceae,787962010,ヒルガオ科,ヒルガオ科,624,ヒルガオ科,Convolvulaceae,557,,Dichondra micrantha,2020.12.03,27,1924,CONVOLVULACEAE,SOLANALES,ナス目,787962010,ヒルガオ科,Convolvulaceae
Viola hondoensis W.Becker et H.Boissieu,アオイスミレ,,標準,スミレ科,Violaceae,787559250,スミレ科,スミレ科,417,スミレ科,Violaceae,486,,Viola hondoensis,2021.02.01,28,1908,VIOLACEAE,MALPIGHIALES,キントラノオ目,787563250,スミレ科,Violaceae
Phaseolus lunatus L.,アオイマメ,ライマビーン，ライマメ，ライママメ,標準,マメ科,Fabaceae,787552020,マメ科,マメ科,485,マメ科,Leguminosae,419,帰,Phaseolus lunatus,2020.12.01,30,1753,FABACEAE,FABALES,マメ目,787552020,マメ科,Fabaceae
Lemna paucicostata auct. non Hegelm.,アオウキクサ,,synonym,サトイモ科,Araceae,771001020,ウキクサ科,ウキクサ科,722,ウキクサ科,Lemnaceae,644,,Lemna paucicostata,2012.03.26,32,0,ARACEAE,ALISMATALES,オモダカ目,771002010,サトイモ科,Araceae
Machilus japonica Siebold et Zucc. ex Blume,アオガシ,ホソバタブ,標準,クスノキ科,Lauraceae,760004070,クスノキ科,クスノキ科,317,クスノキ科,Lauraceae,355,,Machilus japonica,2018.02.04,35,1851,LAURACEAE,LAURALES,クスノキ目,760004070,クスノキ科,Lauraceae
Persea japonica (Siebold et Zucc. ex Blume) Kosterm.,アオガシ,ホソバタブ,synonym,クスノキ科,Lauraceae,760004070,クスノキ科,クスノキ科,317,クスノキ科,Lauraceae,355,,Persea japonica,2018.02.04,36,1962,LAURACEAE,LAURALES,クスノキ目,760004070,クスノキ科,Lauraceae
Sabia japonica Maxim.,アオカズラ,,標準,アワブキ科,Sabiaceae,782001010,アワブキ科,アワブキ科,337,アワブキ科,Sabiaceae,450,,Sabia japonica,2019.04.01,37,1867,SABIACEAE,PROTEALES,ヤマモガシ目,782001010,アワブキ科,Sabiaceae
Cyperus nipponicus Franch. et Sav.  var. nipponicus,アオガヤツリ,オオタマガヤツリ,標準,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Cyperus nipponicus var. nipponicus,2020.12.07,41,1878,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Wikstroemia retusa A.Gray,アオガンピ,オキナワガンピ,標準,ジンチョウゲ科,Thymelaeaceae,787564070,ジンチョウゲ科,ジンチョウゲ科,497,ジンチョウゲ科,Thymelaeaceae,482,,Wikstroemia retusa,2021.02.04,43,1865,THYMELAEACEAE,MALVALES,アオイ目,787577060,ジンチョウゲ科,Thymelaeaceae
Aucuba japonica Thunb.  var. japonica,アオキ,ヒロハノアオキ,標準,アオキ科,Aucubaceae,787931020,ミズキ科,ミズキ科,507,ミズキ科,Cornaceae,525,,Aucuba japonica,2018.02.04,44,1783,,,,,,
Firmiana simplex (L.) W.F.Wight,アオギリ,ケナシアオギリ,標準,アオイ科,Malvaceae,787564040,アオギリ科,アオギリ科,402,アオギリ科,Sterculiaceae,477,,Firmiana simplex,2017.12.13,45,1909,MALVACEAE,MALVALES,アオイ目,787577040,アオイ科,Malvaceae
Amaranthus retroflexus L.,アオゲイトウ,アオビユ (Matsumura 1895),標準,ヒユ科,Amaranthaceae,787801160,ヒユ科,ヒユ科,372,ヒユ科,Amaranthaceae,337,帰,Amaranthus retroflexus,2018.01.31,46,1753,AMARANTHACEAE,CARYOPHYLLALES,ナデシコ目,787801160,ヒユ科,Amaranthaceae
Juncus papillosus Franch. et Sav. ,アオコウガイゼキショウ,ホソバノコウガイゼキショウ，ホソバノコウガイ,標準,イグサ科,Juncaceae,776005090,イグサ科,イグサ科,732,イグサ科,Juncaceae,629,,Juncus papillosus,2017.02.20,47,1878,JUNCACEAE,POALES,イネ目,776004080,イグサ科,Juncaceae
Deutzia ogatae Koidz.,アオコウツギ,,標準,アジサイ科,Hydrangeaceae,787911030,アジサイ科,アジサイ科,467,ユキノシタ科,Saxifragaceae,407,,Deutzia ogatae,2021.01.18,49,1929,HYDRANGEACEAE,CORNALES,ミズキ目,787911030,アジサイ科,Hydrangeaceae
Rhododendron x hidaense Makino,アオヤシャクナゲ,アオシャクナゲ,標準,ツツジ科,Ericaceae,787921240,ツツジ科,ツツジ科,446,ツツジ科,Ericaceae,532,,Rhododendron hidaense,2012.03.26,53,1949,ERICACEAE,ERICALES,ツツジ目,787921240,ツツジ科,Ericaceae
Vincetoxicum glabrum (Nakai) Kitag.  f. viridescens (Murata) Sugim.,アオタチカモメヅル,,標準,キョウチクトウ科,Apocynaceae,787951030,ガガイモ科,ガガイモ科,620,ガガイモ科,Asclepiadaceae,553,,Vincetoxicum glabrum f. viridescens,2017.11.17,56,2011,APOCYNACEAE,GENTIANALES,リンドウ目,787951050,キョウチクトウ科,Apocynaceae
Fraxinus lanuginosa Koidz.  f. serrata (Nakai) Murata,アオダモ,コバノトネリコ,標準,モクセイ科,Oleaceae,787963020,モクセイ科,モクセイ科,639,モクセイ科,Oleaceae,546,,Fraxinus lanuginosa f. serrata,2009.06.24,57,1972,OLEACEAE,LAMIALES,シソ目,787963020,モクセイ科,Oleaceae
"Dactylorhiza viridis (L.) R.M.Bateman, A.M.Pridgeton & M.W.Chase",アオチドリ,ネムロチドリ，タカネアオチドリ，チシマアオチドリ,標準,ラン科,Orchidaceae,775001010,ラン科,ラン科,766,ラン科,Orchidaceae,654,,Dactylorhiza viridis,2016.12.24,58,1997,ORCHIDACEAE,ASPARAGALES,キジカクシ目,775001010,ラン科,Orchidaceae
Cocculus trilobus (Thunb.) DC.,アオツヅラフジ,カミエビ,標準,ツヅラフジ科,Menispermaceae,781001050,ツヅラフジ科,ツヅラフジ科,335,ツヅラフジ科,Menispermaceae,365,,Cocculus trilobus,2016.12.09,60,1817,MENISPERMACEAE,RANUNCULALES,キンポウゲ目,781001050,ツヅラフジ科,Menispermaceae
Euonymus yakushimensis Makino,アオツリバナ,,標準,ニシキギ科,Celastraceae,787556040,ニシキギ科,ニシキギ科,524,ニシキギ科,Celastraceae,461,,Euonymus yakushimensis,2021.01.31,61,1909,CELASTRACEAE,CELASTRALES,ニシキギ目,787561022,ニシキギ科,Celastraceae
Fimbristylis dipsacea (Rottb.) C.B.Clarke  var. verrucifera (Maxim.) T.Koyama,アオテンツキ,,標準,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Fimbristylis dipsacea,2017.02.20,62,1961,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Fimbristylis verrucifera (Maxim.) Makino,アオテンツキ,,synonym,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Fimbristylis verrucifera,2014.01.25,63,1895,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Abies sachalinensis (F.Schmidt) Mast.  var. mayriana Miyabe et Kudô ,アオトドマツ,,標準,マツ科,Pinaceae,630001010,マツ科,マツ科,253,マツ科,Pinaceae,253,,Abies sachalinensis var. mayriana,2015.12.21,64,1919,PINACEAE,PINALES,マツ目,630001010,マツ科,Pinaceae
Pyrus ussuriensis Maxim.  var. hondoensis (Nakai et Kikuchi) Rehder,アオナシ,,標準,バラ科,Rosaceae,787553010,バラ科,バラ科,477,バラ科,Rosaceae,415,,Pyrus ussuriensis var. hondoensis,2020.09.30,65,1920,ROSACEAE,ROSALES,バラ目,787553010,バラ科,Rosaceae
Quercus serrata Murray  f. concolor (Sugim.) H.Ohba,アオナラ,,標準,ブナ科,Fagaceae,787555020,ブナ科,ブナ科,361,ブナ科,Fagaceae,309,,Quercus serrata f. concolor,2021.01.31,66,2006,FAGACEAE,FAGALES,ブナ目,787554020,ブナ科,Fagaceae
Quercus aliena Blume  f. pellucida (Blume) Sugim.,アオナラガシワ,アオミズナラ,標準,ブナ科,Fagaceae,787555020,ブナ科,ブナ科,361,ブナ科,Fagaceae,309,,Quercus aliena f. pellucida,2021.01.31,68,1967,FAGACEAE,FAGALES,ブナ目,787554020,ブナ科,Fagaceae
Rubus parvifolius L.  f. concolor (Koidz.) Sugim.,アオナワシロイチゴ,,標準,バラ科,Rosaceae,787553010,バラ科,バラ科,477,バラ科,Rosaceae,415,,Rubus parvifolius f. concolor,2018.08.11,69,1967,ROSACEAE,ROSALES,バラ目,787553010,バラ科,Rosaceae
Pleioblastus humilis (Mitford) Nakai,アオネザサ,トヨオカザサ，シラカワザサ,標準,イネ科,Poaceae,776005170,イネ科,イネ科,735,イネ科,Gramineae,640,,Pleioblastus humilis,2018.11.14,70,1935,POACEAE,POALES,イネ目,776005170,イネ科,Poaceae
Orostachys malacophylla (Pall.) Fisch.  var. aggregeata (Makino) H.Ohba,アオノイワレンゲ,コイワレンゲ,標準,ベンケイソウ科,Crassulaceae,787401110,ベンケイソウ科,ベンケイソウ科,474,ベンケイソウ科,Crassulaceae,405,,Orostachys malacophylla var. aggregeata,2020.01.25,71,1992,CRASSULACEAE,SAXIFRAGALES,ユキノシタ目,787401100,ベンケイソウ科,Crassulaceae
Alpinia intermedia Gagnep.,アオノクマタケラン,,標準,ショウガ科,Zingiberaceae,776003080,ショウガ科,ショウガ科,744,ショウガ科,Zingiberaceae,650,,Alpinia intermedia,2020.07.10,72,1902,ZINGIBERACEAE,ZINGIBERALES,ショウガ目,776003080,ショウガ科,Zingiberaceae
Phyllodoce aleutica (Spreng.) A.Heller,アオノツガザクラ,,標準,ツツジ科,Ericaceae,787921240,ツツジ科,ツツジ科,446,ツツジ科,Ericaceae,532,,Phyllodoce aleutica,2012.03.26,73,1900,ERICACEAE,ERICALES,ツツジ目,787921240,ツツジ科,Ericaceae
Stellaria uchiyamana Makino  var. apetala (Kitam.) Ohwi,アオハコベ,,標準,ナデシコ科,Caryophyllaceae,787801140,ナデシコ科,ナデシコ科,376,ナデシコ科,Caryophyllaceae,335,,Stellaria uchiyamana var. apetala,2009.06.24,74,1965,CARYOPHYLLACEAE,CARYOPHYLLALES,ナデシコ目,787801140,ナデシコ科,Caryophyllaceae
Carex insaniae Koidz.  var. papillaticulmis (Ohwi) Ohwi,アオバスゲ,,標準,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Carex insaniae var. papillaticulmis,2014.08.02,75,1932,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Ilex macropoda Miq.,アオハダ,マルバウメモドキ，ホソバアオハダ,標準,モチノキ科,Aquifoliaceae,787971050,モチノキ科,モチノキ科,529,モチノキ科,Aquifoliaceae,457,,Ilex macropoda,2018.08.11,76,1867,AQUIFOLIACEAE,AQUIFOLIALES,モチノキ目,787971050,モチノキ科,Aquifoliaceae
Symplocos cochinchinensis (Lour.) S.Moore,アオバノキ,カンコウハイノキ,標準,ハイノキ科,Symplocaceae,787921150,ハイノキ科,ハイノキ科,454,ハイノキ科,Symplocaceae,544,,Symplocos cochinchinensis,2020.01.01,79,1914,SYMPLOCACEAE,ERICALES,ツツジ目,787921150,ハイノキ科,Symplocaceae
Carex insaniae Koidz.  var. subdita (Ohwi) Ohwi,アオヒエスゲ,ナンカイスゲ,標準,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Carex insaniae var. subdita,2010.11.15,80,1936,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Deutzia gracilis Siebold et Zucc.  f. nagurae (Makino) Sugim.,アオヒメウツギ,,標準,アジサイ科,Hydrangeaceae,787911030,アジサイ科,アジサイ科,467,ユキノシタ科,Saxifragaceae,407,,Deutzia gracilis f. nagurai,2017.03.29,82,1961,HYDRANGEACEAE,CORNALES,ミズキ目,787911030,アジサイ科,Hydrangeaceae
Amaranthus viridis L.,ホナガイヌビユ,アオビユ,標準,ヒユ科,Amaranthaceae,787801160,ヒユ科,ヒユ科,372,ヒユ科,Amaranthaceae,337,帰,Amaranthus viridis,2018.01.31,83,1763,AMARANTHACEAE,CARYOPHYLLALES,ナデシコ目,787801160,ヒユ科,Amaranthaceae
Sedum viride Makino,アオベンケイ,アオベンケイソウ,synonym,ベンケイソウ科,Crassulaceae,787401110,ベンケイソウ科,ベンケイソウ科,474,ベンケイソウ科,Crassulaceae,405,,Sedum viride,2015.04.10,86,1901,CRASSULACEAE,SAXIFRAGALES,ユキノシタ目,787401100,ベンケイソウ科,Crassulaceae
Pilea pumila (L.) A.Gray,アオミズ,,標準,イラクサ科,Urticaceae,787553090,イラクサ科,イラクサ科,355,イラクサ科,Urticaceae,314,,Pilea pumila,2021.01.31,87,1848,URTICACEAE,ROSALES,バラ目,787553090,イラクサ科,Urticaceae
Rhamnus japonica Maxim.  var. decipiens Maxim.  f. chlorocarpa (Honda) H.Hara,アオミノクロウメモドキ,,標準,クロウメモドキ科,Rhamnaceae,787553030,クロウメモドキ科,クロウメモドキ科,539,クロウメモドキ科,Rhamnaceae,469,,Rhamnus japonica var. decipiens f. chlorocarpa,2009.06.24,90,1954,RHAMNACEAE,ROSALES,バラ目,787553030,クロウメモドキ科,Rhamnaceae
Litsea cubeba (Lour.) Pers.,アオモジ,タイワンクロモジ,標準,クスノキ科,Lauraceae,760004070,クスノキ科,クスノキ科,317,クスノキ科,Lauraceae,355,,Litsea cubeba,2020.10.27,92,1807,LAURACEAE,LAURALES,クスノキ目,760004070,クスノキ科,Lauraceae
Silene aomorensis M.Mizush.,アオモリマンテマ,,標準,ナデシコ科,Caryophyllaceae,787801140,ナデシコ科,ナデシコ科,376,ナデシコ科,Caryophyllaceae,335,,Silene aomorensis,2018.08.11,94,1973,CARYOPHYLLACEAE,CARYOPHYLLALES,ナデシコ目,787801140,ナデシコ科,Caryophyllaceae
Veratrum maackii Regel  var. parviflorum (Maxim. ex Miq.) H.Hara,アオヤギソウ,ヒロハアオヤギソウ,標準,シュロソウ科,Melanthiaceae,774001020,ユリ科,ユリ科,752,ユリ科,Liliaceae,612,,Veratrum maackii var. parviflorum,2016.05.09,96,1954,MELANTHIACEAE,LILIALES,ユリ目,774001030,シュロソウ科,Melanthiaceae
Picea glehnii (F.Schmidt) Mast.,アカエゾマツ,,標準,マツ科,Pinaceae,630001010,マツ科,マツ科,253,マツ科,Pinaceae,253,,Picea glehnii,2019.04.01,101,1880,PINACEAE,PINALES,マツ目,630001010,マツ科,Pinaceae
Quercus acuta Thunb.,アカガシ,アツバアカガシ，オオアカガシ，キクアカガシ，ヒメアカガシ,標準,ブナ科,Fagaceae,787555020,ブナ科,ブナ科,361,ブナ科,Fagaceae,309,,Quercus acuta,2021.01.31,102,1784,FAGACEAE,FAGALES,ブナ目,787554020,ブナ科,Fagaceae
Betula ermanii Cham.  var. subcordata (Regel) Koidz.,アカカンバ,ナンタイカンバ,標準,カバノキ科,Betulaceae,787555070,カバノキ科,カバノキ科,363,カバノキ科,Betulaceae,308,,Betula ermanii var. subcordata,2021.01.31,103,1913,BETULACEAE,FAGALES,ブナ目,787554070,カバノキ科,Betulaceae
Bischofia javanica Blume,アカギ,,標準,コミカンソウ科,Phyllanthaceae,787563360,トウダイグサ科,トウダイグサ科,538,トウダイグサ科,Euphorbiaceae,430,,Bischofia javanica,2019.12.28,104,1826,PHYLLANTHACEAE,MALPIGHIALES,キントラノオ目,787563360,コミカンソウ科,Phyllanthaceae
Allophylus timoriensis (DC.) Blume,アカギモドキ,,標準,ムクロジ科,Sapindaceae,787563050,ムクロジ科,ムクロジ科,608,ムクロジ科,Sapindaceae,448,,Allophylus timoriensis,2021.02.02,105,1847,SAPINDACEAE,SAPINDALES,ムクロジ目,787576060,ムクロジ科,Sapindaceae
Chenopodium album L.  var. centrorubrum Makino,アカザ,,標準,ヒユ科,Amaranthaceae,787801160,アカザ科,アカザ科,371,アカザ科,Chenopodiaceae,336,帰,Chenopodium album var. centrorubrum,2020.10.27,108,1910,AMARANTHACEAE,CARYOPHYLLALES,ナデシコ目,787801160,ヒユ科,Amaranthaceae
Vigna vexillata (L.) A.Rich.  var. tsusimensis Matsum.,アカササゲ,,標準,マメ科,Fabaceae,787552020,マメ科,マメ科,485,マメ科,Leguminosae,419,,Vigna vexillata var. tsusimensis,2020.04.01,109,1902,FABACEAE,FABALES,マメ目,787552020,マメ科,Fabaceae
Berberis amurensis Rupr.  f. bretschneideri (Rehder) Ohwi,アカジクヘビノボラズ,マルバヘビノボラズ,標準,メギ科,Berberidaceae,781001060,メギ科,メギ科,332,メギ科,Berberidaceae,362,,Berberis amurensis f. bretschneideri,2016.12.10,110,1953,BERBERIDACEAE,RANUNCULALES,キンポウゲ目,781001060,メギ科,Berberidaceae
Carpinus laxiflora (Siebold et Zucc.) Blume,アカシデ,コシデ，シデノキ，ソロノキ，コソロ,標準,カバノキ科,Betulaceae,787555070,カバノキ科,カバノキ科,363,カバノキ科,Betulaceae,308,,Carpinus laxiflora,2021.01.31,111,1850,BETULACEAE,FAGALES,ブナ目,787554070,カバノキ科,Betulaceae
Carex quadriflora (Kük.) Ohwi,アカスゲ,,標準,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Carex quadriflora,2021.01.19,115,1932,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Boehmeria silvestrii (Pamp.) W.T.Wang,アカソ,,標準,イラクサ科,Urticaceae,787553090,イラクサ科,イラクサ科,355,イラクサ科,Urticaceae,314,,Boehmeria silvestrii,2021.01.31,116,1982,URTICACEAE,ROSALES,バラ目,787553090,イラクサ科,Urticaceae
Abies sachalinensis (F.Schmidt) Mast.  var. sachalinensis,アカトドマツ,ネムロトドマツ、エゾシラビソ,標準,マツ科,Pinaceae,630001010,マツ科,マツ科,253,マツ科,Pinaceae,253,,Abies sachalinensis var. sachalinensis,2019.01.16,120,1879,PINACEAE,PINALES,マツ目,630001010,マツ科,Pinaceae
Rubia akane Nakai,アカネ,,synonym,アカネ科,Rubiaceae,787951010,アカネ科,アカネ科,657,アカネ科,Rubiaceae,554,,Rubia akane,2012.05.10,121,1937,RUBIACEAE,GENTIANALES,リンドウ目,787951010,アカネ科,Rubiaceae
Carex poculisquama Kük.,アカネスゲ,,標準,カヤツリグサ科,Cyperaceae,776005100,カヤツリグサ科,カヤツリグサ科,734,カヤツリグサ科,Cyperaceae,648,,Carex poculisquama,2021.01.19,122,1929,CYPERACEAE,POALES,イネ目,776004090,カヤツリグサ科,Cyperaceae
Viola phalacrocarpa Maxim.,アカネスミレ,ウスアカネスミレ,標準,スミレ科,Violaceae,787559250,スミレ科,スミレ科,417,スミレ科,Violaceae,486,,Viola phalacrocarpa,2021.02.01,123,1877,VIOLACEAE,MALPIGHIALES,キントラノオ目,787563250,スミレ科,Violaceae
Botrychium x elegans (Sahashi) Nakaike,アカネハナワラビ,,標準,ハナヤスリ科,Ophioglossaceae,200001010,ハナヤスリ科,ハナヤスリ科,207,ハナヤスリ科,Ophioglossaceae,207,,Botrychium elegans,2018.06.27,124,2013,OPHIOGLOSSACEAE,OPHIOGLOSSALES,ハナヤスリ目,300001010,ハナヤスリ科,Ophioglossaceae
Elaeagnus x maritima Koidz.,アカバグミ,オオバツルグミ,標準,グミ科,Elaeagnaceae,787553020,グミ科,グミ科,486,グミ科,Elaeagnaceae,483,,Elaeagnus maritima,2021.01.31,125,1917,ELAEAGNACEAE,ROSALES,バラ目,787553020,グミ科,Elaeagnaceae
Beilschmiedia erythrophloia Hayata,アカハダクスノキ,,標準,クスノキ科,Lauraceae,760004070,クスノキ科,クスノキ科,317,クスノキ科,Lauraceae,355,,Beilschmiedia erythrophloia,2018.08.11,126,1914,LAURACEAE,LAURALES,クスノキ目,760004070,クスノキ科,Lauraceae
Margaritaria indica (Dalz.) Airy Shaw,アカハダコバンノキ,,標準,コミカンソウ科,Phyllanthaceae,787563360,トウダイグサ科,トウダイグサ科,538,トウダイグサ科,Euphorbiaceae,430,,Margaritaria indica,2019.12.28,127,1966,PHYLLANTHACEAE,MALPIGHIALES,キントラノオ目,787563360,コミカンソウ科,Phyllanthaceae
Archidendron lucidum (Benth.) I.C.Nielsen,アカハダノキ,タマザキゴウカン,標準,マメ科,Fabaceae,787552020,ネムノキ科,ネムノキ科,483,マメ科,Leguminosae,419,,Archidendron lucidum,2020.04.03,128,1979,FABACEAE,FABALES,マメ目,787552020,マメ科,Fabaceae
Epilobium pyrricholophum Franch. et Sav.,アカバナ,,標準,アカバナ科,Onagraceae,787541030,アカバナ科,アカバナ科,501,アカバナ科,Onagraceae,516,,Epilobium pyrricholophum,2021.02.02,129,1878,ONAGRACEAE,MYRTALES,フトモモ目,787572030,アカバナ科,Onagraceae
Tanacetum coccineum (Willd.) Grierson,アカバナムシヨケギク,,標準,キク科,Asteraceae,787972110,キク科,キク科,664,キク科,Compositae,593,栽,Tanacetum coccineum,2012.12.01,133,1974,ASTERACEAE,ASTERALES,キク目,787972110,キク科,Asteraceae
Botrychium nipponicum Makino,アカハナワラビ,,標準,ハナヤスリ科,Ophioglossaceae,200001010,ハナヤスリ科,ハナヤスリ科,207,ハナヤスリ科,Ophioglossaceae,207,,Botrychium nipponicum,2020.10.09,135,1916,OPHIOGLOSSACEAE,OPHIOGLOSSALES,ハナヤスリ目,300001010,ハナヤスリ科,Ophioglossaceae
Botrychium ternatum (Thunb.) Sw.  var. pseudoternatum (Sahashi) M.Kato,アカフユノハナワラビ,,標準,ハナヤスリ科,Ophioglossaceae,200001010,ハナヤスリ科,ハナヤスリ科,207,ハナヤスリ科,Ophioglossaceae,207,,Botrychium ternatum var. pseudoternatum,2018.06.27,137,1995,OPHIOGLOSSACEAE,OPHIOGLOSSALES,ハナヤスリ目,300001010,ハナヤスリ科,Ophioglossaceae
Pinus densiflora Siebold et Zucc.,アカマツ,メマツ，ミツバアカマツ,標準,マツ科,Pinaceae,630001010,マツ科,マツ科,253,マツ科,Pinaceae,253,,Pinus densiflora,2019.04.01,138,1842,PINACEAE,PINALES,マツ目,630001010,マツ科,Pinaceae
Wendlandia formosana Cowan,アカミズキ,アカミミズキ，アカミミズ,標準,アカネ科,Rubiaceae,787951010,アカネ科,アカネ科,657,アカネ科,Rubiaceae,554,,Wendlandia formosana,2018.07.07,139,1932,RUBIACEAE,GENTIANALES,リンドウ目,787951010,アカネ科,Rubiaceae
Taraxacum laevigatum (Willd.) DC.,アカミタンポポ,キレハアカミタンポポ,標準,キク科,Asteraceae,787972110,キク科,キク科,664,キク科,Compositae,593,帰,Taraxacum laevigatum,2020.12.12,140,1813,ASTERACEAE,ASTERALES,キク目,787972110,キク科,Asteraceae
