学名 withAuthor,和名,別名,ステータス,LAPG 科名,LAPG Family,LAPG no.,Cronquist 科名,Cronquist family,cronquist No.,Engler 科名,Engler family,Engler no.,生態,学名,修正日,ID,発表年,LAPGII::LAPG Family広義,LAPGII::LAPG Order,LAPGII::LAPG 目,LAPGII::LAPGno.,LAPGII::LAPG科名,LAPGII::LAPG Family狭義
Arisaema sinanoense Nakai,ヤマトテンナンショウ,カルイザワテンナンショウ,synonym,サトイモ科,Araceae,771001020,サトイモ科,サトイモ科,721,サトイモ科,Araceae,643,,Arisaema sinanoense,2014.01.15,44847,1929,ARACEAE,ALISMATALES,オモダカ目,771002010,サトイモ科,Araceae
Leptodontium nakaii S.Okamura,トサノオウゴンゴケ,オウゴンゴケ,synonym,センボンゴケ科,Pottiaceae,,センボンゴケ科,センボンゴケ科,22,センボンゴケ科,Pottiaceae,14,,Leptodontium nakaii,2014.01.15,44848,1915,POTTIACEAE,POTTIALES,センボンゴケ目,28506010,センボンゴケ科,Pottiaceae
Leptodontium sikokianum Sakurai ex Oti,シメリイワゴケ,イヨオウゴンゴケ,synonym,シッポゴケ科,Dicranaceae,,シッポゴケ科,シッポゴケ科,16,シッポゴケ科,Dicranaceae,11,,Leptodontium sikokianum,2014.01.15,44849,1949,DICRANACEAE,DICRANALES,シッポゴケ目,28505110,シッポゴケ科,Dicranaceae
Leptodontium gracillimum Nog.,トサノオウゴンゴケ,,synonym,センボンゴケ科,Pottiaceae,,センボンゴケ科,センボンゴケ科,22,センボンゴケ科,Pottiaceae,14,,Leptodontium gracillimum,2014.01.15,44850,1944,POTTIACEAE,POTTIALES,センボンゴケ目,28506010,センボンゴケ科,Pottiaceae
Leskea filaria Broth. et Iisiba,シコクハリガネゴケ,,標準,ウスグロゴケ科,Leskeaceae,,ウスグロゴケ科,ウスグロゴケ科,84,ウスグロゴケ科,Leskeaceae,51,不明,Leskea filaria,2016.12.18,44851,1929,LESKEACEAE,HYPNALES,ハイゴケ目,28610090,ウスグロゴケ科,Leskeaceae
Leucobryum confine Cardot,アラハシラガゴケ,タイワンオキナゴケ,synonym,シラガゴケ科,Leucobryaceae,,シラガゴケ科,シラガゴケ科,19,シラガゴケ科,Leucobryaceae,12,,Leucobryum confine,2014.01.15,44852,1905,LEUCOBRYACEAE,DICRANALES,シッポゴケ目,28505130,シラガゴケ科,Leucobryaceae
Leucobryum japonicum (Besch.) Cardot ex Broth.,ホソバオキナゴケ,ヤマトシラガゴケ,synonym,シラガゴケ科,Leucobryaceae,,シラガゴケ科,シラガゴケ科,19,シラガゴケ科,Leucobryaceae,12,,Leucobryum japonicum,2014.01.15,44853,1901,LEUCOBRYACEAE,DICRANALES,シッポゴケ目,28505130,シラガゴケ科,Leucobryaceae
Leucobryum nakaii Horik.,ムニンシラガゴケ,オガサワラシラガゴケ,synonym,シラガゴケ科,Leucobryaceae,,シラガゴケ科,シラガゴケ科,19,シラガゴケ科,Leucobryaceae,12,,Leucobryum nakaii,2014.01.15,44854,1935,LEUCOBRYACEAE,DICRANALES,シッポゴケ目,28505130,シラガゴケ科,Leucobryaceae
Leucobryum textorii Besch.,ホソバオキナゴケ,セイナンシラガゴケ,synonym,シラガゴケ科,Leucobryaceae,,シラガゴケ科,シラガゴケ科,19,シラガゴケ科,Leucobryaceae,12,,Leucobryum textorii,2014.01.15,44855,1898,LEUCOBRYACEAE,DICRANALES,シッポゴケ目,28505130,シラガゴケ科,Leucobryaceae
Leucobryum rhizophyllum Warnst.,ホソバオキナゴケ,,synonym,シラガゴケ科,Leucobryaceae,,シラガゴケ科,シラガゴケ科,19,シラガゴケ科,Leucobryaceae,12,,Leucobryum rhizoophyllum,2014.01.15,44856,1916,LEUCOBRYACEAE,DICRANALES,シッポゴケ目,28505130,シラガゴケ科,Leucobryaceae
