genus,species,japanese_name,author,year
Luehdorfia,japonica,ギフチョウ,Leech,1889
Papilio,xuthus,アゲハ,Linnaeus,1767
Papilio,machaon,キアゲハ,Linnaeus,1758
Graphium,sarpedon,アオスジアゲハ,Linnaeus,1758
Byasa,alcinous,ジャコウアゲハ,Klug,1836
