type,record_id,plant_name,from,to
family_align_ylist,hostplant-kamikiri-audit-20260625-0553,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0554,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0555,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0556,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0557,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0558,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0559,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0560,トチノキ,トチノキ科,ムクロジ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0674,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0675,シナノキ,シナノキ科,アオイ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0706,モクタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0707,モクタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0708,モクタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0709,モクタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0710,モクタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0711,シマタイミンタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0712,タイミンタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0739,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-kamikiri-audit-20260625-0740,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-kamikiri-curated-20260625-0012,イイギリ,イイギリ科,ヤナギ科
