type,record_id,plant_name,from,to
family_align_ylist,hostplant-908810,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-908815,ムラサキシキブ,クマツヅラ科,シソ科
family_align_ylist,hostplant-908816,オオムラサキシキブ,クマツヅラ科,シソ科
family_align_ylist,hostplant-908817,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-908819,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-908843,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-908852,キリ,ノウゼンカズラ科,キリ科
family_align_ylist,hostplant-908855,モクタチバナ,ヤブコウジ科,サクラソウ科
family_align_ylist,hostplant-908916,キリ,ノウゼンカズラ科,キリ科
family_align_ylist,hostplant-908919,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-908920,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-908928,イイギリ,イイギリ科,ヤナギ科
family_align_ylist,hostplant-908941,サンゴジュ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-908970,キリ,ノウゼンカズラ科,キリ科
family_align_ylist,hostplant-908985,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-908990,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-908993,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-909017,イケマ,ガガイモ科,キョウチクトウ科
family_align_ylist,hostplant-909018,キジョラン,ガガイモ科,キョウチクトウ科
family_align_ylist,hostplant-909039,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-909040,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-909041,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-909042,ニワトコ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-909043,オオカメノキ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-909044,オオカメノキ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-909045,オオカメノキ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-909129,キリ,ノウゼンカズラ科,キリ科
family_align_ylist,hostplant-909130,キリ,ノウゼンカズラ科,キリ科
family_align_ylist,hostplant-909143,サンゴジュ,スイカズラ科,ガマズミ科
family_align_ylist,hostplant-909144,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-909145,クサギ,クマツヅラ科,シソ科
family_align_ylist,hostplant-909147,イイギリ,イイギリ科,ヤナギ科
family_align_ylist,hostplant-909148,クサギ,クマツヅラ科,シソ科
name_paren_canonicalize,hostplant-909331,ルバマンサク（ハンノキ類か）,ルバマンサク（ハンノキ類か）,ルバマンサク
family_align_ylist,hostplant-909846,アマドコロ,ユリ科,クサスギカズラ科
