insect_id,plant_name,plant_family,reference,count,record_ids
species-4844,ホウビカンジュ,タマシダ科,日本産蛾類標準図鑑2,2,hostplant-002836 | hostplant-901200
species-5376,ローゼル,アオイ科,日本産蛾類標準図鑑2,2,hostplant-003107 | hostplant-901380
species-5389,ヤマナラシ,ヤナギ科,日本産蛾類標準図鑑2,2,hostplant-003139 | hostplant-901391
species-0051,シナノキ,アオイ科,Hirano (2014),2,hostplant-907298 | hostplant-913426
species-1375,スモモ,バラ科,日本産蛾類標準図鑑3,2,hostplant-907718 | hostplant-913010
species-0802,チシャノキ,ムラサキ科,日本産蛾類標準図鑑3,2,hostplant-908002 | hostplant-912675
