和名,学名,成虫発生時期,成虫発生時期に関する備考
ベニスジヒメシャク,"Timandra recompta (Prout, 1930)",,
サキシマベニスジヒメシャク,"Timandra sakishimensis (Inoue, 1971)",,
トガリベニスジヒメシャク,"Timandra convectaria Walker, 1861",,
コベニスジヒメシャク,"Timandra comptaria Walker, 1863",,
フトベニスジヒメシャク,"Timandra apicirosea (Prout, 1935)",,
ウスベニスジヒメシャク,"Timandra dichela (Prout, 1935)",,
マエアカヒメシャク,"Traminda aventiaria (Guenée, 1858)",,
モモイロヒメシャク,"Chrysocraspeda sanguinea Warren, 1896",,
ビンガタヒメシャク,"Chrysocraspeda faganaria (Guenée, 1858)",,
ヨツメヒメシャク,"Cyclophora albipunctata (Hufnagel, 1767)",,
ヤナギタマダラヒメシャク,"Cyclophora yanagitai Kaneko, 2019",,
シロモンウスチャヒメシャク,"Organopoda carnearia (Walker, 1861)",,
クロモンウスチャヒメシャク,"Perixera absconditaria (Walker, 1863)",,
コガタウスチャヒメシャク,"Perixera minorata (Warren, 1897)",,
クロテンウスチャヒメシャク,"Perixera obrinaria (Guenée, 1858)",,
コブウスチャヒメシャク,"Perixera illepidaria (Guenée, 1858)",,
オキナワウスチャヒメシャク,"Perixera obliviaria (Walker, 1861)",,
マダラウスチャヒメシャク,"Perixera sarawackaria (Guenée, 1858)",,
クスイウスチャヒメシャク,"Perixera niveopuncta (Warren, 1897)",,
フタツメオオシロヒメシャク,"Problepsis albidior Warren, 1899",,
ツシマオオシロヒメシャク,"Problepsis eucircota Prout, 1913",,
ウススジオオシロヒメシャク,"Problepsis plagiata (Butler, 1881)",,
クロスジオオシロヒメシャク,"Problepsis diazoma Prout, 1938",,
ヒトツメオオシロヒメシャク,"Problepsis superans (Butler, 1885)",,
ウンモンオオシロヒメシャク,"Somatina indicataria (Walker, 1861)",,
ミドリヒメシャク,"Antitrygodes divisaria (Walker, 1861)",,
クシヒゲハイイロヒメシャク,"Antilycauges pinguis (Swinhoe, 1902)",,
コヒメシャク,"Scopula virgulata (Denis & Schiffermüller, 1775)",,
ヘリグロヒメシャク,"Scopula luridata (Zeller, 1847)",,
ウスアカヒメシャク,"Scopula caesaria (Walker, 1861)",,
シロヒメシャク,"Scopula nivearia (Leech, 1897)",,
マエキヒメシャク,"Scopula nigropunctata (Hufnagel, 1767)",,
モントビヒメシャク,"Scopula modicaria (Leech, 1897)",,
アキヨシヒメシャク,"Scopula akiyoshiana Kaneko, 2016",,
クロテンシロヒメシャク,"Scopula apicipunctata (Christoph, 1881)",,
タカオシロヒメシャク,"Scopula takao Inoue, 1954",,
サカハチヒメシャク,"Scopula hanna (Butler, 1878)",,
ウラナミヒメシャク,"Scopula corrivalaria (Kretschmar, 1862)",,
ウスキトガリヒメシャク,"Scopula confusa (Butler, 1878)",,
ナミスジチビヒメシャク,"Scopula personata (Prout, 1913)",,
チビシロヒメシャク,"Scopula kawabei Inoue, 1982",,
ミナミウスキヒメシャク,"Scopula remotata (Guenée, 1858)",,
ミスジハイイロヒメシャク,"Scopula cineraria (Leech, 1897)",,
ツシマホソバハイイロヒメシャク,"Scopula tsushimana Kaneko, 2018",,
ハイイロヒメシャク,"Scopula impersonata (Walker, 1861)",,
キトガリヒメシャク,"Scopula emissaria (Walker, 1861)",,
ハスジトガリヒメシャク,"Scopula ichinosawana (Matsumura, 1925)",,
フチグロシロヒメシャク,"Scopula ornata (Scopoli, 1765)",,
ウラモンクロスジヒメシャク,"Scopula limbata (Wileman, 1915)",,
オオクロテンヒメシャク,"Scopula praesignipuncta Prout, 1920",,
サツマヒメシャク,"Scopula satsumaria (Leech, 1897)",,
キスジシロヒメシャク,"Scopula asthena Inoue, 1943",,
シベチャシロヒメシャク,"Scopula supernivearia Inoue, 1963",,
キナミシロヒメシャク,"Scopula superior (Butler, 1878)",,
クロスジシロヒメシャク,"Scopula pudicaria (Motschulsky, 1861)",,
マルバヒメシャク,"Scopula duplinupta Inoue, 1982",,
ヤスジマルバヒメシャク,"Scopula floslactata Haworth, 1809",,
アメイロヒメシャク,"Scopula tenuisocius Inoue, 1942",,
ウラテンシロヒメシャク,"Scopula subpunctaria (Herrich-Schäffer, 1847)",,
ウラクロスジシロヒメシャク,"Scopula prouti Djakonov, 1935",,
サザナミシロヒメシャク,"Scopula nupta (Butler, 1878)",,
ヨツボシウスキヒメシャク,"Scopula superciliata (Prout, 1913)",,
オキナワクロテンヒメシャク,"Scopula nesciaria (Walker, 1861)",,
ミナミヒメシャク,"Scopula emma (Prout, 1913)",,
ウスウラナミヒメシャク,"Scopula longicerata Inoue, 1955",,
ウスサカハチヒメシャク,"Scopula semignobilis Inoue, 1942",,
ミチノクヒメシャク,"Scopula michinoku Sato, 1994",,
クリームヒメシャク,"Scopula gilva Sato, 1993",,
ウスキクロテンヒメシャク,"Scopula ignobilis (Warren, 1901)",,
ナガサキヒメシャク,"Scopula plumbearia (Leech, 1881)",,
ギンバネヒメシャク,"Scopula epiorrhoe Prout, 1935",,
シモフリシロヒメシャク,"Scopula coniaria (Prout, 1913)",,
タイワントガリヒメシャク,"Scopula pulchellata (Fabricius, 1794)",,
オキナワトガリヒメシャク,"Scopula anisopleura Inoue, 1982",,
イリオモテトガリヒメシャク,"Scopula eulomata (Snellen, 1877)",,
ミナミハイイロヒメシャク,"Scopula hypochra (Meyrick, 1888)",,
ベニヒメシャク,"Idaea muricata (Hufnagel, 1767)",,
オビベニヒメシャク,"Idaea nielseni (Hedemann, 1879)",,
キオビベニヒメシャク,"Idaea impexa (Butler, 1879)",,
フチベニヒメシャク,"Idaea jakima (Butler, 1878)",,
マエベニヒメシャク,"Idaea obliteraria (Leech, 1879)",,
コフチベニヒメシャク,"Idaea okinawensis Inoue, 1982",,
クロテントビヒメシャク,"Idaea foedata (Butler, 1879)",,
ウスクロテンヒメシャク,"Idaea salutaria (Christoph, 1881)",,
クロオビキヒメシャク,"Idaea terpnaria (Prout, 1913)",,
シタベニヒメシャク,"Idaea roseomarginaria (Inoue, 1958)",,
キヒメシャク,"Idaea nudaria (Christoph, 1881)",,
ヨスジキヒメシャク,"Idaea auricruda (Butler, 1879)",,
ホソスジキヒメシャク,"Idaea remissa (Wileman, 1911)",,
ウスキヒカリヒメシャク,"Idaea nitidata (Herrich-Schäffer, 1861)",,
ウスジロヒカリヒメシャク,"Idaea promiscuaria (Leech, 1897)",,
ウスモンキヒメシャク,"Idaea denudaria (Prout, 1913)",,
オオウスモンキヒメシャク,"Idaea imbecilla (Inoue, 1955)",,
ウスキヒメシャク,"Idaea biselata (Hufnagel, 1767)",,
オイワケヒメシャク,"Idaea invalida (Butler, 1879)",,
ミジンキヒメシャク,"Idaea trisetata (Prout, 1922)",,
チビキヒメシャク,"Idaea neovalida (Inoue, 1958)",,
サキシマキヒメシャク,"Idaea contravalida Inoue, 1982",,
サクライキヒメシャク,"Idaea sakuraii (Inoue, 1963)",,
クロモンチビヒメシャク,"Idaea crassipuncta (Inoue, 1971)",,
ツシマキヒメシャク,"Idaea paravalida Sato, 1988",,
タナカヒメシャク,"Idaea tanakai Sato, 1994",,
キュウシュウヒメシャク,"Idaea kyushuensis Sato, 1994",,
モンウスキヒメシャク,"Idaea effusaria (Christoph, 1881)",,
エゾキヒメシャク,"Idaea aversata (Linnaeus, 1758)",,
カラフトヒメシャク,"Idaea straminata (Borkhausen, 1794)",,
アトベニヒメシャク,"Idaea postrubra Kaneko, 2012",,
ツマアカナミシャク,"Aplocera perelegans (Warren, 1894)",,
ルリオビナミシャク,"Acasis viretata (Hübner, 1799)",,
テンオビナミシャク,"Acasis appensata (Eversmann, 1842)",,
アヤコバネナミシャク,"Acasis bellaria (Leech, 1891)",,
シロオビコバネナミシャク,"Neopachrophilla albida Inoue, 1955",,
ハネナガコバネナミシャク,"Trichopteryx polycommata (Denis & Schiffermüller, 1775)",,
シロテンコバネナミシャク,"Trichopteryx grisearia (Leech, 1891)",,
シロシタコバネナミシャク,"Trichopteryx fastuosa Inoue, 1958",,
シタコバネナミシャク,"Trichopteryx hemana (Butler, 1878)",,
ハイイロコバネナミシャク,"Trichopteryx ignorata Inoue, 1958",,
チャオビコバネナミシャク,"Trichopteryx terranea (Butler, 1878)",,
ヒメシタコバネナミシャク,"Trichopteryx microloba Inoue, 1943",,
クロシタコバネナミシャク,"Trichopteryx misera (Butler, 1879)",,
チャマダラコバネナミシャク,"Trichopteryx nagaii Inoue, 1958",,
ウスオビコバネナミシャク,"Trichopteryx incerta Yazaki, 1978",,
ウスミドリコバネナミシャク,"Trichopteryx miracula Inoue, 1942",,
オビコバネナミシャク,"Trichopteryx muscigera (Butler, 1881)",,
マダラコバネナミシャク,"Trichopteryx ussurica (Wehrli, 1927)",,
クロオビシロナミシャク,"Trichopteryx ustata (Christoph, 1881)",,
ホソクロオビシロナミシャク,"Trichopteryx auricilla Inoue, 1955",,
ウスベニスジナミシャク,"Esakiopteryx volitans (Butler, 1878)",,
ウスアカモンナミシャク,"Trichopterigia consobrinaria (Leech, 1891)",,
アカモンナミシャク,"Trichopterigia costipunctaria Leech, 1897",,
シロシタヒメナミシャク,"Lobophora halterata (Hufnagel, 1769)",,
アトスジグロナミシャク,"Epilobophora obscuraria (Leech, 1891)",,
クロフシロナミシャク,"Otoplecta frigida (Butler, 1878)",,
ゴマダラシロナミシャク,"Naxidia maculata (Butler, 1879)",,
ヒメゴマダラシロナミシャク,"Naxidia semiobscura Inoue, 1955",,
ホシスジトガリナミシャク,"Carige cruciplaga (Walker, 1861)",,
ヒロバトガリナミシャク,"Carige irrorata (Butler, 1879)",,
ホソバトガリナミシャク,"Carige scutilimbata Prout, 1936",,
ウスキクロスジナミシャク,"Carige obsoleta (Inoue, 1971)",,
モンクロキイロナミシャク,"Stamnodes danilovi Erschoff, 1877",,
シロオビクロナミシャク,"Trichobaptria exsecuta (Felder & Rogenhofer, 1875)",,
シラフシロオビナミシャク,"Trichodezia kindermanni (Bremer, 1864)",,
シロホソオビクロナミシャク,"Baptria tibiale (Esper, 1791)",,
サキシマウスクモナミシャク,"Heterophleps endoi Inoue, 1982",,
ミツボシナミシャク,"Heterophleps pallescens (Warren, 1896)",,
アオナミシャク,"Leptostegna tenerata Christoph, 1881",,
ホソバナミシャク,"Tyloptera bella (Butler, 1878)",,
シラユキナミシャク,"Palaeomystis mabillaria (Poujade, 1895)",,
キリバネホソナミシャク,"Brabira artemidora (Oberthür, 1884)",,
チャホシホソバナミシャク,"Brabira kasaii Sato, 1986",,
ミナミヒゲブトナミシャク,"Sauris interruptata (Moore, 1888)",,
ヒゲブトナミシャク,"Sauris nanaria Leech, 1897",,
コバネヒゲブトナミシャク,"Sauris marginepunctata (Warren, 1899)",,
テングホソナミシャク,"Sauris angustifasciata (Inoue, 1976)",,
ハラアオヒゲブトナミシャク,"Sauris chlorosterna Hashimoto, 2019",,
オビムラサキヒゲブトナミシャク,"Sauris purpurotincta Galsworthy, 1999",,
ナンカイヒゲブトナミシャク,"Sauris hirudinata Guenée, 1858",,
ウスミドリナミシャク,"Episteira nigrilinearia (Leech, 1897)",,
マダラヒゲブトナミシャク,"Episteira eupena (Prout, 1936)",,
ミドリホソナミシャク,"Phthonoloba viridifasciata (Inoue, 1963)",,
ヨスジナミシャク,"Xanthorhoe quadrifasciata (Clerck, 1759)",,
キタミナミシャク,"Xanthorhoe separata Inoue, 2004",,
アカマダラシマナミシャク,"Xanthorhoe dentipostmediana Inoue, 1954",,
ハングロナミシャク,"Xanthorhoe semilactescens Inoue, 1982",,
フトジマナミシャク,"Xanthorhoe saturata (Guenée, 1858)",,
トビスジコナミシャク,"Xanthorhoe designata (Hufnagel, 1867)",,
ナカクロオビナミシャク,"Xanthorhoe purpureofascia Inoue, 1982",,
ウスイロトビスジナミシャク,"Costaconvexa caespitaria (Christoph, 1881)",,
ハコベナミシャク,"Euphyia cineraria (Butler, 1878)",,
ムツテンナミシャク,"Catarhoe yokohamae (Butler, 1881)",,
ハチノジクロナミシャク,"Pseudobaptria corydalaria (Graeser, 1889)",,
ニッコウナミシャク,"Amoebotricha grataria (Leech, 1891)",,
ミカヅキナミシャク,"Earophila correlata (Warren, 1901)",,
ウラウスキナミシャク,"Protonebula umbrifera (Butler, 1879)",,
タテスジナミシャク,"Pareulype consanguinea (Butler, 1878)",,
チャイロナミシャク,"Pelurga comitata (Linnaeus, 1758)",,
クロアシナミシャク,"Pelurga taczanowskiaria (Oberthür, 1880)",,
ネスジナミシャク,"Pelurga onoi (Inoue, 1965)",,
ヒメキンオビナミシャク,"Electrophaes recens Inoue, 1982",,
サザナミナミシャク,"Entephria caesiata (Denis & Schiffermüller, 1775)",,
シロテンサザナミナミシャク,"Entephria amplicosta Inoue, 1955",,
ナカモンキナミシャク,"Idiotephria evanescens (Staudinger, 1897)",,
モンキキナミシャク,"Idiotephria amelia (Butler, 1878)",,
ギフウスキナミシャク,"Idiotephria debilitata (Leech, 1891)",,
ヤナギナミシャク,"Hydriomena furcata (Thunberg, 1784)",,
ヒロオビナミシャク,"Hydriomena impluviata (Denis & Schiffermüller, 1775)",,
マエモンオオナミシャク,"Triphosa sericata (Butler, 1879)",,
クモオビナミシャク,"Triphosa umbraria (Leech, 1891)",,
クロヤエナミシャク,"Triphosa vashti (Butler, 1878)",,
シロモンオオナミシャク,"Rheumaptera albiplaga (Oberthür, 1866)",,
キボシヤエナミシャク,"Rheumaptera neocervinalis Inoue, 1982",,
ヤエナミシャク,"Rheumaptera undulata (Linnaeus, 1758)",,
ツマグロヤエナミシャク,"Rheumaptera inanata (Christoph, 1881)",,
エゾヤエナミシャク,"Philereme corrugata (Butler, 1884)",,
ネグロウスベニナミシャク,"Photoscotosia atrostrigata (Bremer, 1864)",,
オオネグロウスベニナミシャク,"Photoscotosia lucicolens (Butler, 1878)",,
テンヅマナミシャク,"Telenomeuta punctimarginaria (Leech, 1891)",,
オオナミシャク,"Gandaritis maculata Swinhoe, 1894",,
キベリシロナミシャク,"Gandaritis placida (Butler, 1878)",,
ツマキシロナミシャク,"Gandaritis whitelyi (Butler, 1878)",,
ナミガタシロナミシャク,"Callabraxas compositata (Guenée, 1858)",,
フトシロオビナミシャク,"Callabraxas tokunoshimaensis Nakajima, 2014",,
ウストビモンナミシャク,"Eulithis ledereri (Bremer, 1864)",,
キジマソトグロナミシャク,"Eulithis pyropata (Hübner, 1809)",,
アトクロナミシャク,"Lampropteryx minna (Butler, 1881)",,
チビアトクロナミシャク,"Lampropteryx otregiata Metcalfe, 1917",,
ヒダカアトクロナミシャク,"Lampropteryx suffumata (Denis & Schiffermüller, 1775)",,
ナワメナミシャク,"Lampropteryx jameza (Butler, 1878)",,
セスジナミシャク,"Evecliptopera illitata (Wileman, 1911)",,
ソトキナミシャク,"Ecliptopera pryeri (Butler, 1881)",,
ミヤマアミメナミシャク,"Eustroma aerosa (Butler, 1878)",,
キアミメナミシャク,"Eustroma japonica Inoue, 1986",,
ホソスジナミシャク,"Lobogonodes complicata (Butler, 1879)",,
シロホソスジナミシャク,"Lobogonodes multistriata (Butler, 1889)",,
ビロードナミシャク,"Sibatania mactata (Felder & Rogenhofer, 1875)",,
キスジビロードナミシャク,"Sibatania arizana (Wileman, 1911)",,
ウスキナカジロナミシャク,"Dysstroma infuscata (Tengström, 1869)",,
アルプスナカジロナミシャク,"Dysstroma pseudimmanata Heydemann, 1929",,
シロマダラナミシャク,"Dysstroma albicoma (Inoue, 1954)",,
ネアカナカジロナミシャク,"Paradysstroma corussaria (Oberthür, 1880)",,
オオクロオビナミシャク,"Praethera praefecta (Prout, 1914)",,
ミヤマクロオビナミシャク,"Praethera anomala (Inoue, 1954)",,
クロオビナミシャク,"Pennithera comis (Butler, 1879)",,
ウスクロオビナミシャク,"Pennithera abolla (Inoue, 1943)",,
モトクロオビナミシャク,"Heterothera quadrifulta (Prout, 1938)",,
マダラクロオビナミシャク,"Heterothera serrataria (Prout, 1914)",,
フタクロテンナミシャク,"Xenortholitha propinguata (Kollar, 1844)",,
ナミスジフユナミシャク,"Operophtera brunnea Nakajima, 1991",,
ユキノコフユナミシャク,"Operophtera mizunoi Nakajima, 2020",,
イチモジフユナミシャク,"Operophtera rectipostmediana Inoue, 1942",,
サザナミフユナミシャク,"Operophtera japonaria (Leech, 1891)",,
ヒメクロオビフユナミシャク,"Operophtera crispifascia Inoue, 1982",,
ミドリアキナミシャク,"Epirrita viridipurpurescens (Prout, 1937)",,
ナカオビアキナミシャク,"Nothoporinia mediolineata (Prout, 1914)",,
シロオビマルバナミシャク,"Solitanea defricata (Püngeler, 1903)",,
トビスジトガリナミシャク,"Zola terranea (Butler, 1879)",,
ミヤマナミシャク,"Venusia cambrica Curtis, 1839",,
クロスジカバイロナミシャク,"Venusia laria Oberthür, 1893",,
キモンハイイロナミシャク,"Venusia blomeri (Curtis, 1832)",,
マエモンハイイロナミシャク,"Venusia semistrigata (Christoph, 1881)",,
フタモンコナミシャク,"Venusia megaspilata (Warren, 1895)",,
ナナスジナミシャク,"Venusia phasma (Butler, 1879)",,
キスジハイイロナミシャク,"Hydrelia sylvata (Denis & Schiffermüller, 1775)",,
ホソスジハイイロナミシャク,"Hydrelia gracilipennis Inoue, 1982",,
チビヒメナミシャク,"Hydrelia shioyana (Matsumura, 1927)",,
カバイロヒメナミシャク,"Hydrelia adesma Prout, 1930",,
テンスジヒメナミシャク,"Hydrelia nisaria (Christoph, 1881)",,
マダラウスナミシャク,"Hydrelia bicauliata Prout, 1914",,
キヒメナミシャク,"Hydrelia flammeolaria (Hufnagel, 1767)",,
ハンノナミシャク,"Euchoeca nebulata (Scopoli, 1763)",,
ヘリスジナミシャク,"Eschatarchia lineata Warren, 1894",,
ウステンシロナミシャク,"Asthena amurensis (Staudinger, 1897)",,
ムスジシロナミシャク,"Asthena nymphaeata (Staudinger, 1897)",,
マンサクシロナミシャク,"Asthena hamadryas Inoue, 1976",,
キムジシロナミシャク,"Asthena corculina Butler, 1878",,
フタマタシロナミシャク,"Asthena ochrifasciaria Leech, 1897",,
カラフトシロナミシャク,"Asthena sachalinensis (Matsumura, 1925)",,
キマダラシロナミシャク,"Asthena octomacularia Leech, 1897",,
スカシシロナミシャク,"Asthena undulata (Wileman, 1915)",,
ハガタチビナミシャク,"Hastina subfalcaria (Christoph, 1881)",,
フタオモドキナミシャク,"Macrohastina azela (Butler, 1878)",,
キイロナミシャク,"Pseudostegania defectata (Christoph, 1881)",,
セグロナミシャク,"Laciniodes unistirpis (Butler, 1878)",,
キベリヒメナミシャク,"Eois grataria (Walker, 1861)",,
マエチャナミシャク,"Acolutha pictaria (Moore, 1888)",,
ハガタマエチャナミシャク,"Acolutha pulchella (Hampson, 1891)",,
アカモンコナミシャク,"Palpoctenidia phoenicosoma (Swinhoe, 1895)",,
ハネナガナミシャク,"Physetobasis dentifascia Hampson, 1895",,
ハマダラナミシャク,"Pomasia denticlathrata Warren, 1893",,
ウスカバスジナミシャク,"Martania taeniata (Stephens, 1831)",,
ヒメカバスジナミシャク,"Martania saxea (Wileman, 1911)",,
コカバスジナミシャク,"Martania fulvida (Butler, 1881)",,
キオビカバスジナミシャク,"Martania minimata (Staudinger, 1897)",,
クロカバスジナミシャク,"Gagitodes parvaria (Leech, 1891)",,
ヤハズナミシャク,"Gagitodes sagittata (Fabricius, 1787)",,
ミヤマチビナミシャク,"Perizoma japonica Inoue, 1955",,
ウスモンチビナミシャク,"Perizoma contrita (Prout, 1913)",,
ハガタオビコナミシャク,"Perizoma alchemillata (Linnaeus, 1758)",,
フタオビカバナミシャク,"Perizoma haasi (Hedemann, 1881)",,
オオクロテンカバナミシャク,"Eupithecia abietaria (Goeze, 1781)",,
ダイセツクロテンカバナミシャク,"Eupithecia analoga Djakonov, 1926",,
フトオビヒメナミシャク,"Eupithecia gigantea Staudinger, 1897",,
ウスアカチビナミシャク,"Eupithecia rufescens Butler, 1878",,
ナカオビカバナミシャク,"Eupithecia subbreviata Staudinger, 1897",,
ウスカバナミシャク,"Eupithecia proterva Butler, 1878",,
モンウスカバナミシャク,"Eupithecia clavifera Inoue, 1955",,
マエナミカバナミシャク,"Eupithecia niphonaria Leech, 1897",,
マエテンカバナミシャク,"Eupithecia costiconvexa Inoue, 1979",,
ヒコサンカバナミシャク,"Eupithecia antivulgaria Inoue, 1965",,
ソトカバナミシャク,"Eupithecia signigera Butler, 1879",,
ナガイカバナミシャク,"Eupithecia nagaii Inoue, 1963",,
アキカバナミシャク,"Eupithecia subfumosa Inoue, 1965",,
ヒメカバナミシャク,"Eupithecia aritai Inoue, 1977",,
ナカアオナミシャク,"Eupithecia sophia Butler, 1878",,
エゾチビナミシャク,"Eupithecia jezonica Matsumura, 1927",,
オオモンカバナミシャク,"Eupithecia okadai Inoue, 1958",,
ヤスジカバナミシャク,"Eupithecia mandschurica Staudinger, 1897",,
クロテンヤスジカバナミシャク,"Eupithecia interpunctaria Inoue, 1979",,
ホソチビナミシャク,"Eupithecia absinthiata (Clerck, 1759)",,
ホタカカバナミシャク,"Eupithecia korbi Dietze, 1908",,
セアカカバナミシャク,"Eupithecia quadripunctata Warren, 1888",,
フタモンカバナミシャク,"Eupithecia repentina Vojnits & Laever, 1978",,
ハラキカバナミシャク,"Eupithecia subtacincta Hampson, 1895",,
ミジンカバナミシャク,"Eupithecia addictata Dietze, 1908",,
イイジマカバナミシャク,"Eupithecia thalictrata Püngeler, 1902",,
ウスイロヤスジカバナミシャク,"Eupithecia kurilensis Bryk, 1942",,
ウラモンウストビナミシャク,"Eupithecia scribai Prout, 1938",,
ウストビナミシャク,"Eupithecia amplexata Christoph, 1881",,
オオウストビナミシャク,"Eupithecia pernotata Guenée, 1858",,
アルプスカバナミシャク,"Eupithecia veratraria Herrich-Schäffer, 1848",,
シロマダラカバナミシャク,"Eupithecia extensaria (Freyer, 1844)",,
シタジロカバナミシャク,"Eupithecia conterminata (Zeller, 1846)",,
ミスジカバナミシャク,"Eupithecia neosatyrata Inoue, 1979",,
アミモンカバナミシャク,"Eupithecia insignioides Wehrli, 1923",,
カラスナミシャク,"Eupithecia caliginea Butler, 1878",,
ジンボカバナミシャク,"Eupithecia jinboi Inoue, 1976",,
カメダカバナミシャク,"Eupithecia detritata Staudinger, 1897",,
オビカバナミシャク,"Eupithecia selinata Herrich-Schäffer, 1861",,
チャバネカバナミシャク,"Eupithecia kobayashii Inoue, 1958",,
スジグロカバナミシャク,"Eupithecia supercastigata Inoue, 1958",,
クロモンカバナミシャク,"Eupithecia consortaria Leech, 1897",,
ウラモンカバナミシャク,"Eupithecia actaeata Walderdorff, 1869",,
ミヤマカバナミシャク,"Eupithecia impavida Vojnits, 1979",,
フジカバナミシャク,"Eupithecia groenblomi Urbahn, 1969",,
ツシマカバナミシャク,"Eupithecia persuastrix Mironov, 1990",,
ハネナガカバナミシャク,"Eupithecia takao Inoue, 1955",,
クロスジカバナミシャク,"Eupithecia ancillata Mironov & Galsworthy, 2004",,
シロテンカバナミシャク,"Eupithecia tripunctaria Herrich-Schäffer, 1855",,
クニガミカバナミシャク,"Eupithecia ryukyuensis Inoue, 1971",,
トシマカバナミシャク,"Eupithecia tenuisquama (Warren, 1896)",,
クロシオカバナミシャク,"Eupithecia kuroshio Inoue, 1980",,
クロテンカバナミシャク,"Eupithecia emanata Dietze, 1908",,
アザミカバナミシャク,"Eupithecia virgaureata Doubleday, 1861",,
ホソカバスジナミシャク,"Eupithecia lariciata (Freyer, 1842)",,
マダラカバスジナミシャク,"Eupithecia tantilloides Inoue, 1958",,
シコクカバナミシャク,"Eupithecia shikokuensis Inoue, 1980",,
マスイカバナミシャク,"Eupithecia pusillata (Denis & Schiffermüller, 1775)",,
キナミウスグロナミシャク,"Eupithecia subfuscata (Haworth, 1809)",,
ウススジヒメカバナミシャク,"Eupithecia homogrammata Dietze, 1908",,
ムネシロテンカバナミシャク,"Eupithecia maenamiella Inoue, 1980",,
グンマカバナミシャク,"Eupithecia ebriosa Vojnits, 1979",,
ナカグロチビナミシャク,"Eupithecia daemionata Dietze, 1903",,
ヨホシナミシャク,"Eupithecia costimacularia Leech, 1897",,
ヤクシマカバナミシャク,"Eupithecia yakushimensis Inoue, 1980",,
クロマダラカバナミシャク,"Eupithecia pygmaeata (Hübner, 1799)",,
クロバネカバナミシャク,"Eupithecia zibellinata Christoph, 1881",,
チャイロカバナミシャク,"Eupithecia pseudassimilata Viidalepp & Mironov, 1988",,
シロオビカバナミシャク,"Eupithecia suboxydata Staudinger, 1897",,
オガサワラカバナミシャク,"Eupithecia costalis Walker, 1869",,
ナミスジカバナミシャク,"Eupithecia carpophilata Staudinger, 1897",,
ムラサキカバナミシャク,"Girida rigida (Swinhoe, 1892)",,
フタシロスジカバナミシャク,"Mesoptila melanolopha (Swinhoe, 1895)",,
シロモンカバナミシャク,"Pareupithecia spadix (Inoue, 1955)",,
ナカジマチビナミシャク,"Casuariclystis latifascia (Walker, 1866)",,
ホソバチビナミシャク,"Spiralisigna subpumilata (Inoue, 1972)",,
イシガキチビナミシャク,"Eriopithex ishigakiensis (Inoue, 1971)",,
クニガミチビナミシャク,"Eriopithex lanaris Warren, 1896",,
テルクビチビナミシャク,"Gymnoscelis pseudotibialis Holloway, 1997",,
ケブカチビナミシャク,"Gymnoscelis esakii Inoue, 1955",,
ウスチャイロチビナミシャク,"Gymnoscelis albicaudata Warren, 1897",,
トベラクロスジナミシャク,"Gymnoscelis tristrigosa (Butler, 1880)",,
ヒラドチビナミシャク,"Gymnoscelis imparatalis (Walker, 1866)",,
ウスムラサキチビナミシャク,"Gymnoscelis deleta (Hampson, 1891)",,
ユリカチビナミシャク,"Gymnoscelis yurikae Inoue, 2002",,
マルバネチビナミシャク,"Gymnoscelis admixtaria (Walker, 1862)",,
オガサワラチビナミシャク,"Gymnoscelis boninensis Inoue, 1994",,
ウラジロチビナミシャク,"Gymnoscelis montgomeryi Inoue, 1994",,
ウラグロチビナミシャク,"Gymnoscelis melaninfra Inoue, 1994",,
シタベニチビナミシャク,"Gymnoscelis semialbida (Walker, 1866)",,
カギモンチビナミシャク,"Glaucoclystis polyclealis (Walker, 1859)",,
クロテンアオナミシャク,"Glaucoclystis azumai (Inoue, 1971)",,
ミナミチビナミシャク,"Glaucoclystis satoi Inoue, 2002",,
クロスジチビナミシャク,"Glaucoclystis tominagai Yazaki, 2014",,
クロスジアオナミシャク,"Chloroclystis v-ata (Haworth, 1809)",,
アマミアオナミシャク,"Chloroclystis neoconversa Inoue, 1971",,
リンゴアオナミシャク,"Pasiphila rectangulata (Linnaeus, 1758)",,
クロフウスアオナミシャク,"Pasiphila chloerata (Mabille, 1870)",,
ハラアカウスアオナミシャク,"Pasiphila obscura (West, 1929)",,
テンスジアオナミシャク,"Pasiphila debiliata (Hübner, 1817)",,
ウラモンアオナミシャク,"Pasiphila subcinctata (Prout, 1915)",,
チビアオナミシャク,"Pasiphila kumakurai (Inoue, 1958)",,
ソトシロオビナミシャク,"Pasiphila excisa (Butler, 1878)",,
マダラアオナミシャク,"Pasiphila hypopyrrha (West, 1929)",,
アトシロモンカバナミシャク,"Axinoptera anticostalis Galsworthy, 1999",,
サキシマチビナミシャク,"Bosara atypha (Prout, 1958)",,
ヒトスジチビナミシャク,"Bosara kadooriensis Galsworthy, 2003",,
クビレチビナミシャク,"Bosara obliterata Inoue, 2002",,
テングナミシャク,"Collix stellata Warren, 1894",,
オオサビイロナミシャク,"Collix ghosha Walker, 1862",,
トラノオナミシャク,"Anticollix sparsata (Treitschke, 1828)",,
アオスジナミシャク,"Echthrocollix minuta (Butler, 1881)",,
マエフタテンナミシャク,"Herbulotia agilata (Christoph, 1881)",,
トガリバナミシャク,"Horisme stratata (Wileman, 1911)",,
サビイロナミシャク,"Pseudocollix hyperythra (Hampson, 1895)",,
