row,record_id,insect_id,plant_name,filled_family,ylist_canonical,ylist_scientific_name,factcheck_source
12603,hostplant-B1B6-0409,species-3700,マユミ,ニシキギ科,マユミ,Euonymus sieboldianus var. sieboldianus,public/assets/data-lite/ylist-lite.json
12604,hostplant-B1B6-0411,species-3700,ツルウメモドキ,ニシキギ科,ツルウメモドキ,Celastrus orbiculatus var. orbiculatus,public/assets/data-lite/ylist-lite.json
12605,hostplant-B1B6-0412,species-3700,ニシキギ,ニシキギ科,ニシキギ,Euonymus alatus f. alatus,public/assets/data-lite/ylist-lite.json
12606,hostplant-B1B6-0415,species-3701,ニシキギ,ニシキギ科,ニシキギ,Euonymus alatus f. alatus,public/assets/data-lite/ylist-lite.json
12607,hostplant-B1B6-0416,species-3701,コマユミ,ニシキギ科,コマユミ,Euonymus alatus f. striatus,public/assets/data-lite/ylist-lite.json
12613,hostplant-B1B6-0423,species-3703,ブナ,ブナ科,ブナ,Fagus crenata,public/assets/data-lite/ylist-lite.json
12614,hostplant-B1B6-0427,species-3705,ソヨゴ,モチノキ科,ソヨゴ,Ilex pedunculosa,public/assets/data-lite/ylist-lite.json
12618,hostplant-B1B6-0431,species-3706,ノイバラ,バラ科,ノイバラ,Rosa multiflora,public/assets/data-lite/ylist-lite.json
12619,hostplant-B1B6-0432,species-3706,ソメイヨシノ,バラ科,ソメイヨシノ,Cerasus yedoensis,public/assets/data-lite/ylist-lite.json
12625,hostplant-B1B6-0439,species-3711,カマツカ,バラ科,カマツカ,Pourthiaea villosa,public/assets/data-lite/ylist-lite.json
12626,hostplant-B1B6-0440,species-3711,ナナカマド,バラ科,ナナカマド,Sorbus commixta,public/assets/data-lite/ylist-lite.json
12630,hostplant-B1B6-0456,species-3721,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
12631,hostplant-B1B6-0457,species-3721,カシワ,ブナ科,カシワ,Quercus dentata,public/assets/data-lite/ylist-lite.json
12633,hostplant-B1B6-0459,species-3721,ダケカンバ,カバノキ科,ダケカンバ,Betula ermanii,public/assets/data-lite/ylist-lite.json
12634,hostplant-B1B6-0460,species-3721,シラカンバ,カバノキ科,シラカンバ,Betula platyphylla var. japonica,public/assets/data-lite/ylist-lite.json
12641,hostplant-B1B6-0467,species-3730,マサキ,ニシキギ科,マサキ,Euonymus japonicus,public/assets/data-lite/ylist-lite.json
12642,hostplant-B1B6-0468,species-3730,コマユミ,ニシキギ科,コマユミ,Euonymus alatus f. striatus,public/assets/data-lite/ylist-lite.json
12643,hostplant-B1B6-0469,species-3730,ツリバナ,ニシキギ科,ツリバナ,Euonymus oxyphyllus,public/assets/data-lite/ylist-lite.json
12644,hostplant-B1B6-0470,species-3730,マユミ,ニシキギ科,マユミ,Euonymus sieboldianus var. sieboldianus,public/assets/data-lite/ylist-lite.json
12645,hostplant-B1B6-0471,species-3730,ニシキギ,ニシキギ科,ニシキギ,Euonymus alatus f. alatus,public/assets/data-lite/ylist-lite.json
12646,hostplant-B1B6-0472,species-3730,ツルウメモドキ,ニシキギ科,ツルウメモドキ,Celastrus orbiculatus var. orbiculatus,public/assets/data-lite/ylist-lite.json
12647,hostplant-B1B6-0473,species-3731,ゴマナ,キク科,ゴマナ,Aster glehnii var. hondoensis,public/assets/data-lite/ylist-lite.json
12648,hostplant-B1B6-0474,species-3731,クロバナヒキオコシ,シソ科,クロバナヒキオコシ,Isodon trichocarpus,public/assets/data-lite/ylist-lite.json
12657,hostplant-B1B6-0486,species-3734,オオバクロモジ,クスノキ科,オオバクロモジ,Lindera umbellata var. membranacea,public/assets/data-lite/ylist-lite.json
12658,hostplant-B1B6-0487,species-3734,ダンコウバイ,クスノキ科,ダンコウバイ,Lindera obtusiloba,public/assets/data-lite/ylist-lite.json
12661,hostplant-B1B6-0496,species-3740,リンゴ,バラ科,リンゴ,Malus pumila var. domestica,public/assets/data-lite/ylist-lite.json
12662,hostplant-B1B6-0497,species-3740,ナシ,バラ科,ナシ,Pyrus pyrifolia var. culta,public/assets/data-lite/ylist-lite.json
12664,hostplant-B1B6-0499,species-3741,ジュウモンジシダ,オシダ科,ジュウモンジシダ,Polystichum tripteron,public/assets/data-lite/ylist-lite.json
12665,hostplant-B1B6-0500,species-3741,リョウメンシダ,オシダ科,リョウメンシダ,Arachniodes standishii,public/assets/data-lite/ylist-lite.json
12683,hostplant-B1B6-0522,species-3749,ブナ,ブナ科,ブナ,Fagus crenata,public/assets/data-lite/ylist-lite.json
12684,hostplant-B1B6-0523,species-3749,コナラ,ブナ科,コナラ,Quercus serrata,public/assets/data-lite/ylist-lite.json
12685,hostplant-B1B6-0524,species-3749,ミズナラ,ブナ科,ミズナラ,Quercus crispula var. crispula,public/assets/data-lite/ylist-lite.json
