kind,insect_id,normalized_japanese_name,public_japanese_name,normalized_scientific_name,public_scientific_name
"mismatch","species-0195","オビマガリガ","オビマガリガ","Lampronia sp. 2 of Oku, 2003","Lampronia sp. 2 of Oku, 2003"
"mismatch","species-0216","ウスキハモグリガ","ウスキハモグリガ","Tischeria sp. 1 of Oku, 2003","Tischeria sp. 1 of Oku, 2003"
"mismatch","species-0284","ミナミウスグロスカシモンヒロズコガ","ミナミウスグロスカシモンヒロズコガ","Crypsithyris sp. of Nasu et al., 2020","Crypsithyris sp. of Nasu et al., 2020"
"mismatch","species-0287","ヤエヤマクロテンヒロズコガ","ヤエヤマクロテンヒロズコガ","Ceratophaga sp. of Nasu et al., 2019","Ceratophaga sp. of Nasu et al., 2019"
"mismatch","species-0309","ヒモミノガ","ヒモミノガ","Gen. sp. of Saigusa, 1962","Gen. sp. of Saigusa, 1962"
"mismatch","species-0310","キノコヒモミノガ","キノコヒモミノガ","Gen. sp. of Nakamura, 1977","Gen. sp. of Nakamura, 1977"
"mismatch","species-0312","オオヒロズミノガ","オオヒロズミノガ","Ceratosticha sp. of Saigusa, 2013","Ceratosticha sp. of Saigusa, 2013"
"mismatch","species-0344","ドイミノガ","ドイミノガ","Gen. sp. of Doi, 2005","Gen. sp. of Doi, 2005"
"mismatch","species-0374","ナツハゼホシボシホソガ","ナツハゼホシボシホソガ","Parornix sp. of Nobuoka et al., 2012","Parornix sp. of Nobuoka et al., 2012"
"mismatch","species-0391","シロオビハマキホソガ","シロオビハマキホソガ","Caloptilia sp. 1 of Oku, 2003","Caloptilia sp. 1 of Oku, 2003"
"mismatch","species-0407","マンサクハマキホソガ","マンサクハマキホソガ","Caloptilia sp. 4 of Oku, 2003","Caloptilia sp. 4 of Oku, 2003"
"mismatch","species-0433","クロモジハマキホソガ","クロモジハマキホソガ","Caloptilia sp. 5 of Oku, 2003","Caloptilia sp. 5 of Oku, 2003"
"mismatch","species-0469","クロガネモチホソガ","クロガネモチホソガ","Acrocercops sp. of Nakamura, 1993b","Acrocercops sp. of Nakamura, 1993b"
"mismatch","species-0563","ヤナギマダラキンモンホソガ","ヤナギマダラキンモンホソガ","Phyllonorycter sp. of Oku, 2003","Phyllonorycter sp. of Oku, 2003"
"mismatch","species-0605","ヒイラギコハモグリ","ヒイラギコハモグリ","Phyllocnistis sp. 1 of Owada et al., 2006","Phyllocnistis sp. 1 of Owada et al., 2006"
"mismatch","species-0606","ヤブニッケイコハモグリ","ヤブニッケイコハモグリ","Phyllocnistis sp. 3 of Owada et al., 2006","Phyllocnistis sp. 3 of Owada et al., 2006"
"mismatch","species-0607","クヌギコハモグリ","クヌギコハモグリ","Phyllocnistis sp. 4 of Owada et al., 2006","Phyllocnistis sp. 4 of Owada et al., 2006"
"mismatch","species-0608","ホウノキコハモグリ","ホウノキコハモグリ","Phyllocnistis sp. 2 of Arita et al., 2009","Phyllocnistis sp. 2 of Arita et al., 2009"
"mismatch","species-0642","ウスモンホソバコスガ","ウスモンホソバコスガ","Xyrosaris sp. 1 of Oku, 2003","Xyrosaris sp. 1 of Oku, 2003"
"mismatch","species-0643","ヒメホソバコスガ","ヒメホソバコスガ","Xyrosaris sp. 2 of Oku, 2003","Xyrosaris sp. 2 of Oku, 2003"
"mismatch","species-0672","ブナメムシガ","ブナメムシガ","Argyresthia sp. 2 of Oku, 2003","Argyresthia sp. 2 of Oku, 2003"
"mismatch","species-0694","ヤチダモニセスガ","ヤチダモニセスガ","Prays sp. of Oku, 2008","Prays sp. of Oku, 2008"
"mismatch","species-0719","オオクボクチブサガ","オオクボクチブサガ","Ypsolopha sp. 1 of Ijima & Kawahara, 2005","Ypsolopha sp. 1 of Ijima & Kawahara, 2005"
"mismatch","species-0720","クシロクチブサガ","クシロクチブサガ","Ypsolopha sp. 2 of Ijima & Kawahara, 2005","Ypsolopha sp. 2 of Ijima & Kawahara, 2005"
"mismatch","species-0721","ミスジクチブサガ","ミスジクチブサガ","Ypsolopha sp. 3 of Ijima & Kawahara, 2005","Ypsolopha sp. 3 of Ijima & Kawahara, 2005"
"mismatch","species-0726","ヤマヒロバコナガ","ヤマヒロバコナガ","Leuroperna sp. of Oku, 2003","Leuroperna sp. of Oku, 2003"
"mismatch","species-0735","ヒイロギンスジコガ","ヒイロギンスジコガ","Digitivalva sp. of Suzuki et al., 2018","Digitivalva sp. of Suzuki et al., 2018"
"mismatch","species-0746","トリアシショウマツヅリコガ","トリアシショウマツヅリコガ","Acrolepiopsis sp. of Yasuda, 2013","Acrolepiopsis sp. of Yasuda, 2013"
"mismatch","species-0772","シロホソハマキモドキ","シロホソハマキモドキ","Glyphipterix sp. of Oku, 2003","Glyphipterix sp. of Oku, 2003"
"mismatch","species-0807","ミヤマユミモンマルハキバガ","ミヤマユミモンマルハキバガ","Semioscopis sp. of Sakamaki, 2013","Semioscopis sp. of Sakamaki, 2013"
"mismatch","species-0824","ウスイハラマルハキバガ","ウスイハラマルハキバガ","Agonopterix sp. 1 of Sakamaki, 2013","Agonopterix sp. 1 of Sakamaki, 2013"
"mismatch","species-0837","アズサアサギマルハキバガ","アズサアサギマルハキバガ","Agonopterix sp. A of Kameda, 1988","Agonopterix sp. A of Kameda, 1988"
"mismatch","species-0838","カラカサバナマルハキバガ","カラカサバナマルハキバガ","Agonopterix sp. 2 of Sakamaki, 2013","Agonopterix sp. 2 of Sakamaki, 2013"
"mismatch","species-0918","ウスイロコマルハキバガ","ウスイロコマルハキバガ","Meleonoma sp. 1 of Kitajima & Sakamaki, 2020 [2021]","Meleonoma sp. 1 of Kitajima & Sakamaki, 2020 [2021]"
"mismatch","species-0919","ヒメアマミコマルハキバガ","ヒメアマミコマルハキバガ","Meleonoma sp. 2 of Kitajima & Sakamaki, 2020 [2021]","Meleonoma sp. 2 of Kitajima & Sakamaki, 2020 [2021]"
"mismatch","species-0923","ウスオビヒメマルハキバガ","ウスオビヒメマルハキバガ","Acryptolechia sp. 2 of Ueda, 2013","Acryptolechia sp. 2 of Ueda, 2013"
"mismatch","species-0926","コゲチャマルハキバガ","コゲチャマルハキバガ","Barea sp. 1 of Kitajima, 2021","Barea sp. 1 of Kitajima, 2021"
"mismatch","species-0927","ヤエヤママルハキバガ","ヤエヤママルハキバガ","Barea sp. 2 of Kitajima, 2021","Barea sp. 2 of Kitajima, 2021"
"mismatch","species-0942","イノコベニマルハキバガ","イノコベニマルハキバガ","Promalactis sp. of Komatsu, 2017","Promalactis sp. of Komatsu, 2017"
"mismatch","species-0963","カクバネゴマフシロハビロキバガ","カクバネゴマフシロハビロキバガ","Scythropiodes sp. of Sakamaki, 2013","Scythropiodes sp. of Sakamaki, 2013"
"mismatch","species-0974","キイロホソバヒゲナガキバガ","キイロホソバヒゲナガキバガ","Lecithocera sp. 2 of Oku, 2003","Lecithocera sp. 2 of Oku, 2003"
"mismatch","species-0987","ヤシノホソキバガ","ヤシノホソキバガ","Batrachedra sp. 1 of Sugisima, 2013","Batrachedra sp. 1 of Sugisima, 2013"
"mismatch","species-0988","カイガラホソキバガ","カイガラホソキバガ","Batrachedra sp. 2 of Sugisima, 2013","Batrachedra sp. 2 of Sugisima, 2013"
"mismatch","species-0990","スゲスゴモリキバガ","スゲスゴモリキバガ","Idioglossa sp. of Hori & Sakurai, 2015","Idioglossa sp. of Hori & Sakurai, 2015"
"mismatch","species-1121","ケヤキツツミノガ","ケヤキツツミノガ","Coleophora sp. 1 of Oku, 2003","Coleophora sp. 1 of Oku, 2003"
"mismatch","species-1122","ハシバミマエジロツツミノガ","ハシバミマエジロツツミノガ","Coleophora sp. 2 of Oku, 2003","Coleophora sp. 2 of Oku, 2003"
"mismatch","species-1123","ハシバミクロツツミノガ","ハシバミクロツツミノガ","Coleophora sp. 3 of Oku, 2003","Coleophora sp. 3 of Oku, 2003"
"mismatch","species-1124","ムラサキヤシオツツミノガ","ムラサキヤシオツツミノガ","Coleophora sp. 4 of Oku, 2003","Coleophora sp. 4 of Oku, 2003"
"mismatch","species-1125","タニウツギヒラタツツミノガ","タニウツギヒラタツツミノガ","Coleophora sp. 5 of Oku, 2003","Coleophora sp. 5 of Oku, 2003"
"mismatch","species-1126","オトコヨモギツツミノガ","オトコヨモギツツミノガ","Coleophora sp. 7 of Oku, 2003","Coleophora sp. 7 of Oku, 2003"
"mismatch","species-1127","ヤマハハコツツミノガ","ヤマハハコツツミノガ","Coleophora sp. 12 of Oku, 2003","Coleophora sp. 12 of Oku, 2003"
"mismatch","species-1128","ホシツツミノガ","ホシツツミノガ","Coleophora sp. 15 of Oku, 2003","Coleophora sp. 15 of Oku, 2003"
"mismatch","species-1129","スモモツツミノガ","スモモツツミノガ","Coleophora sp. [1] of Mano, 2016","Coleophora sp. [1] of Mano, 2016"
"mismatch","species-1132","ヤブツバキホソエダモグリガ","ヤブツバキホソエダモグリガ","Haplochrois sp. 1 of Sugisima, 2013","Haplochrois sp. 1 of Sugisima, 2013"
"mismatch","species-1133","オクノホソエダモグリガ","オクノホソエダモグリガ","Haplochrois sp. 2 of Sugisima, 2013","Haplochrois sp. 2 of Sugisima, 2013"
"mismatch","species-1155","キイロミツボシキバガ","キイロミツボシキバガ","Apethistis sp. of Ueda, 2013","Apethistis sp. of Ueda, 2013"
"mismatch","species-1156","ミヤマエミツボシキバガ","ミヤマエミツボシキバガ","Apethistis sp. of Nishikai, 2017","Apethistis sp. of Nishikai, 2017"
"mismatch","species-1228","オオホソカザリバ","オオホソカザリバ","Cosmopterix sp. 1 of Oku, 2003","Cosmopterix sp. 1 of Oku, 2003"
"mismatch","species-1230","ヨツモンホソマルハキバガ","ヨツモンホソマルハキバガ","Macrobathra sp. 1 of Oku, 2003","Macrobathra sp. 1 of Oku, 2003"
"mismatch","species-1231","ミツモンホソマルハキバガ","ミツモンホソマルハキバガ","Macrobathra sp. 2 of Oku, 2003","Macrobathra sp. 2 of Oku, 2003"
"mismatch","species-1234","ミナミコブカザリバ","ミナミコブカザリバ","Gisilia sp. of Nasu et al., 2020","Gisilia sp. of Nasu et al., 2020"
"mismatch","species-1242","クロトガリキバガ","クロトガリキバガ","Metzneria sp. of Sakamaki, 2013","Metzneria sp. of Sakamaki, 2013"
"mismatch","species-1270","サクラクロテンキバガ","サクラクロテンキバガ","Gelechia sp. of Sakamaki, 2013","Gelechia sp. of Sakamaki, 2013"
"mismatch","species-1277","ヒメミツコブキバガ","ヒメミツコブキバガ","Psoricoptera sp. 2 of Oku, 2003","Psoricoptera sp. 2 of Oku, 2003"
"mismatch","species-1315","シモフリコキバガ","シモフリコキバガ","Euscrobipalpa sp. 1 of Oku, 2003","Euscrobipalpa sp. 1 of Oku, 2003"
"mismatch","species-1323","ヒメキボシキバガ","ヒメキボシキバガ","Teleiodes sp. of Funakoshi et al., 2015","Teleiodes sp. of Funakoshi et al., 2015"
"mismatch","species-1330","ケヤキキバガ","ケヤキキバガ","Teleiodes sp. 3 of Oku, 2003","Teleiodes sp. 3 of Oku, 2003"
"mismatch","species-1331","シラカバキボシキバガ","シラカバキボシキバガ","Teleiodes sp. of Kogi, 2017","Teleiodes sp. of Kogi, 2017"
"mismatch","species-1343","ホソハイジロキバガ","ホソハイジロキバガ","Pseudotelphusa sp. of Kogi, 2018","Pseudotelphusa sp. of Kogi, 2018"
"mismatch","species-1351","ダケカンバキバガ","ダケカンバキバガ","Anacampsis sp. of Ueda, 2013","Anacampsis sp. of Ueda, 2013"
"mismatch","species-1371","ホソバハイキバガ","ホソバハイキバガ","Aristotelia sp. of Ueda, 2013","Aristotelia sp. of Ueda, 2013"
