kind,insect_id,normalized_japanese_name,public_japanese_name,normalized_scientific_name,public_scientific_name
"mismatch","species-2140","ズグロシロヒメシンクイ","ズグロシロヒメシンクイ","Spilonota sp. 4 of Nasu, 2013","Spilonota sp. 4 of Nasu, 2013"
"mismatch","species-21459","ヤマハッカコブアブラムシ","ヤマハッカコブアブラムシ)","Megouroleum plectranthi (Shinji, 1939)","Megouroleum plectranthi (Shinji, 1939),ヒキオコシハマキコブアブラムシ (新称) (ヒキオコシコブアブラムシ"
"mismatch","species-2154","フタシロモンヒメハマキ","フタシロモンヒメハマキ","Epinotia trigonella (Linnaeus, 1758)","Epinotia trigonella (Linnaeus, 1758)"
"mismatch","species-2156","オオナガバヒメハマキ","オオナガバヒメハマキ","Epinotia maculana (Fabricius, 1775)","Epinotia maculana (Fabricius, 1775)"
"mismatch","species-2158","ダケカンバヒメハマキ","ダケカンバヒメハマキ","Epinotia brunnichana (Linnaeus, 1767)","Epinotia brunnichana (Linnaeus, 1767)"
"mismatch","species-21736","ヤノコモンタマムシ","ヤノコモンタマムシ","Poecilonota chinensis cupreomaculata Miwa & Chujo, 1935","Poecilonota chinensis cupreomaculata Miwa & Chujo, 1935; Poecilonota chinensis yanoi"
"mismatch","species-21789","","","Agrilus sinuatus yokoyamai Iga, 1955","Agrilus sinuatus yokoyamai Iga, 1955;"
"mismatch","species-21803","ヤナギナガタマムシ","ヤナギナガタマムシ","Agrilus brevitarsis brevitarsis Lewis, 1893","Agrilus brevitarsis brevitarsis Lewis, 1893; Agrilus salicivola Kurosawa, 1963"
"mismatch","species-21824","","","Habroloma kagosimanum (Obenberger, 1940)","Habroloma kagosimanum (Obenberger, 1940); Habroloma shirozui Kurosawa, 1959"
"mismatch","species-21825","","","Habroloma elegantulum (E.Saunders, 1873)","Habroloma elegantulum (E.Saunders, 1873); Habroloma ronino Obenberger, 1918"
