和名,学名,成虫出現期,生態備考,寄主植物
キイロキリガ,Xanthia togata,9-10月,成虫越冬はしない。,ヤナギ類 (ヤナギ科), ポプラ類 (ヤナギ科), トネリコ類 (モクセイ科), ニレ類 (ニレ科), コケモモ類 (ツツジ科)
オオモンキキリガ,Xanthia tunicata,9-11月,成虫の発生時期が遅い。,エゾリンドウ (リンドウ科)
キトガリキリガ,Telorta edentata,7-9月,幼虫は葉をつづり中にひそむ。,イスコリヤナギなどのヤナギ科
イタヤキリガ,Cosmia trapezina,6-10月,幼虫は他の幼虫にかみつくことがある。,トチノキ (ムクロジ科), マルバマンサク (マンサク科), カシワ (ブナ科), リンゴ (バラ科)
ナシキリガ,Cosmia pyralina,7-8月,成虫は夏に出現する。,ズミ, リンゴ, ナシ (以上バラ科), ハルニレ (ニレ科)
キシタキリガ,Cosmia moderata,7-8月,成虫は夏に出現する。,オオバボダイジュ (アオイ科)
ヒメカツキキリガ,Cosmia spurcopyga,7-8月,成虫は夏に出現する。,ハルニレ (ニレ科)
シマキリガ,Cosmia achatina,6-7月,卵越冬。,エノキ (アサ科)
シラオビキリガ,Cosmia camptostigma,6-8月,終齢幼虫まで集まって葉をつづる。,ヒノキ, アスナロ, スギ (以上ヒノキ科)
ヤンコウスキーキリガ,Xanthocosmia jankowskii,7-9月,ロシア南東部では日中、シナノキの葉に静止している。,シナノキ (アオイ科)
マダラキボシキリガ,Dimorphicosmia variegata,7-9月,成虫は夏に出現する。,ヒメシャラ, ナツツバキ (以上ツバキ科), タンナサワフタギ (ハイノキ科)
ヤナギキリガ,Ipimorpha retusa,7-9月,幼虫は葉をつづり中にひそむ。,イスコリヤナギなどのヤナギ科
ヒイロキリガ,Cosmia sanguinea,7-8月,幼虫は葉をつづり中にひそむ。,ヒメシャラ, ナツツバキ (以上ツバキ科), タンナサワフタギ (ハイノキ科)
ミチノクキリガ,Cosmia mali,6月下旬-7月,成虫は夏に出現する。,リンゴ (バラ科)
ドロキリガ,Ipimorpha subtusa,7-9月,成虫は夏に出現する。,ドロヤナギ (ヤナギ科)
ウスシタキリガ,Enargia paleacea,8-9月,卵越冬。,シラカンバ (カバノキ科)
フタスジキリガ,Enargia flavata,6-7月,成虫は夏に出現する。,ブナ (ブナ科)
ハルタギンガ,Chasminodes albonitens,7-8月,幼虫はオオバボダイジュの葉を上下につづって中にひそむ。,オオバボダイジュ (アオイ科)
ニセハルタギンガ,Chasminodes bremeri,7-8月,幼虫はオオバボダイジュの葉を上下につづって中にひそむ。,オオバボダイジュ (アオイ科)
