和名,学名,成虫時期,生態の備考
アヤモクメキリガ,"Xylena fumosa (Butler, 1878)",11月～4月,"""年1化。成虫で越冬する。""。寄主植物: サクラ類 (バラ科)、ダイズ (マメ科)、アズキ (マメ科)、ヤハズエンドウ (マメ科)、ジャガイモ (ナス科)、タバコ (ナス科)、テンサイ (ヒユ科)、ユリ類 (ユリ科)、ネギ (ヒガンバナ科)、ノゲシ (キク科)"
アルプスギンウワバ,"Syngrapha ottolenguii (Dyar, 1903)",7月～8月,"""年1化。""。寄主植物: コケモモ (ツツジ科)、ガンコウラン (ツツジ科)"
アルプスクロヨトウ,"Apamea rubrirena (Treitschke, 1825)",7月下旬～8月,"""年1化。""。寄主植物: 未知"
アルプスヤガ,"Xestia speciosa (Hübner, 1813)",7月下旬～9月中旬,"""年1化。高山帯での発生時期。""。寄主植物: 未知"
アワヨトウ,"Mythimna separata (Walker, 1865)",4月～11月,"""4～5回。幼虫態で越冬することが多い。""。寄主植物: 未知"
イシカリヨトウ,"Apamea oblonga (Haworth, 1809)",7月下旬～9月上旬,"""年1化。幼虫越冬。""。寄主植物: 未知"
イセキリガ,"Agrochola sakabei Sugi, 1980",10月下旬～11月,"""年1化。成虫越冬はしない。""。寄主植物: ツゲ (ツゲ科)"
イタヤキリガ,"Cosmia trapezina (Linnaeus, 1758)",6月～10月,"""年1化。""。寄主植物: トチノキ (ムクロジ科)、マルバマンサク (マンサク科)、カシワ (ブナ科)、リンゴ (バラ科)、不明"
イチゴキリガ,"Orbona fragariae (Vieweg, 1790)",11月～4月,"""年1化。成虫で越冬する。""。寄主植物: ヒユ科、キンポウゲ科、バラ科、アカネ科 (アカネ科)、シソ科、オオバコ科、タデ科、ヤナギ科、キク科、マメ科、ソメイヨシノ (バラ科)、キイチゴ (バラ科)、ナナカマド (バラ科)、ギシギシ (タデ科)"
イチモジキノコヨトウ,"Bryophila granitalis (Butler, 1881)",6月～9月,"""年1化と思われる。若齢幼虫で越冬する。""。寄主植物: 地衣類"
イチモジヒメヨトウ,"Xylomoia fusei Sugi, 1976",5月,寄主植物: クサヨシ (イネ科)
イナズマヒメクチバ,"Mecodina albodentata (Swinhoe, 1895)",4月～10月,寄主植物: 不明
イネキンウワバ,"Plusia festucae (Linnaeus, 1758)",6月～9月,"""年2化。幼虫越冬する。""。寄主植物: 不明 (イネ科)、ガマ (ガマ科)、カキツバタ (アヤメ科)、イグサ (イグサ科)、ヒロハウキガヤ (イネ科)"
イネヨトウ,"Sesamia inferens (Walker, 1856)",5月～9月,"""多いところで年3化。""。寄主植物: 不明、ムギ類、トウモロコシ (イネ科)、サトウキビ (イネ科)"
イブシギンウワバ,"Chrysodeixis heberachis (Strand, 1920)",3月～,"""石垣島では3月から普通に見られる。""。寄主植物: 未知"
イボタケンモン,"Craniophora ligustri (Denis & Schiffermüller, 1775)",7月～9月,"""年2化と思われる。蛹で越冬する。""。寄主植物: イボタノキ (モクセイ科)"
イラクサギンウワバ,"Trichoplusia ni (Hübner, 1803)",通年,"""熱帯・亜熱帯では通年発生。日本では越冬できないと思われる。""。寄主植物: キャベツ (アブラナ科)、ハクサイ (アブラナ科)、アキノノゲシ (キク科)、ゴボウ (キク科)、ジャガイモ (ナス科)、キュウリ (ウリ科)"
イラクサマダラウワバ,"Abrostola triplasia (Linnaeus, 1758)",4月～5月、7月～9月,"""年2回。暖地では3化の可能性もある。蛹で越冬する。""。寄主植物: イラクサ (イラクサ科)、カテンソウ (イラクサ科)、コアカソ (イラクサ科)、カラムシ (イラクサ科)"
ウグイスセダカヨトウ,"Mormo cyanea Sugi, 1982",7月～8月,"""年1化と思われる。""。寄主植物: 未知"
ウスアオキノコヨトウ,"Stenoloba clara (Leech, 1889)",7月～8月,"""年1化と思われる。""。寄主植物: 未知"
ウスアオモンコヤガ,"Bryophilina mollicula (Graeser, 1889)",5月～6月,寄主植物: アラカシ (ブナ科)
ウスアオヨトウ,"Polyphaenis subviridis (Butler, 1878)",5月～6月,"""年1化。幼虫越冬。""。寄主植物: クロミノウグイスカグラ (スイカズラ科)、イボタノキ (モクセイ科)"
ウスアカキヨトウ,"Mythimna curvilinea (Hampson, 1891)",3月,寄主植物: 未知
ウスイロキヨトウ,"Mythimna inanis (Oberthür, 1880)",6月,"""年1回。""。寄主植物: 未知"
ウスイロケンモン,"Thalatha japonica Sugi, 1982",5月～6月、7月～9月,"""年2化。""。寄主植物: 未知"
ウスイロフサヤガ,"Atacira melanephra (Hampson, 1912)",7月,寄主植物: 不明
ウスオビクチバ,"Mocis frugalis (Fabricius, 1775)",3月～11月,寄主植物: 未知
ウスオビヤガ,"Pyrrhia bifasciata (Staudinger, 1888)",7月～9月,"""幼虫は8～9月に見られ、老熟すると土中に入って蛹化し、そのまま越冬する。""。寄主植物: オニグルミ (クルミ科)、サワグルミ (クルミ科)、キリ (キリ科)"
ウスクモヨトウ,"Pabulatrix pabulatricula (Brahm, 1791)",7月下旬～8月,"""年1化。""。寄主植物: 未知"
ウスグロクチバ,"Avitta puncta Wileman, 1911",3月～9月,"""成虫で越冬すると推定される。""。寄主植物: カゴノキ (クスノキ科)、タブノキ (クスノキ科)、アオガシ (クスノキ科)、ヤブニッケイ (クスノキ科)"
ウスグロシマヨトウ,"Eucarta arcta (Lederer, 1853)",6月～7月,寄主植物: 未知
ウスグロマダラウワバ,"Abrostola sugii Dufay, 1960",5月～6月、7月～8月,"""年2化。""。寄主植物: 未知"
ウスグロヨトウ,"Athetis funesta (Staudinger, 1888)",5月下旬～6月中旬,"""年1化。""。寄主植物: 未知"
ウスジロケンモン,"Acronicta lutea (Bremer & Grey, 1852)",5月～6月,"""年1化。""。寄主植物: ワレモコウ (バラ科)"
ウスタビガ,"Rhodinia fugax (Butler, 1877)",10月～11月,"""年1化。卵で越冬する。""。寄主植物: クスギ (ブナ科)、コナラ (ブナ科)、カシワ (ブナ科)、サクラ (バラ科)、ケヤキ (ニレ科)、カエデ (ムクロジ科)、クヌギ (ブナ科)、サクラ類 (バラ科)、カエデ類 (ムクロジ科)"
ウスチャマエモンコヤガ,"Chorsia costimacula (Oberthür, 1880)",6月～9月,"""年2化と考えられている。""。寄主植物: リンゴ (バラ科)、ズミ (バラ科)"
ウスハイイロケンモン,"Subleuconycta palshkovi (Filipjev, 1937)",6月～7月,"""年1化。""。寄主植物: 未知"
ウスベニキヨトウ,"Mythimna pudorina (Denis & Schiffermüller, 1775)",7月～8月,"""年1化。5月の採集例もある。中齢幼虫で越冬する。""。寄主植物: 未知"
ウスベニホシコヤガ,"Ozarba brunnea (Leech, 1900)",6月～8月,寄主植物: ハグロソウ (キツネノマゴ科)
ウスホシミミヨトウ,"Condica pallescens (Sugi, 1970)",6月、9月,寄主植物: 未知
ウスムラサキウスモンヤガ,"Ericeia pertendens (Walker, 1858)",4月～5月、7月～12月,"""日本本土では年2回発生""。寄主植物: 未知"
ウスムラサキケンモン,"Acronicta subpurpurea (Matsumura, 1926)",6月～7月,"""年1化。""。寄主植物: 未知"
ウスムラサキヨトウ,"Eucarta virgo (Treitschke, 1835)",6月、8月,"""年2化。""。寄主植物: ヨモギ (キク科)、エゾヨモギギク (キク科)、タンポポ属 (キク科)、ハッカ属"
ウチジロコヤガ,"Chorsia albicincta (Hampson, 1898)",5月～9月,寄主植物: ハナガガシ (ブナ科)
ウンモンキノコヨトウ,"Stenoloba manleyi (Leech, 1889)",7月～10月,"""年1化と思われる。""。寄主植物: 地衣類"
ウンモンクチバ,"Mocis annetta (Butler, 1878)",5月～6月、8月～9月,"""年2回。蛹で越冬する。""。寄主植物: フジ (マメ科)、ハギ (マメ科)、ニセアカシア (マメ科)、ヌスビトハギ (マメ科)、ヤブマメ (マメ科)、ツルマメ (マメ科)、キツネササゲ、ダイズ (マメ科)"
エグリキリガ,"Teratoglaea pacifica Sugi, 1958",10月～5月,"""年1化。成虫で越冬する。""。寄主植物: トドマツ (マツ科)、モミ属 (マツ科)、ヒマラヤスギ (マツ科)、モミ (マツ科)"
エゾオオバコヤガ,"Diarsia dahlii (Hübner, 1813)",8月～9月,"""年1化。幼虫越冬する。""。寄主植物: 未知"
エゾキイロキリガ,"Tiliacea japonago (Wileman & West, 1929)",9月下旬～10月,寄主植物: 未知
エゾキンウワバ,"Euchalcia sergia (Oberthür, 1884)",6月下旬～7月,"""年1化。""。寄主植物: トリカブト (キンポウゲ科)"
エゾギクキンウワバ,"Ctenoplusia albostriata (Bremer & Grey, 1853)",通年,"""熱帯・亜熱帯では通年発生。温帯でも条件がよければ越冬可能。""。寄主植物: エゾギク (キク科)、ヒメジョオン (キク科)、アレチノギク (キク科)、キンセンカ (キク科)、ダリア (キク科)、セイタカアワダチソウ (キク科)、ゴマナ (キク科)、ヒルガオ (ヒルガオ科)"
エゾクロギンガ,"Chasminodes atratus (Butler, 1884)",7月～8月,"""年1化。""。寄主植物: 未知"
エゾコヤガ,"Chorsia noloides (Butler, 1879)",5月～9月,寄主植物: 未知
エゾサクラケンモン,"Acronicta strigosa (Denis & Schiffermüller, 1775)",6月、8月,"""年2化と思われる。""。寄主植物: 未知"
エゾスジヨトウ,"Doerriesa striata (Staudinger, 1900)",6月～8月,"""年2化と推定される。""。寄主植物: 未知"
エゾチャイロヨトウ,"Lacanobia splendens (Hübner, 1808)",5月、7月～8月,"""年2回。春と秋に発生。""。寄主植物: 未知"
エゾヒサゴキンウワバ,"Diarsia chrysitis (Linnaeus, 1758)",6月～8月,"""年2化。幼虫越冬。北方では年1化。""。寄主植物: 未知"
エゾミツボシキリガ,"Eupsilia transversa (Hufnagel, 1766)",10月～5月,"""年1化。成虫で越冬する。""。寄主植物: シラカンバ (カバノキ科)、コナラ (ブナ科)、ズミ (バラ科)、サクラ類 (バラ科)、広葉樹、ハルニレ (ニレ科)、ポプラ (ヤナギ科)"
エゾモクメキリガ,"Brachionycha nubeculosa (Esper, 1785)",3月下旬～5月,"""年1化。""。寄主植物: ハルニレ (ニレ科)、ミズナラ (ブナ科)、ブナ (ブナ科)、ヤナギ類 (ヤナギ科)、サクラ類 (バラ科)"
エチゴハガタヨトウ,"Asidemia inexpecta (Sugi, 1963)",5月～6月、8月～10月,"""年2化。""。寄主植物: ツゲ (ツゲ科)"
オオウスクモヨトウ,"Euxoa ochrogaster (Guenée, 1852)",8月,"""高地での採集。越夏する。""。寄主植物: 未知"
オオウスヅマカラスヨトウ,"Amphipyra erebina Butler, 1878",7月～9月,"""同属他種よりも早い9月中に姿を消す。""。寄主植物: アラカシ (ブナ科)、ケヤキ (ニレ科)、リンゴ (バラ科)、モモ (バラ科)、スモモ (バラ科)、マメザクラ (バラ科)、ブドゥ (ブドウ科)、アキグミ (グミ科)、ネズミモチ (モクセイ科)"
オオウンモンクチバ,"Mocis undata (Fabricius, 1775)",3月～9月,"""日本本土では年2回。""。寄主植物: クズ (マメ科)、フジ (マメ科)、ヌスビトハギ (マメ科)、ヤブマメ (マメ科)"
