和名,学名,成虫時期,生態の備考
ツマアカシャチホコ,"Clostera anachoreta (Denis & Schiffermüller, 1775)",5月～6月初旬・8月中旬,"""年2化。蛹越冬。""。寄主植物: ヤマナラシ属、ヤナギ属 (以上ヤナギ科)"
ニセツマアカシャチホコ,"Clostera albosigma Fitch, 1856",5月～6月・8月,"""年2化。蛹越冬。""。寄主植物: ヤマナラシ属、ヤナギ属 (以上ヤナギ科)"
セグロシャチホコ,"Clostera anastomosis (Linnaeus, 1758)",6月・8月,"""北海道では年2化。暖地では多化する。幼虫越冬。""。寄主植物: ヤマナラシ属、ヤナギ属 (以上ヤナギ科)"
ヒナシャチホコ,"Micromelalopha troglodyta (Graeser, 1890)",6月中旬～7月中旬,"""寒地では年1化。本州では年3化。蛹越冬。""。寄主植物: ヤマナラシ、セイヨウハコヤナギ (以上ヤナギ科)"
クワゴモドキシャチホコ,"Gonoclostera timoniorum (Bremer, 1861)",6月～8月,"""北海道では年2化。暖地では年3化。蛹越冬。""。寄主植物: ヤナギ類、ヤマナラシ類 (以上ヤナギ科)"
ホシナカグロモクメシャチホコ,"Furcula bicuspis (Borkhausen, 1790)",6月～7月・8月～9月,"""年2化。蛹越冬。""。寄主植物: シラカンバ、ヤマハンノキ、ヤシャブシ (以上カバノキ科)"
ナカグロモクメシャチホコ,"Furcula furcula (Clerck, 1759)",6月～8月,"""北海道では年2化。暖地では年3化。蛹越冬。""。寄主植物: ヤナギ、セイヨウハコヤナギ (以上ヤナギ科)"
モクメシャチホコ,"Cerura felina (Butler, 1877)",5月～6月中旬,"""年1化。蛹越冬。""。寄主植物: ヤマナラシ、ドロヤナギ、各種ヤナギ属 (以上ヤナギ科)"
オオモクメシャチホコ,"Cerura erminea (Esper, 1783)",5月・7月,"""北海道では年2化。本州では年1化。蛹越冬。""。寄主植物: ヤナギ科"
タッタカモクメシャチホコ,"Kamalia tattakana (Matsumura, 1927)",5月・8月,"""年2化。蛹越冬。""。寄主植物: ヤマナラシ (ヤナギ科)"
ギンシャチホコ,"Harpyia umbrosa (Staudinger, 1892)",5月・7月～8月,"""年2化。蛹越冬。""。寄主植物: ミズナラ、コナラ、クリ (以上ブナ科)"
ツシマクロモンシャチホコ,"Harpyia tokui (Sugi, 1977)",3月～4月,"""年1化。蛹越冬。""。寄主植物: クスギ、アベマキ (以上ブナ科)"
コフタオビシャチホコ,"Gluphisia crenata (Esper, 1785)",5月・8月,"""年2化。""。寄主植物: ヤマナラシ (ヤナギ科)"
エグリシャチホコ,"Ptilodon robusta (Matsumura, 1924)",6月・8月,"""年2化。卵越冬。""。寄主植物: ヤシャブシ、ヒメヤシャブシ (以上カバノキ科)、ヤナギ類 (ヤナギ科)、カツラ (カツラ科)"
エゾエグリシャチホコ,"Ptilodon jezoensis (Matsumura, 1919)",5月～6月・8月,"""年2化。卵越冬。""。寄主植物: アズキナシ、ナナカマド (以上バラ科)、トチノキ (ムクロジ科)、ミズナラ、ブナ (以上ブナ科)、シナノキ (アオイ科)"
クワヤマエグリシャチホコ,"Ptilodon kuwayamae (Matsumura, 1919)",5月～8月,"""年2化。""。寄主植物: ハルニレ (ニレ科)"
