和名,学名,成虫出現期,生態備考,寄主植物
ツマアカシャチホコ,Clostera anachoreta,5-6月初旬・8月中旬,年2化。蛹越冬。,ヤマナラシ属, ヤナギ属 (以上ヤナギ科)
ニセツマアカシャチホコ,Clostera albosigma,5-6月・8月,年2化。蛹越冬。,ヤマナラシ属, ヤナギ属 (以上ヤナギ科)
セグロシャチホコ,Clostera anastomosis,6月・8月,北海道では年2化。暖地では多化する。幼虫越冬。,ヤマナラシ属, ヤナギ属 (以上ヤナギ科)
ヒナシャチホコ,Micromelalopha troglodyta,6月中旬-7月中旬,寒地では年1化。本州では年3化。蛹越冬。,ヤマナラシ, セイヨウハコヤナギ (以上ヤナギ科)
クワゴモドキシャチホコ,Gonoclostera timoniorum,6-8月,北海道では年2化。暖地では年3化。蛹越冬。,ヤナギ類, ヤマナラシ類 (以上ヤナギ科)
ホシナカグロモクメシャチホコ,Furcula bicuspis,6-7月・8-9月,年2化。蛹越冬。,シラカンバ, ヤマハンノキ, ヤシャブシ (以上カバノキ科)
ナカグロモクメシャチホコ,Furcula furcula,6-8月,北海道では年2化。暖地では年3化。蛹越冬。,ヤナギ, セイヨウハコヤナギ (以上ヤナギ科)
モクメシャチホコ,Cerura felina,5-6月中旬,年1化。蛹越冬。,ヤマナラシ, ドロヤナギ, 各種ヤナギ属 (以上ヤナギ科)
オオモクメシャチホコ,Cerura erminea,5月・7月,北海道では年2化。本州では年1化。蛹越冬。,ヤナギ科
タッタカモクメシャチホコ,Kamalia tattakana,5月・8月,年2化。蛹越冬。,ヤマナラシ (ヤナギ科)
ギンシャチホコ,Harpyia umbrosa,5月・7-8月,年2化。蛹越冬。,ミズナラ, コナラ, クリ (以上ブナ科)
ツシマクロモンシャチホコ,Harpyia tokui,3-4月,年1化。蛹越冬。,クスギ, アベマキ (以上ブナ科)
コフタオビシャチホコ,Gluphisia crenata,5月・8月,年2化。,ヤマナラシ (ヤナギ科)
エグリシャチホコ,Ptilodon robusta,6月・8月,年2化。卵越冬。,ヤシャブシ, ヒメヤシャブシ (以上カバノキ科), ヤナギ類 (ヤナギ科), カツラ (カツラ科)
エゾエグリシャチホコ,Ptilodon jezoensis,5-6月・8月,年2化。卵越冬。,アズキナシ, ナナカマド (以上バラ科), トチノキ (ムクロジ科), ミズナラ, ブナ (以上ブナ科), シナノキ (アオイ科)
クワヤマエグリシャチホコ,Ptilodon kuwayamae,5-8月,年2化。,ハルニレ (ニレ科)
スジエグリシャチホコ,Ptilodon hoegei,6月初旬-8月中旬,年2化。蛹越冬。,カエデ属 (ムクロジ科)
