catalog_number,source_catalog_number,tribe,subtribe,genus,subgenus,species,subspecies,author,year,japanese_name,scientific_name,domestic_distribution,overseas_distribution,source_notes
220,220,Scolytoplatypodini,,Scolytoplatypus,,daimio,,Blandford,1893,ダイミョウキクイムシ,"Scolytoplatypus daimio Blandford, 1893","HOK, Rsr, Oks, HON, SHI, KYU","Kuril, Russian Far East, Korea, India, Nepal, Bhutan",
221,221,Scolytoplatypodini,,Scolytoplatypus,,mikado,,Blandford,1893,ミカドキクイムシ,"Scolytoplatypus mikado Blandford, 1893","HOK, Oks, HON, Iz-My, Iz-Hch, Oki, SHI, KYU, Cokn, Nkn, Jin, Hrd, KKs, NKs, SKs, T-Aks, Amm, Okn","Sakhalin, Korea, China, Taiwan, Malaysia, India",
222,222,Scolytoplatypodini,,Scolytoplatypus,,shogun,,Blandford,1894,ショウグンキクイムシ,"Scolytoplatypus shogun Blandford, 1894","HOK, HON, KYU",Taiwan,
223,223,Scolytoplatypodini,,Scolytoplatypus,,tycon,,Blandford,1893,タイコンキクイムシ,"Scolytoplatypus tycon Blandford, 1893","HOK, Rsr, HON, SHI, KYU","Kuril, Sakhalin, Russian Far East, Korea, China, Taiwan",
224,224,Xyleborini,,Amasa,,schlichii,,Stebbing,1907,,"Amasa schlichii (Stebbing, 1907)",Iri,,
225,225,Xyleborini,,Amasa,,tropidacron,,"Smith, Beaver & Cognato",2020,,"Amasa tropidacron Smith, Beaver & Cognato, 2020","Okn, Iri",Vietnam,"Smith, S.M., R.A. Beaver & A.I. Cognato, 2020. A monograph of the Xyleborini (Coleoptera, Curculionidae, Scolytinae) of the Indochinese / Peninsula (except Malaysia) and China. ZooKeys, 983: 1-442. で日本初記録"
226,226,Xyleborini,,Ambrosiodmus,,asperatus,,Blandford,1895,アマミアカクビキクイムシ,"Ambrosiodmus asperatus (Blandford, 1895)","Amm, Iri","China, Taiwan, India, Oriental Region",
227,227,Xyleborini,,Ambrosiodmus,,lewisi,,Blandford,1894,ルイスザイノキクイムシ,"Ambrosiodmus lewisi (Blandford, 1894)","HOK, HON, SHI, KYU","Korea, China, Taiwan, Borneo, Philippines, Indochina, Malaysia, Myanmar, Sumatra, Java, India","Xyleborus lewisi Blandford, 1894"
228,228,Xyleborini,,Ambrosiodmus,,obliquecauda,,Motschulsky,1863,タカネザイノキクイムシ,"Ambrosiodmus obliquecauda (Motschulsky, 1863)","HON, KYU",Sri Lanka,"Xyleborus obliquecauda (Motschulsky, 1863)"
229,229,Xyleborini,,Ambrosiodmus,,rubricollis,,Eichhoff,1876,アカクビキクイムシ,"Ambrosiodmus rubricollis (Eichhoff, 1876)","HON, Sad, Og-cc, SHI, KYU, Hrd, Okn","Korea, China, Taiwan, Malaysia, Thailand, Vietnam","Xyleborus rubricollis Eichhoff, 1875"
230,230,Xyleborini,,Ambrosiophilus,,atratus,,Eichhoff,1875,クワノキクイムシ,"Ambrosiophilus atratus (Eichhoff, 1875)","HOK, HON, Sad, SHI, KYU, Hrd, Got","Korea, China, Taiwan, Indochina Pen.","Xyleborus atratus Eichhoff, 1875 syn.n.; Smith, Beaver & Cognato, 2018 による"
231,231,Xyleborini,,Ambrosiophilus,,collis,,Niijima,1910,コリスキクイムシ,"Ambrosiophilus collis (Niijima, 1910)",HON,,"Xyleborus collis Niijima, 1910"
232,232,Xyleborini,,Ambrosiophilus,,osumiensis,,Murayama,1934,オオスミザイノキクイムシ,"Ambrosiophilus osumiensis (Murayama, 1934)",KYU,"Taiwan, China, Vietnam","Xyleborus osumiensis Murayama, 1934; Xyleborus metanepotulus Eggers, 1939 syn.n.; Smith, Beaver & Cognato, / 2018 による"
233,233,Xyleborini,,Anisandrus,,apicalis,,Blandford,1894,ニレザイノキクイムシ,"Anisandrus apicalis (Blandford, 1894)","HOK, HON, KYU","Russian Far East, Korea, China, Taiwan, Bhutan, Oriental Region","Xyleborus apicalis Blandford, 1894"
234,234,Xyleborini,,Anisandrus,,dispar,,Fabricius,1792,イシダキクイムシ,"Anisandrus dispar (Fabricius, 1792)","HOK, HON","North Korea, Russia, Europe, North Africa","Xyleborus ishidai Niijima, 1909 / Smith, Beaver & Cognato, 2018 による"
235,235,Xyleborini,,Anisandrus,,maiche,,Kurentzov,1941,,"Anisandrus maiche (Kurentzov, 1941)",HON,"China, Korea, Russian Far East, Ukraine",
236,236,Xyleborini,,Arixyleborus,,yakushimanus,,Murayama,1955,ヤクシマスジザイノキクイムシ,"Arixyleborus yakushimanus (Murayama, 1955)","Yak, Okn","China, Taiwan, India, Oriental Region","Xyleborus yakushimanus Murayama, 1955; Arixyleborus malayensis (Schedl, 1954); Smith, Beaver & Cognato, / 2018 による"
237,237,Xyleborini,,Beaverium,,magnus,,Niijima,1910,ザイノオオキクイムシ,"Beaverium magnus (Niijima, 1910)",SHI,"China, Taiwan, Thailand, Vietnam, India","Xyleborus magnus Niijima, 1910"
238,238,Xyleborini,,Cnestus,,aterrimus,,Eggers,1927,ウスキイロキクイムシ,"Cnestus aterrimus (Eggers, 1927)","HON, Iz-My, Awj, SHI, KYU, Okn, Ish, Iri","Korea, China, Taiwan, Southeast Asia, New guinea","Tosaxyleborus pallidipennis Murayama, 1950; Cnestus murayamai Schedl, 1962; Smith, Beaver & Cognato, 2018 による"
239,239,Xyleborini,,Cnestus,,mutilatus,,Blandford,1894,クスノオオキクイムシ,"Cnestus mutilatus (Blandford, 1894)","HOK, Oks, HON, SHI, KYU, T-Gaj, Amm, Ish","Korea, China, Taiwan, Thailand, Vietnam, Malaysia, Borneo, Sumatra, Java, Australia","Xyleborus mutilatus Blandford, 1894"
240,240,Xyleborini,,Coptodryas,,izuensis,,Murayama,1952,イズキクイムシ,"Coptodryas izuensis (Murayama, 1952)",HON,,"Xyleborus izuensis Murayama, 1952"
241,241,Xyleborini,,Cyclorhipidion,,armiger,,Schedl,1953,カマクラキクイムシ,"Cyclorhipidion armiger (Schedl, 1953)",HON,,"内舩俊樹・齋藤 理 , 2022. 横須賀市自然・人文博物館所蔵「鎌倉市十二所産甲虫類コレクション」の再検討 . 横須賀市博物館研究報告(自然科学) , (69): 25–42. により、日本初記録"
242,242,Xyleborini,,Cyclorhipidion,,bispinum,,Nobuchi,1981,フタトゲザイノキクイムシ,"Cyclorhipidion bispinum (Nobuchi, 1981)",HON,,"Xyleborus kumanoensis Nobuchi, 1981; Smith, Beaver & Cognato, 2018 による"
243,243,Xyleborini,,Cyclorhipidion,,bodoanum,,Reitter,1913,ミサトザイノキクイムシ,"Cyclorhipidion bodoanum (Reitter, 1913)","HON, SHI, KYU","Russian Far East, Taiwan, China, Korea, Laos, Thailand, Vietnam","Xyleborus laetus Niijima, 1909 / Smith, Beaver & Cognato, 2018 による ; Xyleborus misatoense Nobuchi, 1981; Cyclorhipidion / takinoyense (Murayama, 1953) / タキノヤキクイムシ"
244,244,Xyleborini,,Cyclorhipidion,,corrugatum,,Schedl,1951,オオズオオキバキクイムシ,"Cyclorhipidion corrugatum (Schedl, 1951)",Iri,Oriental Region,
245,245,Xyleborini,,Cyclorhipidion,,distinguendum,,Eggers,1930,ガンショキクイムシ,"Cyclorhipidion distinguendum (Eggers, 1930)","HON, SHI, KYU, Hrd","South Korea, China, Taiwan, Thailand, Vietnam, India, Nepal","Xyleborus ganshoensis Murayama, 1952"
246,246,Xyleborini,,Cyclorhipidion,,japonicum,,Nobuchi,1981,ニホンザイノキクイムシ,"Cyclorhipidion japonicum (Nobuchi, 1981)","HON, KOs","Russian Far East, South Korea, China, Thailand","Xyleborus japonicus Nobuchi, 1981; / Smith, Beaver & Cognato, 2018 による"
247,247,Xyleborini,,Cyclorhipidion,,laetum,,Niijima,1909,ヨシカワキクイムシ,"Cyclorhipidion laetum (Niijima, 1909)","HOK, HON, KYU",South Korea,"Xyleborus laetus Niijima, 1909; / Smith, Beaver & Cognato, 2018 による"
248,248,Xyleborini,,Cyclorhipidion,,miyazakiense,,Murayama,1936,ミヤザキキクイムシ,"Cyclorhipidion miyazakiense (Murayama, 1936)","HON, Iz-Mk, KYU, Okn","China, Thailand, Vietnam","Xyleborus miyazakiensis Murayama, 1936; Xyleborus wakayamensis Nobuchi, 1981 / ワカヤマザイノキクイムシ ; Smith, Beaver & Cognato, 2018 による"
249,249,Xyleborini,,Cyclorhipidion,,pelliculosum,,Eichhoff,1878,ウラジロカシノキクイムシ,"Cyclorhipidion pelliculosum (Eichhoff, 1878)","HON, Sad, SHI, KYU","Russian Far East, Korea, Taiwan, China","Xyleborus pelliculosus Eichhoff, 1878; Xyleborus seiryorensis Murayama, 1930 / セイリョウリキクイムシ ; Cyclorhipidion okinosenense (Murayama, 1961) / オキノセンキクイムシ; 村山醸造 , 1961a. 新潟県の穿孔虫類 . Akitu, / Kyoto, 10(1/2): 23-32."
250,250,Xyleborini,,Debus,,defensus,,Blandford,1894,シイノホソキクイムシ,"Debus defensus (Blandford, 1894)","HOK, HON, SHI, KYU",Korea,"Xyleborus defensus Blandford, 1894 / Smith, Beaver & Cognato, 2018 による"
251,251,Xyleborini,,Diuncus,,haberkorni,,Eggers,1920,,"Diuncus haberkorni (Eggers, 1920)",Ish,"South Korea, China, Taiwan, India, Oriental Region",
252,252,Xyleborini,,Diuncus,,mucronatus,,Eggers,1923,キイザイノキクイムシ,"Diuncus mucronatus (Eggers, 1923)",HON,"China, Oriental Region","Xyleborus mucronatus Eggers, 1923"
253,253,Xyleborini,,Dryoxylon,,onoharaense,,Murayama,1934,オノハラキクイムシ,"Dryoxylon onoharaense (Murayama, 1934)","HON, SHI, KYU","South Korea, China","Xyleborus onoharaensis Murayama, 1934"
254,254,Xyleborini,,Eccoptopterus,,spinosus,,Oliver,1795,,"Eccoptopterus spinosus (Oliver, 1795)","Japan, Taiwan, India, Africa, Oriental Region, Austrralia",,
255,255,Xyleborini,,Euwallacea,,alastos,,"Smith, Beaver & Cognato",2022,,"Euwallacea alastos Smith, Beaver & Cognato, 2022",Japan,,
256,256,Xyleborini,,Euwallacea,,andamanensis,,Blandford,1896,,"Euwallacea andamanensis (Blandford, 1896)",KYU,"China, Southeast Asia, New Guinea, Micronesia, India","Smith, S.M., R.A. Beaver & A.I. Cognato, 2020. A monograph of the Xyleborini (Coleoptera, Curculionidae, Scolytinae) of the Indochinese / Peninsula (except Malaysia) and China. ZooKeys, 983: 1-442. で日本初記録"
257,257,Xyleborini,,Euwallacea,,fornicatus,,Eichhoff,1868,ナンヨウキクイムシ,"Euwallacea fornicatus (Eichhoff, 1868)","Og-cc, Okn","China, Tiwan, Philippines, Indochina, Malaysia, Sumatra, Java, New Guinea, Hawaii, Fiji, India, Sri Lanka","Xyleborus formicatus Eichhoff, 1868"
258,258,Xyleborini,,Euwallacea,,fulvus,,Murayama,1936,ケヤキノキクイムシ,"Euwallacea fulvus (Murayama, 1936)","HON, SHI, KYU",,"Xyleborus fulvus Murayama, 1936"
259,259,Xyleborini,,Euwallacea,,funereus,,Lea,1910,,"Euwallacea funereus Lea, 1910",Ish,"Taiwan, Oriental region, Australian region","Takashina, K., I. Chuma, H. Kajimura, N. Kameyama, C. Goto & K. Kuroda, 2020. Pathogenicity and distribution of Fusarium solani isolates / associated with Erythrine decline in Japan. Plant Disease, 104: 731-742. で日本初記録"
260,260,Xyleborini,,Euwallacea,,galeatus,,Blandford,1894,ヘルメットキクイムシ,"Euwallacea galeatus (Blandford, 1894)",KYU,,"Xyleborus galeatus Blandford, 1894"
261,261,Xyleborini,,Euwallacea,,interjectus,,Blandford,1894,アイノキクイムシ,"Euwallacea interjectus (Blandford, 1894)","HON, KYU","South Korea, China, Taiwan,, Vietnam, Indochina, Myanmar, Borneo, Sumatra, Java, India, Nepal, Sri Lanka",
262,262,Xyleborini,,Euwallacea,,kuroshio,,Gomez & Hulcr,2018,,"Euwallacea kuroshio Gomez & Hulcr, 2018",Okn,"Taiwan, Indonesia, Mexico, United States",
263,263,Xyleborini,,Euwallacea,,minutus,,Blandford,1894,ザイノコキクイムシ,"Euwallacea minutus (Blandford, 1894)","HON, KYU","Taiwan, China, Borneo, Malaysia, Java, Laos, Philippine, Vietnam","Xyleborus minutus Blandford, 1894"
264,264,Xyleborini,,Euwallacea,,perbrevis,,Schedl,1951,,"Euwallacea perbrevis (Schedl, 1951)",Myk,"Taiwan, China, Southeast Asia, India, Australia,","Xyleborus perbrevis Schedl, 1951; / Smith, S. M., D. F. Gomez, R. A. Beaver, J. Hulcr & A. I. Congnato, 2019. Reassessment of the species in the Euwallacea fornicatus / (Coleoptera: Curculionidae: Scolytinae) complex after the rediscovery of the “Lost” type specimen. insects, 10(9), 261."
265,265,Xyleborini,,Euwallacea,,piceus,,Motschulsky,1863,,"Euwallacea piceus (Motschulsky, 1863)",Okn,"Taiwan, Oriental region, India, Australian region","Takashina, K., I. Chuma, H. Kajimura, N. Kameyama, C. Goto & K. Kuroda, 2020. Pathogenicity and distribution of Fusarium solani isolates / associated with Erythrine decline in Japan. Plant Disease, 104: 731-742. で日本初記録"
266,266,Xyleborini,,Euwallacea,,praevius,,Blandford,1894,センダツキクイムシ,"Euwallacea praevius (Blandford, 1894)","HON, KYU",South Korea,"Xyleborus praevius Blandford, 1894"
267,267,Xyleborini,,Euwallacea,,validus,,Eichhoff,1876,トドマツオオキクイムシ,"Euwallacea validus (Eichhoff, 1876)","HOK, Oks, HON, Sad, Og-cc, SHI, KYU, Hrd, KKs, SKs, Ryukyu","Korea, China, Taiwan, Vietnam, Myanmar, Malaysia, India, Sri Lanka, Nepal","Xyleborus validus Eichhoff, 1875"
268,268,Xyleborini,,Hadrodemius,,comans,,Sampson,1919,,"Hadrodemius comans (Sampson, 1919)","Japan, China, Taiwan, Oriental Region",,
269,269,Xyleborini,,Heteroborips,,seriatus,,Blandford,1894,ハンノスジキクイムシ,"Heteroborips seriatus (Blandford, 1894)","HOK, HON, Iz-Hch, SHI, KYU","Kuril, Russian Far East, Korea, China, Taiwan","Xyleborus todo Kono, 1938 sys.n. / Smith, Beaver & Cognato, 2018 による ; Xyleborus seriatus Blandford, 1894; Smith, Beaver & Cognato, / 2020 による"
270,270,Xyleborini,,Immanus,,permarginatus,,Schedl,1933,ミズサワキクイムシ,"Immanus permarginatus (Schedl, 1933)",Amm,Philippines,"Xyleborus ; Ambrosiodmus permarginatus (Schedl, 1933) / Smith, Beaver & Cognato, 2018 による"
271,271,Xyleborini,,Leptoxyleborus,,concisus,,Blandford,1894,アカガシノキクイムシ,"Leptoxyleborus concisus (Blandford, 1894)",KYU,"Taiwan, Philippines, Borneo, Malaysia, Sumatra, Java, Myanmar, Bengal, India",
272,272,Xyleborini,,Leptoxyleborus,,machili,,Niijima,1910,アオガシノキクイムシ,"Leptoxyleborus machili (Niijima, 1910)","HON, SHI, KYU",China,"Xyleborus machili Niijima, 1910; / Xyleborus kojimai Murayama, 1936 / コジマキクイムシ ; Smith, Beaver & Cognato, 2018 による ; Ancipitis machili (Niijima, 1910)"
273,273,Xyleborini,,Microperus,,calamoides,,Murayama,1934,ニセツヅミキクイムシ,"Microperus calamoides (Murayama, 1934)",KYU,,"Xyleborus calamoides Murayama, 1934; / Amasa calamoides (Murayama, 1934); Smith, Beaver & Cognato, 2018 による"
274,274,Xyleborini,,Microperus,,kadoyamaensis,,Murayama,1956,カドヤマキクイムシ,"Microperus kadoyamaensis (Murayama, 1956)","HON, SHI, KYU","Korea, Taiwan, China, Vietnam","Xyleborus kadoyamensis Murayama, 1934"
275,275,Xyleborini,,Microperus,,kirishimanus,,Murayama,1955,キリシマキクイムシ,"Microperus kirishimanus (Murayama, 1955)","HON, KOs, SHI, KYU, Amm",Taiwan,"Xyleborus kirishimanus Murayama, 1955"
276,276,Xyleborini,,Microperus,,nudibrevis,,Schedl,1942,,"Microperus nudibrevis (Schedl, 1942)",Okn,"China, Viertnam, Thailand, Malaysia","Xyleborus nudibrevis Schedl, 1942"
277,277,Xyleborini,,Microperus,,perparvus,,Sampson,1922,ツクバネヤマキクイムシ,"Microperus perparvus (Sampson, 1922)",HON,"China, Taiwan, India, Oriental Region","Xyleborus tsukubanus Murayama, 1954"
278,278,Xyleborini,,Microperus,,quercicola,,Eggers,1926,カシワザイノキクイムシ,"Microperus quercicola (Eggers, 1926)",HON,"Russian Far East, South Korea, Taiwan, China,","Xyleborus quercicola Eggers, 1926; / Xyleborus izuensis Murayama, 1952 / イズキクイムシ ; Smith, Beaver & Cognato, 2018 による"
279,279,Xyleborini,,Planiculus,,bicolor,,Blandford,1894,フタイロキクイムシ,"Planiculus bicolor (Blandford, 1894)","HON, SHI, KYU","China, Taiwan, Philippines, Borneo, Myanmar, Malaysia, Laos, Vietnam, Java, Samoa, India, Andaman Is.","Xyleborus bicolor Blandford, 1894; / Xyleborus ashuensis Murayama, 1954 / アシュウキクイムシ ; Smith, Beaver & Cognato, / 2018 による"
280,280,Xyleborini,,Planiculus,,limatus,,Schedl,1942,,"Planiculus limatus (Schedl, 1942)",Iri,"China, Philippines, Malaysia, Thailand, Vietnam, New Guinea,","Smith, S.M., R.A. Beaver & A.I. Cognato, 2020. A monograph of the Xyleborini (Coleoptera, Curculionidae, Scolytinae) of the Indochinese / Peninsula (except Malaysia) and China. ZooKeys, 983: 1-442. で日本初記録"
281,281,Xyleborini,,Tricosa,,cattienensis,,"Cognato, Smith & Beaver",2020,,"Tricosa cattienensis Cognato, Smith & Beaver, 2020",Japan,"China(Hong Kong), Thailand, Vietnam","Smith, S.M., R.A. Beaver & A.I. Cognato, 2020a. A monograph of the Xyleborini (Coleoptera, Curculionidae, Scolytinae) of the Indochinese / Peninsula (except Malaysia) and China. ZooKeys, 983: 1-442. で日本初記録"
282,282,Xyleborini,,Tricosa,,metacuneolus,,Eggers,1940,カイモチザイノキクイムシ,"Tricosa metacuneolus (Eggers, 1940)",HON,"Taiwan, Thailand, Singapore, Indonesia, Malaysia, New Guinea, Philippines, Sri Lanka","Xyleborus kaimochii Nobuchi, 1981 は、 Smith, Beaver & Cognato, / 2018 により、本種のシノニムとされた ; / Xyleborus metacuneolus Eggers, 1940"
283,283,Xyleborini,,Xyleborinus,,andrewesi,,Blandford,1896,ホソバネキクイムシ,"Xyleborinus andrewesi (Blandford, 1896)","SHI, KYU, Okn, Ish","China, Taiwan, Philippines, Borneo, Thailand, Myanmar, Malaysia, Andaman Is., Java, Seychelles Is., Bangladesh, India, Sri Lanka, Africa, Australia","Xyleborus andrewesi Blandford, 1896"
284,284,Xyleborini,,Xyleborinus,,attenuatus,,Blandford,1894,サクラノホソキクイムシ,"Xyleborinus attenuatus (Blandford, 1894)","HOK, Oks, HON, Sad, SHI, KYU","Russian Far East, Korea, Taiwan, China","Xyleborus attenuatus Blandford, 1894; Xyleborus canus Niijima, 1909 / カヌスキクイムシ ; Smith, Beaver & Cognato, 2018 による"
285,285,Xyleborini,,Xyleborinus,,nobuchii,,"Smith, Beaver & Cognato",2022,,"Xyleborinus nobuchii Smith, Beaver & Cognato, 2022",KYU,,
286,286,Xyleborini,,Xyleborinus,,octiesdentatus,,Murayama,1931,ヒサカキノキクイムシ,"Xyleborinus octiesdentatus (Murayama, 1931)","HON, SHI, KYU","Korea, Jeju, China, Vietnam","Xyleborus octiesdentatus Murayama, 1931"
287,287,Xyleborini,,Xyleborinus,,saxesenii,,Ratzeburg,1937,サクセスキクイムシ,"Xyleborinus saxesenii (Ratzeburg, 1937)","HOK, Oks, HON, Sad, Og-cc, SHI, KYU, Hrd","Kuril, Kamchatka, Sakhalin, Russian Far East, Korea, China, Taiwan, Siberia, Cosmopolitan","Xyleborus saxeseni (Ratzeburg, 1937)"
288,288,Xyleborini,,Xyleborinus,,schaufussi,,Blandford,1894,シャウフスキクイムシ,"Xyleborinus schaufussi (Blandford, 1894)","HOK, HON, SHI, KYU","Taiwan, China","Xyleborus schaufussi Blandford, 1894; Xyleborus kraunhiae Niijima, 1910 / フジノキクイムシ ; Smith, Beaver & Cognato, 2018"
289,289,Xyleborini,,Xyleborus,,aquilus,,Blandford,1894,アカマツザイノキクイムシ,"Xyleborus aquilus Blandford, 1894","HON, SHI, KYU","Korea, China, Taiwan",
290,290,Xyleborini,,Xyleborus,,ashuensis,,Murayama,1954,アシュウキクイムシ,"Xyleborus ashuensis Murayama, 1954","HON, SHI, KYU",,
291,291,Xyleborini,,Xyleborus,,dryographus,,Ratzeburg,1837,ドリオグラフキクイムシ,"Xyleborus dryographus (Ratzeburg, 1837)",Japan,"Iran, Iraq, Turkey, Europe, North Africa",
292,292,Xyleborini,,Xyleborus,,emarginatus,,Eichhoff,1878,シイノキクイムシ,"Xyleborus emarginatus Eichhoff, 1878","HOK, HON, SHI, KYU","China, Taiwan, Oriental Region","Xyleborus exesus Blandford, 1894"
293,293,Xyleborini,,Xyleborus,,festivus,,Eichhoff,1876,オキノキクイムシ,"Xyleborus festivus Eichhoff, 1876","HON, SHI, Okns, Ryukyu","Taiwan, China, Myanmar, Thailand, Vietnam",
294,294,Xyleborini,,Xyleborus,,glabratus,,Eichhoff,1877,ハギキクイムシ,"Xyleborus glabratus Eichhoff, 1877","HON, Og-cc, SHI, KYU","South Korea, Taiwan, China, Assam, Bengal, Oriental Region","ヤマモモノキクイムシ ; Xyleborus kumamotoensis Murayama, 1934 / クマモトキクイムシ"
295,295,Xyleborini,,Xyleborus,,muticus,,Blandford,1894,カシワギキクイムシ,"Xyleborus muticus Blandford, 1894","HON, KYU","South Korea, China, Vietnam, Nepal, India",
296,296,Xyleborini,,Xyleborus,,nagaoensis,,Murayama,1934,ナガオキクイムシ,"Xyleborus nagaoensis Murayama, 1934","SHI, KYU",,
297,297,Xyleborini,,Xyleborus,,nameranus,,Murayama,1954,ナメラキクイムシ,"Xyleborus nameranus Murayama, 1954",HON,,
298,298,Xyleborini,,Xyleborus,,ohtoensis,,Nobuchi,1981,オオトザイノキクイムシ,"Xyleborus ohtoensis Nobuchi, 1981",HON,South Korea,
299,299,Xyleborini,,Xyleborus,,perforans,,Wollaston,1857,フィリピンザイノキクイムシ,"Xyleborus perforans (Wollaston, 1857)","HON, SHI, Og-cc, Okn, Myk, Ish","China, Taiwan, India, Africa, Oriental Region, Australia","Xyleborus shionomisakiensis Murayama, 1951 / シオノミサキキクイムシ は、 Smith, Beaver & Cognato, 2018 により、本種のシノニムとされた"
300,300,Xyleborini,,Xyleborus,,pfeilii,,Ratzeburg,1837,ツヤナシキクイムシ,"Xyleborus pfeilii (Ratzeburg, 1837)","HOK, HON, Sad, Oki, SHI, KYU, Hrd","Korea, China, Laos, Turkey, India, Europe, North Africa","Xyleborus vicarius Eichhoff, 1876 / ニタリオオキクイムシ ; Xyleborus adumbratus / Blandford, 1894 / ツヤナシザイノキクイムシ ; Xyleborus septentrionalis Niijima, 1909 は Smith, Beaver & Cognato, 2018 により、本種のシノニムとされた"
301,301,Xyleborini,,Xyleborus,,similis,,Ferrari,1867,チチジマザイノキクイムシ,"Xyleborus similis Ferrari, 1867","Og-cc, Okn, Myk","China, Taiwan, Jordan, Philippines, Borneo, Indochina, Malaysia, Sumatra, Java, Celebes, India, pakistan, Nepal, Sri Lanka, Pacific area, Micronesia, New Guinea, Australia, Africa, Madagascar",
302,302,Xyleborini,,Xyleborus,,volvulus,,Fabricius,1794,ユズリハノキクイムシ,"Xyleborus volvulus (Fabricius, 1794)","HOK, HON, SHI, KYU, Okn, Myk, Ish","Korea, Taiwan, Thailand, Myanmar, Africa, Oriental Region, Australia, North America, South America","Xyleborus badius Eichhoff, 1869"
303,303,Xyleborini,,Xylosandrus,,amputatus,,Blandford,1894,ツヅミキクイムシ,"Xylosandrus amputatus (Blandford, 1894)","HON, Iz-My, Awj, Oki, SHI, KYU, Hrd, NOs, KKs, NKs, SKs, Okn, Myk, Ish","Korea, China, Taiwan, Vietnam, Cambodia","Xyleborus amputatus Blandford, 1894"
304,304,Xyleborini,,Xylosandrus,,borealis,,Nobuchi,1981,ヒメハネミジカキクイムシ,"Xylosandrus borealis Nobuchi, 1981","HON, KYU","Korea, Taiwan, China",
305,305,Xyleborini,,Xylosandrus,,brevis,,Eichhoff,1877,ハネミジカキクイムシ,"Xylosandrus brevis (Eichhoff, 1877)","Oks, HON, Sad, Iz-My, Iz-Mk, Og-hh, SHI, KYU, Hrd, Amk, NOs, T-Aks, Amm, Okn, Ish","Korea, China, Taiwan, Thailand, Nepal","Xyleborus brevis Eichhoff, 1877 / ズミノキクイムシ Xyleborus montanus Niisima, / 1910 は、 Smith, Beaver & Cognato, 2018 により、本種のシノニムとされた"
306,306,Xyleborini,,Xylosandrus,,compactus,,Eichhoff,1876,シイノコキクイムシ,"Xylosandrus compactus (Eichhoff, 1876)","HON, Iz-My, Og-cc, SHI, Shd, KYU, NKs, Yak, Amm, Okn, Ish","South Korea, China, Taiwan, Philippines, Tong King, Malaysia, Borneo, Sumatra, Java, Celebes, Indochina, India, Sri Lanka, Pacific area, Africa, Madagascar, Australia, South America","Xylosandrus compactus (Eichhoff, 1875)"
307,307,Xyleborini,,Xylosandrus,,crassiusculus,,Motschulsky,1866,サクキクイムシ,"Xylosandrus crassiusculus (Motschulsky, 1866)","HOK, Oks, HON, Sad, Iz-My, Og-cc, Oki, SHI, KYU, Hrd, KKs, SKs, Okn, Ish","Korea, China, Taiwan, Nepal, Bhutan, India, Africa, Oriental Region, North, Central and South America","Xyleborus ebriosus Niijima, 1909 / サカクレノキクイムシ ; Xyleborus semiopacus / Eichhoff, 1879"
308,308,Xyleborini,,Xylosandrus,,dentipennis,,Park & Smith,2020,,"Xylosandrus dentipennis Park & Smith, 2020",HOK,"South Korea, China",
309,309,Xyleborini,,Xylosandrus,,discolor,,Blandford,1898,フタイロハバビロザイノキクイムシ,"Xylosandrus discolor (Blandford, 1898)",Okn,"China, Taiwan, India, Sri Lanka, Oriental Region, Australia",
310,310,Xyleborini,,Xylosandrus,,germanus,,Blandford,1894,ハンノキキクイムシ,"Xylosandrus germanus (Blandford, 1894)","HOK, Oks, HON, Sad, Iz-My, Iz-Mk, SHI, KYU, Hrd, Tan, Yak, Okn, Ish","Kuril, Russian Far East, Korea, China, Taiwan, Turkey, Vietnam",
311,311,Xyleborini,,Xylosandrus,,mancus,,Blandford,1898,,"Xylosandrus mancus (Blandford, 1898)",Japan,"China, Taiwan, Africa, Oriental Region",
312,312,Xyloterini,,Indocryphalus,,aceris,,Niijima,1910,イタヤノキクイムシ,"Indocryphalus aceris (Niijima, 1910)","HOK, HON","Russian Far East, Korea","Xyloterus dainichiensis Murayama, 1954 / ダイニチヤマキクイムシ"
313,313,Xyloterini,,Indocryphalus,,major,,Eggers,1926,オオザイノキクイムシ,"Indocryphalus major (Eggers, 1926)","HOK, HON, SHI",,"Xyloterus ashuensis Murayama, 1950 / アシュウキクイムシ ; Trypodendron ashuense / (Murayama, 1950)"
314,314,Xyloterini,,Indocryphalus,,pubipennis,,Blandford,1894,カナクギノキキクイムシ,"Indocryphalus pubipennis (Blandford, 1894)","HOK, HON, SHI, KYU, Hrd, SKs","Kuril, Sakhalin, Russian Far East, Korea, Taiwan",
315,315,Xyloterini,,Indocryphalus,,sordidus,,Blandford,1894,キシマキクイムシ,"Indocryphalus sordidus (Blandford, 1894)","HON, SHI, KYU",,
316,316,Xyloterini,,Trypodendron,,gaimaense,,Murayama,1937,ガイマザイノキクイムシ,"Trypodendron gaimaense (Murayama, 1937)",HON,Korea,
317,317,Xyloterini,,Trypodendron,,laeve,,Eggers,1939,,"Trypodendron laeve Eggers, 1939",Japan,"China, Europe",
318,318,Xyloterini,,Trypodendron,,lineatum,,Olivier,1795,シラベザイノキクイムシ,"Trypodendron lineatum (Olivier, 1795)","HOK, HON","Kamchatka, Sakhalin, Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Israel, Turkey, Europe, North Africa",
