catalog_number,source_catalog_number,tribe,subtribe,genus,subgenus,species,subspecies,author,year,japanese_name,scientific_name,domestic_distribution,overseas_distribution,source_notes
124,124,Hylastini,,Hylastes,,plumbeus,,Blandford,1894,マツノヒロスジキクイムシ,"Hylastes plumbeus Blandford, 1894","HON, SHI, KYU","Russian Far East, Korea, China, Siberia, Taiwan, Europe",
125,125,Hylastini,,Hylurgops,,glabratus,,Zetterstedt,1828,マツノカバイロキクイムシ,"Hylurgops glabratus (Zetterstedt, 1828)","HOK, HON, KYU, NKs, SKs","Sakhalin, Russian Far East, Korea, China, Siberia, Mongolia, Kazakhstan, Taiwan, Europe",カバイロキクイムシ
126,126,Hylastini,,Hylurgops,,inouyei,,Nobuchi,1959,イノウエカバイロキクイムシ,"Hylurgops inouyei Nobuchi, 1959",HOK,,
127,127,Hylastini,,Hylurgops,,interstitialis,,Chapius,1875,マツノスジキクイムシ,"Hylurgops interstitialis (Chapius, 1875)","HOK, HON, Sad, SHI, KYU","Kamchatka, Russian Far East, Korea, China, Siberia,Taiwan, Europe","Hylurgops niponicus Murayama, 1936 / ニホンカバイロキクイムシ"
128,128,Hylastini,,Hylurgops,,longipillus,,Reitter,1895,ケナガエゾキクイムシ,"Hylurgops longipillus Reitter, 1895","HOK, HON","Sakhalin, Russian Far East, Korea, China","Hylurgops longipilus Reitter, 1894"
129,129,Hylastini,,Hylurgops,,palliatus,,Gyllenhal,1813,ウスイロキクイムシ,"Hylurgops palliatus (Gyllenhal, 1813)","HOK, HON, Awj","Sakhalin, Russian Far East, Korea, China, Siberia, kazakhstan, Turkey, Europe",
130,130,Hylastini,,Hylurgops,,spessiwzeffi,,Eggers,1914,スペッシフツェフキクイムシ,"Hylurgops spessiwzeffi Eggers, 1914","HOK, HON","Sakhalin, Russian Far East, Korea, China, Siberia, Taiwan",
131,131,Hylastini,,Hylurgops,,transbaicalicus,,Eggers,1941,トランスバイカルキクイムシ,"Hylurgops transbaicalicus Eggers, 1941","HOK, HON",Russian Far East,
132,132,Hylesinini,,Alniphagus,,costatus,,Blandford,1894,ハンノカバイロキクイムシ,"Alniphagus costatus (Blandford, 1894)","HOK, HON, Sad","Kuril, Sakhalin, Russian Far East, Korea, China, Taiwan","Hylesinus costatus Blandford, 1894 / ヤチダモノコキクイムシ ; Xyleborus alni / Niijima, 1909 / ハンノオオマルキクイムシ"
133,133,Hylesinini,,Ficicis,,porcatus,,Chapuis,1869,ゴリアテキクイムシモドキ,"Ficicis porcatus (Chapuis, 1869)","HON, SHI, KYU, T-Nak, Amm, Okn, Ish, Iri","China, Taiwan, Philippines, Borneo, Sumatra, Java, India, Oceania, Australia","Ficiphagus goliatoides Murayama, 1955 / ゴリアテキクイムシ"
