大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,備考,出典,成虫出現時期
H123,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,コミヤアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H124,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,オオバコアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H125,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,クガイソウアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H126,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,コクロアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H127,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,ハッカアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H128,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,ヒヨドリバナアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H129,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,オオアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H130,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,チュウジョウアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H131,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,ヒナノウスツボアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H132,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,トウヨウアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H133,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,マルアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H134,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,カクムネアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H135,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,タツナミソウアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H136,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,オオバコトビハムシ,,,,,,,Longitarsus (Longitarsus),オオバコ、エゾオオバコ,,ハムシハンドブック,4~11月
H137,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,ヨモギトビハムシ,,,,,,,Longitarsus (Longitarsus),イワヨモギ、オトコヨモギ、ヨモギ、ヤマヨモギなどヨモギ類、ツワブキ,,ハムシ目録データベース,4~10月
H138,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,ハンゴンソウアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H139,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,スズキアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H140,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,トカラアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H141,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Longitarsus,,(Longitarsus),,,,,カクバネアシナガトビハムシ,,,,,,,Longitarsus (Longitarsus),不明,,ハムシ目録データベース,
H142,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,amamiana,,,,,アマミホソトビハムシ,,,,,,,Luperomorpha amamiana,不明,,ハムシ目録データベース,
H143,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,birmanica,,,,,マエアカホソトビハムシ,,,,,,,Luperomorpha birmanica,不明,,ハムシ目録データベース,
H144,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,collaris,,,,,ムネアカオオトビハムシ,,,,,,,Luperomorpha collaris,不明,,ハムシ目録データベース,
H145,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,funesta,,,,,クワノミハムシ,,,,,,,Luperomorpha funesta,マメ類、柑橘類、クワ、コウゾ、サトウダイコン、ナス、サクラ類など,,ハムシハンドブック,4~9月
H146,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,hidakai,,,,,ヒダカホソトビハムシ,,,,,,,Luperomorpha hidakai,不明,,ハムシ目録データベース,
H147,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,pryeri,,,,,クビアカトビハムシ,,,,,,,Luperomorpha pryeri,サンショウ、イヌザンショウ,,ハムシ目録データベース,7~8月
H148,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,sakishimana,,,,,サキシマホソトビハムシ,,,,,,,Luperomorpha sakishimana,不明,,ハムシ目録データベース,
H149,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,tenebrosa,,,,,キアシノミハムシ,,,,,,,Luperomorpha tenebrosa,不明,,ハムシ目録データベース,
H150,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Luperomorpha,,tokejii,,,,,トケジホソトビハムシ,,,,,,,Luperomorpha tokejii,不明,,ハムシ目録データベース,
H151,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lythraria,,komiyamai,,,,,コナスビトビハムシ,,,,,,,Lythraria komiyamai,不明,,ハムシ目録データベース,
H152,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Lythraria,,salicariae,,,,,トラノオトビハムシ,,,,,,,Lythraria salicariae,不明,,ハムシ目録データベース,
H153,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Manobia,,aoshimense,,,,,ケシタマノミハムシ,,,,,,,Manobia aoshimense,不明,,ハムシ目録データベース,
H154,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Manobia,,formosana,,,,,チャイロケシトビハムシ,,,,,,,Manobia formosana,不明,,ハムシ目録データベース,
H155,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Manobia,,gressitti,,,,,サキシマコトビハムシ,,,,,,,Manobia gressitti,不明,,ハムシ目録データベース,
H156,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Manobia,,lewisi,,,,,ルイスコトビハムシ,,,,,,,Manobia lewisi,不明,,ハムシ目録データベース,
H157,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Manobia,,parvula,,,,,クロコトビハムシ,,,,,,,Manobia parvula,エノキグサの1種、コニシキソウ,,ハムシ目録データベース,4~10月
H158,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Mantura,,(Mantura),,,,,スイバトビハムシ,,,,,,,Mantura (Mantura),スイバ、ギシギシなど,,ハムシハンドブック,5~6月
H159,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Mantura,,(Mantura),,,,,カタバミトビハムシ,,,,,,,Mantura (Mantura),不明,,ハムシ目録データベース,
H160,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Mantura,,(Mantura),,,,,ニホンハモグリトビハムシ,,,,,,,Mantura (Mantura),不明,,ハムシ目録データベース,
H161,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Mantura,,(Mantura),,,,,セマルトビハムシ,,,,,,,Mantura (Mantura),不明,,ハムシ目録データベース,
H162,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,acuminata,,,,,トガリカクムネトビハムシ,,,,,,,Neocrepidodera acuminata,不明,,ハムシ目録データベース,
H163,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,gruevi,,,,,セダカカクムネトビハムシ,,,,,,,Neocrepidodera gruevi,不明,,ハムシ目録データベース,
H164,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,hiranoi,,,,,ヒラノカクムネトビハムシ,,,,,,,Neocrepidodera hiranoi,不明,,ハムシ目録データベース,
H165,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,interpunctata,,,,,ホソカクムネトビハムシ,,,,,,,Neocrepidodera interpunctata,不明,,ハムシ目録データベース,
H166,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,komatsui,,,,,クロカクムネトビハムシ,,,,,,,Neocrepidodera komatsui,不明,,ハムシ目録データベース,
H167,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,laevicollis,,,,,カクムネトビハムシ,,,,,,,Neocrepidodera laevicollis,不明,,ハムシハンドブック,6~11月
H168,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,obscuritarsis,,,,,オオキイロノミハムシ,,,,,,,Neocrepidodera obscuritarsis,ミゾソバ、オオバコ類,,ハムシ目録データベース,6~10月
H169,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,ohkawai,,,,,ワタラセカクムネトビハムシ,,,,,,,Neocrepidodera ohkawai,不明,,ハムシ目録データベース,
H170,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,recticollis,,,,,カクムネチビトビハムシ,,,,,,,Neocrepidodera recticollis,不明,,ハムシ目録データベース,
H171,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,satoi,,,,,アジサイカクムネトビハムシ,,,,,,,Neocrepidodera satoi,不明,,ハムシ目録データベース,
H172,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,sibirica,,,,,クサレダマハムシ,,,,,,,Neocrepidodera sibirica,不明,,ハムシ目録データベース,
H173,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,sublaevis,,,,,アラメカクムネトビハムシ,,,,,,,Neocrepidodera sublaevis,不明,,ハムシ目録データベース,
H174,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Neocrepidodera,,takara,,,,,キイロチビトビハムシ,,,,,,,Neocrepidodera takara,不明,,ハムシ目録データベース,
H175,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Nonarthra,,amamiana,,,,,カワリヒゲブトノミハムシ,,,,,,,Nonarthra amamiana,不明,,ハムシ目録データベース,
H176,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Nonarthra,,cyanea,,,,,ルリマルノミハムシ,,,,,,,Nonarthra cyanea,タンポポなどの花（成虫）、スギゴケ類（幼虫）,,ハムシ目録データベース,3~11月
H177,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Nonarthra,,tibialis,,,,,コマルノミハムシ,,,,,,,Nonarthra tibialis,リョウブ、ヒメジョオン、ノイバラ、イタドリなどの花,,ハムシ目録データベース,5~10月
H178,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Orthaltica,,okinawana,,,,,キイロケナガトビハムシ,,,,,,,Orthaltica okinawana,不明,,ハムシ目録データベース,
H179,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Orthaltica,,shirozui,,,,,ケナガトビハムシ,,,,,,,Orthaltica shirozui,不明,,ハムシ目録データベース,
H180,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Parategyrius,,unicolor,,,,,ニセアシナガトビハムシ,,,,,,,Parategyrius unicolor,不明,,ハムシ目録データベース,
H181,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Parazipangia,,okiana,,,,,ニセグミトビハムシ,,,,,,,Parazipangia okiana,不明,,ハムシ目録データベース,
H182,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Philopona,,vibex,,,,,タマアシトビハムシ,,,,,,,Philopona vibex,オオバコ,,ハムシ目録データベース,3~11月
H183,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Phygasia,,fulvipennis,,,,,チャバネツヤハムシ,,,,,,,Phygasia fulvipennis,ガガイモ,,ハムシ目録データベース,4~7月
H184,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Phyllotreta,,chujoe,,,,,チュウジョウキスジノミハムシ,,,,,,,Phyllotreta chujoe,不明,,ハムシ目録データベース,
H185,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Phyllotreta,,ezoensis,,,,,ムモンキスジノミハムシ,,,,,,,Phyllotreta ezoensis,不明,,ハムシ目録データベース,
H186,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Phyllotreta,,ochripes,,,,,キアシキスジノミハムシ,,,,,,,Phyllotreta ochripes,不明,,ハムシ目録データベース,
H187,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Phyllotreta,,rectilineata,,,,,ホソキスジノミハムシ,,,,,,,Phyllotreta rectilineata,不明,,ハムシ目録データベース,
H188,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Phyllotreta,,shirahatai,,,,,シラハタキスジノミハムシ,,,,,,,Phyllotreta shirahatai,不明,,ハムシ目録データベース,
H189,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Phyllotreta,,striolata,,,,,キスジノミハムシ,,,,,,,Phyllotreta striolata,ダイコン、カブなどアブラナ科植物,,ハムシハンドブック,3~11月
H190,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Podagricomela,,weisei,,,,,カラタチトビハムシ,,,,,,,Podagricomela weisei,カラタチ,,ハムシ目録データベース,4~6月(?)
H191,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Podontia,,quatordecimpunctata,,,,,ジュウシホシキイロオオハムシ,,,,,,,Podontia quatordecimpunctata,不明,,ハムシ目録データベース,
H192,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pseudodera,,xanthospila,,,,,フタホシオオノミハムシ,,,,,,,Pseudodera xanthospila,サルトリイバラ,,ハムシハンドブック,4~7月
H193,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pseudoliprus,,hirtus,,,,,クビボソトビハムシ,,,,,,,Pseudoliprus hirtus,ノブドウ、ヤマブドウ、エビヅル,,ハムシ目録データベース,5~8月
H194,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pseudoliprus,,komiyai,,,,,コミヤクビボソトビハムシ,,,,,,,Pseudoliprus komiyai,不明,,ハムシ目録データベース,
H195,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pseudoliprus,,kurosawai,,,,,クロサワクビボソトビハムシ,,,,,,,Pseudoliprus kurosawai,不明,,ハムシ目録データベース,
H196,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pseudoliprus,,nigritus,,,,,アラメクビボソトビハムシ,,,,,,,Pseudoliprus nigritus,不明,,ハムシ目録データベース,
H197,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pseudoliprus,,nigritus,,,,,アラメクビボソトビハムシ　伊豆諸島亜種,,,,,,,Pseudoliprus nigritus,不明,,ハムシ目録データベース,
H198,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Pseudoliprus,,suturalis,,,,,セスジクビボソトビハムシ,,,,,,,Pseudoliprus suturalis,不明,,ハムシ目録データベース,
H199,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Psylliodes),,,,,アサトビハムシ,,,,,,,Psylliodes (Psylliodes),不明,,ハムシ目録データベース,
H200,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Psylliodes),,,,,ベーリーナガスネトビハムシ,,,,,,,Psylliodes (Psylliodes),不明,,ハムシ目録データベース,
H201,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Psylliodes),,,,,ルリナガスネトビハムシ,,,,,,,Psylliodes (Psylliodes),ナス、ジャガイモ、ホオズキ、イヌホオズキ,,ハムシ目録データベース,4~10月
H202,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Psylliodes),,,,,チュウジョウナガスネトビハムシ,,,,,,,Psylliodes (Psylliodes),不明,,ハムシ目録データベース,
H203,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Psylliodes),,,,,ナトビハムシ,,,,,,,Psylliodes (Psylliodes),コンロンソウ、ダイコンなどアブラナ科の野菜類,,ハムシハンドブック,3~11月
H204,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Psylliodes),,,,,ヒロアシナガスネトビハムシ,,,,,,,Psylliodes (Psylliodes),不明,,ハムシ目録データベース,
H205,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Psylliodes),,,,,ダイコンナガスネトビハムシ,,,,,,,Psylliodes (Psylliodes),不明,,ハムシ目録データベース,
H206,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Psylliodes),,,,,ナスナガスネトビハムシ,,,,,,,Psylliodes (Psylliodes),不明,,ハムシ目録データベース,
H207,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Psylliodes,,(Semicnema),,,,,キイロナガスネトビハムシ,,,,,,,Psylliodes (Semicnema),不明,,ハムシ目録データベース,
H208,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sangariola,,punctatostriata,,,,,カタクリハムシ,,,,,,,Sangariola punctatostriata,オニユリ、オオウバユリ、ホトトギス類,,ハムシ目録データベース,4~6月
H209,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,akebia,,,,,アケビタマノミハムシ,,,,,,,Sphaeroderma akebia,不明,,ハムシ目録データベース,
H210,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,apicale,,,,,ツマキタマノミハムシ,,,,,,,Sphaeroderma apicale,ススキ類,,ハムシ目録データベース,4~11月
H211,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,atrum,,,,,クロタマノミハムシ,,,,,,,Sphaeroderma atrum,不明,,ハムシ目録データベース,
H212,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,balyi,,,,,フキタマノミハムシ,,,,,,,Sphaeroderma balyi,不明,,ハムシ目録データベース,
H213,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,flavonotatum,,,,,キモンタマノミハムシ,,,,,,,Sphaeroderma flavonotatum,不明,,ハムシ目録データベース,
H214,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,fulvoapicale,,,,,リュウキュウツマキマルノミハムシ,,,,,,,Sphaeroderma fulvoapicale,不明,,ハムシ目録データベース,
H215,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,inaizumii,,,,,イナイズミタマノミハムシ,,,,,,,Sphaeroderma inaizumii,不明,,ハムシ目録データベース,
H216,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,japanum,,,,,ヒゲナガタマノミハムシ,,,,,,,Sphaeroderma japanum,不明,,ハムシ目録データベース,
H217,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,kuroashi,,,,,クロアシタマノミハムシ,,,,,,,Sphaeroderma kuroashi,不明,,ハムシ目録データベース,
H218,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,morimotoi,,,,,モリモトタマノミハムシ,,,,,,,Sphaeroderma morimotoi,不明,,ハムシ目録データベース,
H219,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,nigricolle,,,,,アカバネタマノミハムシ,,,,,,,Sphaeroderma nigricolle,不明,,ハムシ目録データベース,
H220,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,obscurum,,,,,ウスグロタマノミハムシ,,,,,,,Sphaeroderma obscurum,不明,,ハムシ目録データベース,
H221,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,ohkuboi,,,,,ヘリグロタマノミハムシ,,,,,,,Sphaeroderma ohkuboi,不明,,ハムシ目録データベース,
H222,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,placidum,,,,,ムネアカタマノミハムシ,,,,,,,Sphaeroderma placidum,ボタンヅル,,ハムシ目録データベース,3~7月
H223,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,quadrimaculatum,,,,,ヨツモンタマノミハムシ,,,,,,,Sphaeroderma quadrimaculatum,不明,,ハムシ目録データベース,
H224,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,separatum,,,,,ヒメアオタマノミハムシ,,,,,,,Sphaeroderma separatum,不明,,ハムシ目録データベース,
H225,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,seriatum,,,,,ヌカキビタマトビハムシ,,,,,,,Sphaeroderma seriatum,不明,,ハムシ目録データベース,
H226,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,tarsatum,,,,,ヒロアシタマノミハムシ,,,,,,,Sphaeroderma tarsatum,チシマザサ,,ハムシ目録データベース,4~9月
H227,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Sphaeroderma,,unicolor,,,,,キイロタマノミハムシ,,,,,,,Sphaeroderma unicolor,センニンソウ,,ハムシ目録データベース,4~9月
H228,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Stenoluperus,,bicarinatus,,,,,チビウスバハムシ,,,,,,,Stenoluperus bicarinatus,不明,,ハムシ目録データベース,
H229,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Stenoluperus,,cyaneus,,,,,ルリウスバハムシ,,,,,,,Stenoluperus cyaneus,不明,,ハムシ目録データベース,
H230,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Stenoluperus,,nipponensis,,,,,ヒゲナガウスバハムシ,,,,,,,Stenoluperus nipponensis,不明,,ハムシ目録データベース,
H231,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,amamiana,,,,,アマミアラハダトビハムシ,,,,,,,Trachytetra amamiana,不明,,ハムシ目録データベース,
H232,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,collaris,,,,,コゲチャアラハダトビハムシ,,,,,,,Trachytetra collaris,不明,,ハムシ目録データベース,
H233,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,imasakai,,,,,イマサカアラハダトビハムシ,,,,,,,Trachytetra imasakai,不明,,ハムシ目録データベース,
H234,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,lewisi,,,,,アラハダトビハムシ,,,,,,,Trachytetra lewisi,不明,,ハムシ目録データベース,
H235,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,nigricornis,,,,,クロヒゲアラハダトビハムシ,,,,,,,Trachytetra nigricornis,不明,,ハムシ目録データベース,
H236,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,nigrita,,,,,クロアラハダトビハムシ,,,,,,,Trachytetra nigrita,不明,,ハムシ目録データベース,
H237,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,nishii,,,,,ニシアラハダトビハムシ,,,,,,,Trachytetra nishii,不明,,ハムシ目録データベース,
H238,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,obscura,,,,,ガマズミトビハムシ,,,,,,,Trachytetra obscura,ガマズミ、ヤブウツギなど,,ハムシハンドブック,4~8月
H239,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,okinawana,,,,,オキナワアラハダトビハムシ,,,,,,,Trachytetra okinawana,不明,,ハムシ目録データベース,
H240,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Trachytetra,,sordida,,,,,ヒゲナガアラハダトビハムシ,,,,,,,Trachytetra sordida,不明,,ハムシ目録データベース,
H241,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,bungoensis,,,,,キュウシュウグミトビハムシ,,,,,,,Zipanginia bungoensis,不明,,ハムシ目録データベース,
H242,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,iwatensis,,,,,ホオノキコミヤトビハムシ,,,,,,,Zipanginia iwatensis,不明,,ハムシ目録データベース,
H243,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Zipanginia,,loochooensis,,,,,リュウキュウグミトビハムシ,,,,,,,Zipanginia loochooensis,不明,,ハムシ目録データベース,
