和名,学名,成虫発生時期,成虫発生時期に関する備考
フサオシャチホコ,Dudusa sphingiformis Moore, 1872,7月下旬~8月上旬,年1化。土中で蛹化し、越冬する。
トガリバシャチホコ,Phycidopsis albovittata Hampson, 1893,3月と9月,
タカサゴツマキシャチホコ,Phalera takasagoensis Matsumura, 1919,7~8月,年1化。蛹越冬。
ムクツマキシャチホコ,Phalera angustipennis Matsumura, 1919,8月,年1化。
ツマキシャチホコ,Phalera assimilis (Bremer& Grey, 1853),6~8月,年1化。
クロツマキシャチホコ,Phalera minor Nagano, 1916,6~8月,年1化。蛹越冬。
モンクロシャチホコ,Phalera flavescens (Bremer& Grey, 1853),6月から8月,年1化。
フタジマネグロシャチホコ,Neodrymonia delia (Leech, 1889),6月と8月,年2化。前蛹で越冬。
チョウセンネグロシャチホコ,Neodrymonia coreana Matsumura, 1922,7月下旬から8月上旬,年1化。
ヤクシマネグロシャチホコ,Neodrymonia acuminata (Matsumura, 1929),3月から8月まで,
ハイイロネグロシャチホコ,Neodrymonia marginalis (Matsumura, 1925),4~5月と7~9月,年2化。
オオネグロシャチホコ,Eufentonia nihonica (Wileman, 1911),5~6月、8~9月,年2化。
ホソバネグロシャチホコ,Disparia diluta (Hampson, 1910),5~8月 (本州)、通年 (沖縄),
ワイルマンネグロシャチホコ,Disparia nigrofasciata (Wileman, 1910),3月から、ほぼ周年,
クロシタシャチホコ,Mesophalera sigmata (Butler, 1877),6~9月,年2化。土中で幼虫態で越冬する。
ホソバシャチホコ,Fentonia ocypete (Bremer, 1861),5月、8月、7月 (北海道),年2化。
ハイイロシャチホコ,Harpyia longipennis (Walker, 1862),6月と9月、7月 (北海道),年2化。
キシャチホコ,Pheosiopsis v-album (Oberthür, 1880),5~6月と7~8月,年2化。卵越冬。
ナカキシャチホコ,Pheosiopsis sugitanii (Matsumura, 1927),6~9月,年2化。蛹越冬。
ベニシモフリシャチホコ,Peridea lativitta (Wileman & South, 1917),5月、8~9月,年2化。卵越冬。
ナカジマシャチホコ,Nerice bipartita nakajimai Sugi, 1982,6月と8~9月,年2化。
ムラサキシャチホコ,Allodonta leucodera (Staudinger, 1892),7月,年1化。
ギンボシシャチホコ,Allodonta dembowskii (Oberthür, 1879),7月,年1化。
カイコモドキ,Peridea oberthueri (Staudinger, 1892),6~7月と8~9月,年2化。
オオアカマダラシャチホコ,Peridea gigantea (Butler, 1877),6月と8~9月,年2化。
アカマダラシャチホコ,Peridea graeseri (Staudinger, 1892),6~8月,年2化。
ヒメシャチホコ,Peridea moltrechti (Oberthür, 1911),6~8月,年2化。
セダカシャチホコ,Semidonta parausta (Butler, 1877),6~7月と8~9月,年2化。
ネスジシャチホコ,Fusadonta basilinea (Wileman, 1911),5月、7~8月,年2化。
トビネシャチホコ,Nephodonta tsushimensis Sugi, 1980,2月下旬から3月初旬,年1化。
アマギシャチホコ,Eriodonta amagisana (Marumo, 1933),4月から5月,年1化。
ハイイロシャチホコ,Microphalera grisea Butler, 1885,4月から (九州)、5月から (北海道),年2化。
セダカシャチホコ,Euhampsonia cristata (Butler, 1877),5~8月,年2化。八重山諸島では2月から見られる。
アオセダカシャチホコ,Euhampsonia splendida (Oberthür, 1880),5月頃と8月頃,年2化。北海道では6~7月に出現する。
ブナアオシャチホコ,Syntypistis punctatella (Motschulsky, 1861),5~6月、8~9月,年2化。
プライヤアオシャチホコ,Syntypistis pryeri (Leech, 1899),5~6月と8~9月,年2化。
アオシャチホコ,Syntypistis japonica (Nakatomi, 1981),4月より9月上中旬,年2化。
ホリシャシャチホコ,Syntypistis subgeneris (Strand, 1915),3月から9月まで,多化と推定される。
オオアオシャチホコ,Syntypistis cyanea (Leech, 1889),4~6月、7~9月,年2化。
ナチアオシャチホコ,Syntypistis nachiensis (Marumo, 1920),3~5月、7~8月、10月,
アマミアオシャチホコ,Syntypistis amamiensis (Nakatomi, 1981),3月、7~8月,おそらく年2化。
イリオモテアオシャチホコ,Vaneeckeia pallidifascia (Hampson, 1893),3~10月,多化と推定される。
ギンボシシャチホコ,Rosama cinnamomea Leech, 1888,6~7月、8~9月,年2化、蛹越冬。
トビギンボシシャチホコ,Rosama ornata (Oberthür, 1884),6~9月,年2化、蛹越冬。
ドクガ,Calliteara argentata (Butler, 1881),5月及び7~8月,年2化。若齢幼虫で越冬する。
リンゴドクガ,Calliteara pseudabietis Butler, 1885,4~5月と7~8月,年2化。
スズキドクガ,Calliteara conjuncta (Wileman, 1911),5~6月と8月,年2化。
アカヒゲドクガ,Calliteara lunulata (Butler, 1877),4~6月と7~8月 (本土域),12~1月と4、5月 (沖縄島)、3月 (石垣島),本土域では年2化。
ウスジロドクガ,Calliteara virginea (Oberthür, 1879),5~6月,年1化。
シタキドクガ,Calliteara taiwana (Wileman, 1910),5,6月と8~10月,年2化。
ブドウドクガ,Ilema eurydice (Butler, 1885),7~9月,年2化すると考えられている。
ナチキシタドクガ,Ilema nachiensis (Marumo, 1917),7~8月,おそらく年1化と思われる。
マメドクガ,Cifuna locuples Walker, 1855,6~9月,年3回程度の発生。若齢幼虫で越冬する。
ダイセツドクガ,Gynaephora rossii (Curtis, 1835),7月,卵から成虫になるまでに3年かかると推定されている。
アカモンドクガ,Telochurus recens (Hübner, 1819),6月および8月,年2化。
ヒメシロモンドクガ,Orgyia thyellina Butler, 1881,6~8月と10~11月,年2~3化。初齢幼虫で越冬。
コシロモンドクガ,Orgyia postica (Walker, 1855),3、6、7、11月など,くわしい化性などは不明。
ヤクシマドクガ,Orgyia triangularis Nomura, 1938),3、6、7、8、9、12月など,ほぼ一年中に得られており、くわしい化性などは不明。
スゲドクガ,Laelia coenosa (Hübner, 1808),5~6月と8~9月,年2化。
クニガミスゲドクガ,Laelia kunigamiensis Kishida, 1995,4~5月と11月,
スゲオオドクガ,Laelia gigantea Butler, 1885,5~6月と8~9月,年2化。
ミヤノスゲドクガ,Laelia miyanoi Kishida, 2010,6~7月,
エルモンドクガ,Arctornis l-nigrum (Müller, 1764),6~8月,年2化と考えられる。
スカシドクガ,Arctornis kumatai Inoue, 1956,5~6月と8~9月,年2化。
ヒメシロドクガ,Arctornis chichibense (Matsumura, 1921),5~6月と7~8月,年2化。
ツシマシロドクガ,Arctornis album (Bremer, 1861),7~8月,
ヒメスカシドクガ,Arctornis kanazawai Inoue, 1982,3~7月,12月,
ニワトコドクガ,Topomesoides jonasii (Butler, 1877),6~9月,年2化と考えられる。
ヤナギドクガ,Leucoma salicis (Linnaeus, 1758),7~8月,年1化。
ブチヒゲヤナギドクガ,Leucoma candida (Staudinger, 1892),7~8月,年1化。
キアシドクガ,Ivela auripes (Butler, 1877),6月,年1化。卵越冬。
ヒメキアシドクガ,Ivela ochropoda (Eversmann, 1847),6~8月,年1化。
コシロオビドクガ,Numenes disparilis Staudinger, 1887,6~7月と8~9月,年2化。
シロオビドクガ,Numenes albofascia (Leech, 1889),6~7月と8~9月,年2化。
クロモンドクガ,Kuromondokuga niphonis (Butler, 1881),6~7月と8~9月,年2化。
ウチジロマイマイ,Parocneria furva (Leech, 1889),6~7月と8~9月,年2化。卵または若齢幼虫で越冬する。
マイマイガ,Lymantria dispar (Linnaeus, 1758),7~8月,年1化。卵で越冬する。
シロシタマイマイ,Lymantria albescens Hori & Umeno, 1930,6~7月,年1化。卵で越冬する。
ノンネマイマイ,Lymantria monacha (Linnaeus, 1758),7~8月,年1化。
ミノオマイマイ,Lymantria minomonis Matsumura, 1934,5月 (沖縄亜種)、7~8月 (本土亜種),
オオヤママイマイ,Lymantria lucescens (Butler, 1881),8~9月,年1化。
マエグロマイマイ,Lymantria xylina Swinhoe, 1903,6~7月,年1化。
バンタイマイマイ,Lymantria bantaizana Matsumura, 1933,7~8月,年1化。幼虫で越冬する。
ハラアカマイマイ,Lymantria fumida Butler, 1877,7~8月,年1化。卵で越冬する。
カシワマイマイ,Lymantria mathura (Moore, 1865),6月 (沖縄)、7~9月 (北海道、本州),年1化発生し、卵で越冬する。
スキバドクガ,Perina nuda (Fabricius, 1878),3~8月,化性などは不明。♂は昼行性であるが、♀は夜間灯火に飛来する。
フタホシドクガ,Nygmia staudingeri (Leech, 1889),7~8月と9~10月,年2化。
マガリキドクガ,Nygmia curvata (Wileman, 1911),7~8月と10月,年2化。
ドクガ,Artaxa subflava (Bremer, 1864),6~8月,年1化。若齢幼虫で越冬する。
サカグチキドクガ,Artaxa sakaguchii (Matsumura, 1927),6~8月、10月,くわしい化性は不明。
カンシキドクガ,Artaxa kanshireia (Wileman, 1911),8月,台湾での記録。
キドクガ,Kidokuga piperita (Oberthür, 1880),6~8月,年1化。
トラサンドクガ,Kidokuga torasan (Holland, 1889),5月と7~8月,年2化。
モンシロドクガ,Sphrageidus similis (Fuessly, 1775),5~6月と8~9月,年2~3化。幼虫で越冬する。
タイワンキドクガ,Orvasca taiwana (Shiraki, 1913),5~6月,化性などは不明。
ゴマフリドクガ,Somena pulverea (Leech, 1889),5月と7~8月,年2化。
チャドクガ,Arna pseudoconspersa (Strand, 1914),6~7月と10月,年2化。卵で越冬する。
シロジマキノカワガ,Gadirtha pulchra (Butler, 1886),10月,
ナンキンキノカワガ,Gadirtha impingens Walker, 1857),6月から,成虫で越冬するので晩秋や早春にも見られる。
クニガミキノカワガ,Gadirtha sp.,5月,
ネジロキノカワガ,Negritothripa hampsoni (Wileman, 1911),5月と9月,年2化。
シンジュキノカワガ,Eligma narcissus (Cramer, 1775),7~11月,9月に得られる個体が多い。3月に採集されたこともある。
ギンバネキノカワガ,Macrobarasa xantholopha (Hampson, 1896),3~12月,
ミドリキノカワガ,Blenina angulipennis (Moore, 1882),3、6、7月,2006年以降に得られることから偶産蛾と考えられるが、近年は定着している可能性もある。
リュウキュウキノカワガ,Risoba prominens Moore, 1881,6~10月,年2化と考えられる。
シロスジミドリキノカワガ (新称),Risoba obscurivialis Holloway, 2003,9月,
ミナミキノカワガ,Risoba basalis Moore, 1881,不明,偶産蛾である。
テンクロアツバ,Rivula sericealis (Scopoli, 1763),5~10月,幼虫で越冬と推定されている。
オオテンクロアツバ,Rivula sugii Kishida, 2010,7月,
キクビムモンアツバ,Rivula unctalis Staudinger, 1892,7月,年1化。
タケアツバ,Rivula aequalis (Walker, 1863),6~10月,年5化。
マエシロモンアツバ,Rivula curvifera Walker, 1862,6~7月と9月,
フタテンアツバ,Rivula inconspicua (Butler, 1881),4~10月,
アトジロフタテンアツバ,Rivula yoshimotoi Kishida, 2010,3~10月,ほぼ周年発生していると推定されている。
シラフアカガネアツバ,Rivula albipunctata Yoshimoto, 1996,7月,
トビイロフタテンアツバ,Rivula errabunda Wileman, 1911,5~9月,
クリイロアツバ,Rivula plumipes Hampson, 1907,5~11月,
アトキリアツバ,Rivula cognata Hampson, 1912,3~11月,
ネグロアトキリアツバ,Rivula basalis Hampson, 1891,2~8月,
ナミグルマアツバ,Anatatha lignea (Butler, 1879),5~8月,
ヒメナミグルマアツバ,Anatatha misae Sugi, 1982,6~8月,
クロオビアツバ,Anatatha wilemani (Sugi, 1958),5~8月,
ムラサキアツバ,Diomea cremata (Butler, 1878),5~9月,蛹で越冬する。
ヨツモンムラサキアツバ,Diomea discisigna Sugi, 1963,5~8月,
ナカオビムラサキアツバ,Diomea yanagitai Kishida, 2010,8月,
マエヘリモンアツバ,Diomea jankowskii (Oberthür, 1880),5~9月,
ミナミマエヘリモンアツバ,Diomea insulana Yoshimoto, 2001,3~8月,
マエジロアツバ,Hypostrotia cinerea (Butler, 1878),5~6月と8~10月,年2化。
ヒメエビイロアツバ,Maguda suffusa (Walker, 1863),6~9月,
オオトウアツバ,Panilla petrina (Butler, 1879),5~10月,
マエクロモンアツバ,Panilla costipunctata Leech, 1900,3~10月,
アトホシボシアツバ,Caduca albopunctata (Walker, 1858),10月,
ミミモンクチバ,Anticarsia irrorata (Fabricius, 1781),8~10月,
オビマダラアツバ,Raparna roseata Wileman & South, 1917,5月と8~9月,
ソトキイロアツバ,Oglasa bifidalis (Leech, 1889),6~7月,年2化。
アサマツマキリアツバ,Pangrapta minor Sugi, 1982,6~7月,
ヤガ科,Eublemma anachoresis (Wallengren, 1863),不明,成虫で越冬。
ヘリグロクチバ,Ophiusa triphaenoides (Walker, 1858),3~12月,
コヘリグロクチバ,Ophiusa olista (Swinhoe, 1893),5~6月、7~9月,年2化。
キバネヘリグロクチバ,Ophiusa trapezium (Guenée, 1852),3~5月、12月,
キモンクチバ,Ophisma gravata Guenée, 1852,3~11月,
オオシラホシアシブトクチバ,Achaea serva (Fabricius, 1775),3~12月,
シラホシアシブトクチバ,Achaea janata (Linnaeus, 1758),7~12月,
アシブトクチバ,Parallelia stuposa (Fabricius, 1794),5~6月、8~10月,年2化。
タイリクアシブトクチバ,Parallelia mandschurica (Staudinger, 1892),6~9月,
ホソオビアシブトクチバ,Parallelia arctotaenia (Guenée, 1852),5月と7~9月,年2化。
ヒメアシブトクチバ,Parallelia dulcis (Butler, 1878),5~7月、8~9月,
オキナワアシブトクチバ,Bastilla arcuata (Moore, 1887),4~10月,
ムラサキアシブトクチバ,Bastilla maturata (Walker, 1858),6~11月,
キオビアシブトクチバ,Bastilla fulvotaenia (Guenée, 1852),3~12月,
オオムラサキクチバ,Anisoneura aluco (Fabricius, 1775),2~8月,偶産と考えられる。
ヤエナミクチバ,Anisoneura salebrosa (Guenée, 1852),5月、8月、10~11月,
サビモンエグリバ,Plusiodonta tominagaorum Kishida, 2010,7月,
マダラエグリバ,Plusiodonta casta (Butler, 1878),5~9月,
ヒメアケビコノハ,Eudocima phalonia (Linnaeus, 1763),6~8月、9~10月,年2化以上。
ミドリモンコノハ,Eudocima homaena (Hübner, 1823),3~6月,
