insect_id,family,family_jp,subfamily,subfamily_jp,tribe,tribe_jp,genus,subgenus,species,subspecies,author,year,japanese_name,old_japanese_name,alternative_name,other_names,scientific_name,synonyms,changes_since_standard,notes
1-1,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Aegosoma,,sinicum,sinicum,White,1853,ウスバカミキリ 基亜種,,,,"Aegosoma sinicum sinicum (White, 1853)","Megopis sinica sinica (White, 1853)",,"Amm, Tok, Oknは奄美沖縄亜種"
1-2,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Aegosoma,,sinicum,adachii,Fujita,2018,ウスバカミキリ 奄美沖縄亜種,,,,"Aegosoma sinicum adachii Fujita, 2018",,,
1-3,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Aegosoma,,sinicum,savoryi,Kusui,1973,ウスバカミキリ 小笠原諸島亜種,オガサワラウスバカミキリ,,,"Aegosoma sinicum savoryi (Kusui, 1973)","Megopis sinica savoryi Kusui, 1974",,
1-4,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Aegosoma,,sinicum,validicornis,Gressitt,1951,ウスバカミキリ 八重山亜種,フトヒゲウスバカミキリ,,,"Aegosoma sinicum validicornis (Gressitt, 1951)","Megopis validicornis Gressitt, 1951",,
2,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Spinimegopis,,ishigakiana,,Yoshinaga & Nakayama,1972,イシガキトゲウスバカミキリ,イシガキトゲウスバカミキリ,,,"Spinimegopis ishigakiana (Yoshinaga & Nakayama, 1972)","Megopis formosana ishigakiana Yoshinaga & Nakayama, 1972",,
3-1,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Spinimegopis,,nipponica,nipponica,Matsushita,1934,トゲウスバカミキリ 基亜種,,,,"Spinimegopis nipponica nipponica (Matsushita, 1934)","Megopis formosana nipponica Matsushita, 1934",,
3-2,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Spinimegopis,,nipponica,hachijoana,Fujita,1980,トゲウスバカミキリ 八丈島トカラ亜種,ハチジョウトゲウスバカミキリ; アマミトゲウスバカミキリ 八丈島亜種,,,"Spinimegopis nipponica hachijoana (Fujita, 1980)","Megopis formosana hachijoana Fujita, 1980; Spinimegopis kawazoei hachijoana (Fujita, 1980)",,
3-3,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Spinimegopis,,nipponica,kawazoei,Hayashi,1961,トゲウスバカミキリ 奄美亜種,アマミトゲウスバカミキリ 基亜種,,,"Spinimegopis nipponica kawazoei (Hayashi, 1961)","Megopis formosana kawazoei Hayashi, 1961; Spinimegopis kawazoei kawazoei (Hayashi, 1961)",,
3-4,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Spinimegopis,,nipponica,okinawana,Fujita,1980,トゲウスバカミキリ 沖縄島亜種,アマミトゲウスバカミキリ 沖縄島亜種,,,"Spinimegopis nipponica okinawana (Fujita, 1980)","Megopis formosana okinawana Fujita, 1980; Spinimegopis kawazoei okinawana (Fujita, 1980)",,
3-5,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Aegosomatini,ウスバカミキリ族,Spinimegopis,,nipponica,yakushimana,Fujita,1980,トゲウスバカミキリ 屋久島亜種,ヤクシマトゲウスバカミキリ,,,"Spinimegopis nipponica yakushimana (Fujita, 1980)","Megopis formosana yakushimana Fujita, 1980",,
4-1,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Anacolini,コバネカミキリ族,Psephactus,,remiger,remiger,Harold,1879,コバネカミキリ 基亜種,,,,"Psephactus remiger remiger Harold, 1879",,,
4-2,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Anacolini,コバネカミキリ族,Psephactus,,remiger,insularis,Hayashi,1961,コバネカミキリ 伊豆琉球亜種,アマミコバネカミキリ,,,"Psephactus remiger insularis Hayashi, 1961",,,
5-1,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Anacolini,コバネカミキリ族,Psephactus,,scabripennis,scabripennis,Kusama,1973,オガサワラコバネカミキリ 基亜種,,,,"Psephactus scabripennis scabripennis Kusama, 1973",,,準絶滅危惧(NT)
5-2,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Anacolini,コバネカミキリ族,Psephactus,,scabripennis,chichijimensis,Kusama,1973,オガサワラコバネカミキリ 父島亜種,チチジマオガサワラコバネカミキリ,,,"Psephactus scabripennis chichijimensis Kusama, 1973",,,準絶滅危惧(NT)
6,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Eurypodini,ヒラタカミキリ族,Eurypoda,Eurypoda,boninensis,,Hayashi & Kusama,1973,オガサワラヒラタカミキリ,,,,"Eurypoda boninensis Hayashi & Kusama, 1973",,,
7-1,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Eurypodini,ヒラタカミキリ族,Eurypoda,Eurypoda,unicolor,unicolor,Hayashi,1956,コゲチャヒラタカミキリ 基亜種,ツシマコゲチャヒラタカミキリ,,,"Eurypoda unicolor unicolor Hayashi, 1956","Eurypoda (Eurypoda) tsushimana Ohbayashi, 1963",,
7-2,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Eurypodini,ヒラタカミキリ族,Eurypoda,Eurypoda,unicolor,ebiharai,Fujita,2018,コゲチャヒラタカミキリ 八重山亜種,,,,"Eurypoda unicolor ebiharai Fujita, 2018",,,
7-3,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Eurypodini,ヒラタカミキリ族,Eurypoda,Eurypoda,unicolor,kamakarii,Fujita,2018,コゲチャヒラタカミキリ 奄美沖縄亜種,,,,"Eurypoda unicolor kamakarii Fujita, 2018",,,
8,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Eurypodini,ヒラタカミキリ族,Eurypoda,Neoprion,batesi,,Gahan,1894,ベーツヒラタカミキリ,,,,"Eurypoda batesi Gahan, 1894",,,
9,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Macrodontini,オオウスバカミキリ族,Bandar,,pascoei,formosae,Gressitt,1938,コゲチャトゲフチオオウスバカミキリ,,,,"Bandar pascoei formosae (Gressitt, 1938)","Macrotoma fisheri obscuribrunnea Hayashi, 1962",,
10-1,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Parandrini,ニセクワガタカミキリ族,Komiyandra,,shibatai,shibatai,Hayashi,1963,アマミニセクワガタカミキリ 基亜種,,,,"Komiyandra shibatai shibatai (Hayashi, 1963)","Parandra (Parandra) shibatai Hayashi, 1963",,
10-2,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Parandrini,ニセクワガタカミキリ族,Komiyandra,,shibatai,hidai,Fujita,2018,アマミニセクワガタカミキリ 徳之島亜種,,,,"Komiyandra shibatai hidai Fujita, 2018",,,
10-3,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Parandrini,ニセクワガタカミキリ族,Komiyandra,,shibatai,ogurai,Fujita,2018,アマミニセクワガタカミキリ 沖縄亜種,,,,"Komiyandra shibatai ogurai Fujita, 2018",,,
11,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Parandrini,ニセクワガタカミキリ族,Komiyandra,,uenoi,,"Santos-Silva, Heffern & Matsuda",2010,サキシマニセクワガタカミキリ,タイワンニセクワガタカミキリ,,,"Komiyandra uenoi Santos-Silva, Heffern & Matsuda, 2010","Parandra (Parandra) formosana Miwa & Mitono, 1939",,
12,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Prionini,ノコギリカミキリ族,Dorysthenes,Prionomimus,elegans,ishigakiensis,N. Ohbayashi,1981,イシガキオオキバノコギリカミキリ,,,,"Dorysthenes elegans ishigakiensis N. Ohbayashi, 1981",,,
13-1,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Prionini,ノコギリカミキリ族,Prionus,,insularis,insularis,Motschulsky,1858,ノコギリカミキリ 基亜種,,,,"Prionus insularis insularis Motschulsky, 1858",,,"Motschulsky, 1857? 藤田・平山・秋田2018では対馬; 韓国・中国・ウスリー産を別亜種としている Prionus insularis tetanicus (Pascoe, 1867)"
13-2,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Prionini,ノコギリカミキリ族,Prionus,,insularis,yakushimanus,Ohbayashi,1964,ノコギリカミキリ 屋久島亜種,ヤクシマノコギリカミキリ,,,"Prionus insularis yakushimanus Ohbayashi, 1964",,,
14,Cerambycidae,カミキリムシ科,Prioninae,ノコギリカミキリ亜科,Prionini,ノコギリカミキリ族,Prionus,,sejunctus,,Hayashi,1959,ニセノコギリカミキリ,,,,"Prionus sejunctus Hayashi, 1959",,,
species-H001,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,aenea,"Olivier,",Olivier,1808,カミナリハムシ,,,,"Altica aenea Olivier, 1808",,,
species-H002,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,birmanensis,"Jacoby,",Jacoby,1896,ビルマカミナリハムシ,,,,"Altica birmanensis Jacoby, 1896",,,
species-H003,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,caerulescens,"Baly,",Baly,1874,ヒメカミナリハムシ,,,,"Altica caerulescens Baly, 1874",,,
species-H004,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,circaeae,"Ohno,",Ohno,1960,ミズタマソウカミナリハムシ,,,,"Altica circaeae Ohno, 1960",,,
species-H005,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,cirsicola,"Ohno,",Ohno,1960,アザミカミナリハムシ,,,,"Altica cirsicola Ohno, 1960",,,
species-H006,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,fragariae,"Nakane,",Nakane,1955,イチゴカミナリハムシ,,,,"Altica fragariae Nakane, 1955",,,
species-H007,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,japonica,"Ohno,",Ohno,1960,キタカミナリハムシ,,,,"Altica japonica Ohno, 1960",,,
species-H008,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,kimotoi,"Suenaga,",Suenaga,2020,ミヤマアザミカミナリハムシ,,,,"Altica kimotoi Suenaga, 2020",,,
species-H009,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,komiyai,"Suenaga,",Suenaga,2020,コミヤカミナリハムシ,,,,"Altica komiyai Suenaga, 2020",,,
species-H010,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,kurosawai,"Ohno,",Ohno,1960,クロサワカミナリハムシ,,,,"Altica kurosawai Ohno, 1960",,,
species-H011,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,latericosta,,,,スジカミナリハムシ,,,,Altica latericosta,,,
species-H013,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,nipponica,"Ohno,",Ohno,1960,ニホンカミナリハムシ,,,,"Altica nipponica Ohno, 1960",,,
species-H014,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,oleracea,oleracea,Linnaeus,1758,アカバナカミナリハムシ,,,,"Altica oleracea oleracea Linnaeus, 1758",,,
species-H015,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,sanguisorbae,"Ohno,",Ohno,1960,クロカミナリハムシ,,,,"Altica sanguisorbae Ohno, 1960",,,
species-H016,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Altica,,viridicyanea,"Baly,",Baly,1874,コカミナリハムシ,,,,"Altica viridicyanea Baly, 1874",,,
species-H017,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Amphimela,,metallica,S.,S. -H. Chen,1933,レモントビハムシ,,,,"Amphimela metallica S. -H. Chen, 1933",,,
species-H018,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,abdominalis,"Duftschmid,",Duftschmid,1825,キイロツブノミハムシ,,,,"Aphthona abdominalis Duftschmid, 1825",,,
species-H019,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,albescens,"Motschulsky,",Motschulsky,1866,オキナワアシナガトビハムシ,,,,"Aphthona albescens Motschulsky, 1866",,,
species-H020,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,amamiana,"Ohno,",Ohno,1962,アマミツブノミハムシ,,,,"Aphthona amamiana Ohno, 1962",,,
species-H021,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,erichsoni,,,,キアシツブノミハムシ1,,,,Aphthona erichsoni,,,
species-H022,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,formosana,S.,S. -H. Chen,1934,タイワンツブノミハムシ,,,,"Aphthona formosana S. -H. Chen, 1934",,,
species-H023,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,hakonensis,"Takizawa,",Takizawa,2012,ハコネツブノミハムシ,,,,"Aphthona hakonensis Takizawa, 2012",,,
species-H024,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,interstitialis,"Weise,",Weise,1887,アヤメツブノミハムシ,,,,"Aphthona interstitialis Weise, 1887",,,
species-H025,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,kurosawai,"Ohno,",Ohno,1962,クロサワツブノミハムシ,,,,"Aphthona kurosawai Ohno, 1962",,,
species-H026,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,perminuta,"Baly,",Baly,1875,ツブノミハムシ,,,,"Aphthona perminuta Baly, 1875",,,
species-H027,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,semiviridis,,,,キアシツブノミハムシ2,,,,Aphthona semiviridis,,,
species-H028,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthona,,strigosa,"Baly,",Baly,1874,サメハダツブノミハムシ,,,,"Aphthona strigosa Baly, 1874",,,
species-H029,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthonaltica,,angustata,"Baly,",Baly,1874,ホソルリトビハムシ,,,,"Aphthonaltica angustata Baly, 1874",,,
species-H030,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Aphthonoides,,beccaril,"Jacoby,",Jacoby,1885,トゲアシトビハムシ,,,,"Aphthonoides beccaril Jacoby, 1885",,,
species-H031,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopistes,,biplagiatus,"Motschulsky,",Motschulsky,1860,テントウノミハムシ,,,,"Argopistes biplagiatus Motschulsky, 1860",,,
species-H032,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopistes,,rufus,"Chen,",Chen,1934,ヘリグロテントウノミハムシ,,,,"Argopistes rufus Chen, 1934",,,
species-H033,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopistes,,ryukyuensis,Shigetoh,Shigetoh &amp; Suenaga,2022,リュウキュウテントウノミハムシ,,,,"Argopistes ryukyuensis Shigetoh &amp; Suenaga, 2022",,,
species-H034,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopistes,,tsekooni,"Chen,",Chen,1934,ヒメテントウノミハムシ,,,,"Argopistes tsekooni Chen, 1934",,,
species-H035,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopistes,,unicolor,"Jacoby,",Jacoby,1885,クロテントウノミハムシ,,,,"Argopistes unicolor Jacoby, 1885",,,
species-H036,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopus,,balyi,"Harold,",Harold,1878,オオキイロマルノミハムシ,,,,"Argopus balyi Harold, 1878",,,
species-H037,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopus,,clarki,"Jacoby,",Jacoby,1885,クラークマルノミハムシ,,,,"Argopus clarki Jacoby, 1885",,,
species-H038,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopus,,clypeatus,"Baly,",Baly,1874,オオアカマルノミハムシ,,,,"Argopus clypeatus Baly, 1874",,,
species-H039,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopus,,nigripennis,"Jacoby,",Jacoby,1885,クロバネマルノミハムシ,,,,"Argopus nigripennis Jacoby, 1885",,,
species-H040,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopus,,punctipennis,punctipennis,Motschulsky,1866,アカイロマルノミハムシ,,,,"Argopus punctipennis punctipennis Motschulsky, 1866",,,
species-H041,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Argopus,,unicolor,"Motschulsky,",Motschulsky,1860,ウスイロマルノミハムシ,,,,"Argopus unicolor Motschulsky, 1860",,,
species-H042,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Batophila,,acutangula,"Heikertinger,",Heikertinger,1921,ハネナシトビハムシ,,,,"Batophila acutangula Heikertinger, 1921",,,
species-H043,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Batophila,,latissima,"Chûjô,",Chûjô,1957,ハバビロハネナシトビハムシ,,,,"Batophila latissima Chûjô, 1957",,,
species-H044,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Bikasha,,collaris,"Baly,",Baly,1877,フタイロセマルトビハムシ,,,,"Bikasha collaris Baly, 1877",,,
species-H045,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Bikasha,,nipponica,"Chûjô,",Chûjô,1959,コバンマメトビハムシ,,,,"Bikasha nipponica Chûjô, 1959",,,
species-H046,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Bikasha,,simplicithorax,S.,S. -H. Chen,1934,キイロマメトビハムシ,,,,"Bikasha simplicithorax S. -H. Chen, 1934",,,
species-H047,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Cangshanaltica,,ogatai,Takemoto,Takemoto &amp; Suenaga,2021,オガタマンマルトビハムシ,,,,"Cangshanaltica ogatai Takemoto &amp; Suenaga, 2021",,,
species-H048,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Chaetocnema,chujoi,"Takizawa,",Takizawa,2021,オカボヒサゴトビハムシ,,,,"Chaetocnema chujoi Takizawa, 2021",,2021,
species-H049,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Chaetocnema,concinnicollis,"Baly,",Baly,1874,ヒメドウガネトビハムシ,,,,"Chaetocnema concinnicollis Baly, 1874",,1874,
species-H050,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Chaetocnema,constricta,Konstantinov,Konstantinov &amp; Yang,2014,キイチゴヒサゴトビハムシ,,,,"Chaetocnema constricta Konstantinov &amp; Yang, 2014",,2014,
species-H051,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Chaetocnema,cylindrica,"Baly,",Baly,1874,ムギヒサゴトビハムシ,,,,"Chaetocnema cylindrica Baly, 1874",,1874,
species-H052,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Chaetocnema,hortensis,"Geoffroy,",Geoffroy,1785,ヤマヒサゴトビハムシ,,,,"Chaetocnema hortensis Geoffroy, 1785",,1785,
species-H053,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Chaetocnema,ingenua,"Baly,",Baly,1876,ヒサゴトビハムシ,,,,"Chaetocnema ingenua Baly, 1876",,1876,
species-H054,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Chaetocnema,syowaensis,"Takizawa,",Takizawa,2021,ワタラセヒサゴトビハムシ,,,,"Chaetocnema syowaensis Takizawa, 2021",,2021,
species-H055,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,bicolorata,"Kimoto,",Kimoto,1971,フタイロヒサゴトビハムシ,,,,"Chaetocnema bicolorata Kimoto, 1971",,1971,
species-H056,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,concinna,"Marsham,",Marsham,1802,テンサイトビハムシ,,,,"Chaetocnema concinna Marsham, 1802",,1802,
species-H057,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,confinis,"Crotch,",Crotch,1873,サツマイモヒサゴトビハムシ,,,,"Chaetocnema confinis Crotch, 1873",,1873,
species-H058,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,granulosa,"Baly,",Baly,1874,クサイチゴトビハムシ,,,,"Chaetocnema granulosa Baly, 1874",,1874,
species-H059,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,kanmiyai,"Kimoto,",Kimoto,1974,カンミヤヒサゴトビハムシ,,,,"Chaetocnema kanmiyai Kimoto, 1974",,1974,
species-H060,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,kimotoi,"Gruev,",Gruev,1980,ニセテンサイトビハムシ,,,,"Chaetocnema kimotoi Gruev, 1980",,1980,
species-H061,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,koreana,"Chûjô,",Chûjô,1942,アオバドウガネトビハムシ,,,,"Chaetocnema koreana Chûjô, 1942",,1942,
species-H062,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,major,Jacquelin,Jacquelin du Val,1852,オオヒサゴトビハムシ,,,,"Chaetocnema major Jacquelin du Val, 1852",,1852,
species-H063,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Tlanoma,puncticollis,puncticollis,Motschulsky,1858,キイチゴトビハムシ,,,,"Chaetocnema puncticollis puncticollis Motschulsky, 1858",,1858,
species-H064,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Udorpes,bella,"Baly,",Baly,1876,タイワンヒサゴトビハムシ,,,,"Chaetocnema bella Baly, 1876",,1876,
species-H065,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Chaetocnema,Udorpes,hiromui,"Takizawa,",Takizawa,2021,ウミベヒサゴトビハムシ,,,,"Chaetocnema hiromui Takizawa, 2021",,2021,
species-H066,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Clavicornaltica,,nakanoi,"Suenaga,",Suenaga,2023,エグリヒゲブトコマルトビハムシ,,,,"Clavicornaltica nakanoi Suenaga, 2023",,,
species-H067,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Clavicornaltica,,sakishimana,Suenaga,Suenaga &amp; Yoshida,2016,サキシマヒゲブトコマルトビハムシ,,,,"Clavicornaltica sakishimana Suenaga &amp; Yoshida, 2016",,,
species-H068,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Clavicornaltica,,tokushigei,"Suenaga,",Suenaga,2023,ツマキレヒゲブトコマルトビハムシ,,,,"Clavicornaltica tokushigei Suenaga, 2023",,,
species-H069,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Crepidodera,,japonica,"Baly,",Baly,1877,ミドリトビハムシ,,,,"Crepidodera japonica Baly, 1877",,,
species-H070,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Crepidodera,,sahalinensis,"Konstantinov,",Konstantinov,1996,スズキミドリトビハムシ,,,,"Crepidodera sahalinensis Konstantinov, 1996",,,
species-H071,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Crepidodera,,yahiroi,"Suzuki,",Suzuki,2006,ヤヒロミドリトビハムシ,,,,"Crepidodera yahiroi Suzuki, 2006",,,
species-H072,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Dibolia,Dibolia,japonica,S.,S. -H. Chen,1933,ヤハズトビハムシ,,,,"Dibolia japonica S. -H. Chen, 1933",,1933,
species-H073,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Disonycha,,politula,"Horn,",Horn,1839,メリケントビハムシ,,,,"Disonycha politula Horn, 1839",,,
species-H074,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,Alticini,ノミハムシ族,Epitrix,,hirtipennis,"Melsheimer,",Melsheimer,1847,タバコノミハムシ,,,,"Epitrix hirtipennis Melsheimer, 1847",,,
