大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,出典
1,Micropterigidae,コバネガ科,,,,,,,Micropterix,,aureatella,,(Scopoli),1763,,モンフタオビコバネ,,,,,,,"Micropterix aureatella (Scopoli, 1763)",不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明; 不明,日本産蛾類標準図鑑3
3,Micropterigidae,コバネガ科,,,,,,,Paramartyria,,immaculatella,,Issiki,1931,,ムモンコバネ,,,,,,,"Paramartyria immaculatella Issiki, 1931",マキノゴケ (マキノゴケ科),日本産蛾類標準図鑑3
2,Micropterigidae,コバネガ科,,,,,,,Paramartyria,,semifasciella,,Issiki,1931,,マエモンコバネ,,,,,,,"Paramartyria semifasciella Issiki, 1931",マキノゴケ (マキノゴケ科); オオウロコゴケ (ウロコゴケ科),日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,hyperborea,,Imada & Kato,2018,,ツガルイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,leptobelos,,Imada & Kato,2018,,シラカミイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,catapasta,,Imada & Kato,2018,,アニイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,trochos,,Imada & Kato,2018,,ワガイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,不明; 不明; 不明; 不明; 不明,
9,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,nudata,,(Issiki),1953,,シロウマズアカヒロコバネ,シロウマズアカヒロコバネ（和名改称）,シロウマヒロコバネ,,,,,"Issikiomartyria nudata (Issiki, 1953)",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,akemiae,,Hashimoto,2006,,ヒメズアカヒロコバネ,ヒメズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria akemiae Hashimoto, 2006",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,plicata,,Hashimoto,2006,,ニセヒメズアカヒロコバネ,ニセヒメズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria plicata Hashimoto, 2006",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,distincta,,Hashimoto,2006,,エチゴズアカヒロコバネ,エチゴズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria distincta Hashimoto, 2006",ジャゴケ (ジャゴケ科),日本産蛾類標準図鑑3
