和名,学名,成虫発生時期,成虫発生時期に関する備考
コモンマルバネフタオ,Phazaca alikangensis (Strand, 1916),不明,多化性、春の個体は大きい。
アサケマルバネフタオ,Phazaca theclata (Guenée, 1857),不明,国外からの飛来種と考えられるが、一時的な発生があるのかもしれない。
エグリフタオ,Chundana emarginata (Hampson, 1891),不明,多化性, 春の個体はやや大型となる。
ギンツバメ,Acropteris iphiata (Guenée, 1857),5~7月と9~10月,年2化。寒冷地では年1化の可能性。
サキシマギンツバメ,Acropteris sparsaria (Walker, 1861),不明,昼間、葉の表面に止まっていることが多い。
ヤクシマギンツバメ,Pseudomicronia advocataria (Walker, 1861),不明,多化性と思われるが、詳細は不明。灯火に飛来する。
マサキオオツバメ,Lyssa zampa (Butler, 1869),不明,まれに日本に飛来することがある。飛来種と考えられる。
カバシャク,Archiearis parthenias (Linnaeus, 1761),4月上旬から5月中旬,年1化。昼間飛翔する。
クロフカバシャク,Archiearis notha (Hübner, 1808),4月下旬から5月下旬,年1化。昼飛性。
スグリシロエダシャク,Abraxas grossulariata (Linnaeus, 1758),6~8月,年1化、若齢幼虫で越冬する。
スギタニシロエダシャク,Abraxas flavisinuata Warren, 1894,8~9月,年1化。
キタマダラエダシャク,Abraxas sylvata (Scopoli, 1763),6~8月 (北海道)、5~6月と7~9月 (本州),北海道では年1化、本州ではおそらく年2化。
ヒメマダラエダシャク,Abraxas niphonibia Wehrli, 1935,5~6月と7~9月,少なくとも年2化、暖地では3化以上する可能性もある。蛹で越冬する。南西諸島では12~3月にも見られる。
ヘリグロマダラエダシャク,Abraxas satoi Inoue, 1972,5~6月と8~9月,年2化で蛹越冬。
クロマダラエダシャク,Abraxas fulvobasalis Warren, 1894,5~6月と7~9月,少なくとも年2化。蛹越冬。
ヒトスジマダラエダシャク,Abraxas latifasciata Warren, 1894,不明,年に少なくとも2化するが、地域によっては3化する。越冬態は蛹。
ユウマダラエダシャク,Abraxas miranda Butler, 1878,不明,地域により年2~3化し、幼虫あるいは蛹で越冬する。沖縄島や西表島では、2~3月と11~12月に出現する。
ミナミマダラエダシャク,Abraxas formosilluminata Inoue, 1984,7~9月,西表島で1980年10月14日に得られた1♂が唯一の記録。
シロオビヒメエダシャク,Lomaspilis marginata (Linnaeus, 1758),5月から8月,地域によって年1~2化すると思われる。
シロスジヒメエダシャク,Ligdia japonaria Leech, 1897,5~6月と7~9月,年2化し、蛹で越冬する。
キブサヒメエダシャク,Ligdia ciliaria Leech, 1897,5~6月と7~8月,年2化と推定される。
クロフヒメエダシャク,Peratophyga hyalinata (Kollar, 1844),5~6月と7~8月,年2化し。
サザナミオビエダシャク,Heterophleps fusca (Warren, 1894),5~10月,年2~3化すると思われる。蛹で越冬する。
ヤマトエダシャク,Pseudenna delectans (Moore, 1888),不明,周年経過は不明。
クロミスジシロエダシャク,Myrteta angelica (Butler, 1881),6~7月と9~10月,年2化。
ナミスジシロエダシャク,Hydrelia flammeolaria (Hufnagel, 1767),5月下旬と7~9月,年2化。蛹で越冬。
ミスジシロエダシャク,Tyloptera bella (Butler, 1878),不明,
マエキシロエダシャク,Lomographa inamata (Walker, 1861),6~9月 (四国、九州)、3月、6月、8月 (奄美大島),
クロズウスキエダシャク,Lomographa simplicior (Butler, 1881),8月下旬から10月下旬,おそらく年1化。
フタホシシロエダシャク,Lomographa bimaculata (Fabricius, 1775),4月から8月,少なくとも年2化、暖地では3化。蛹で越冬。
バラシロエダシャク,Lomographa temerata (Denis & Schiffermüller, 1775),4月から9月,地域によって年2~3化する。
ウスフタスジシロエдаシャク,Lomographa subspersata (Wehrli, 1939),4~6月と7~8月,おそらく年2化。
オオフタスジシロエダシャク,Lomographa claripennis Inoue, 1977,3~5月と7~8月,少なくとも年2化。
ウスオビシロエдаシャク,Lomographa nivea (Djakonov, 1936),4月から6月,年1化と推定しているが詳細は不明。
ミスジコナフエダシャク,Cabera insulata Inoue, 1958,5~6月と7~8月,年2化し、蛹越冬。北海道では7~8月に1回だけ発生すると推定。
ヒラヤマシロエдаシャク,Cabera schaefferi Bremer, 1864,5~6月 (本州中部)、7~8月 (北海道),おそらく年1化。
コスジシロエダシャク,Cabera purus (Butler, 1878),5~6月と7~8月,年2化し、蛹越冬。
アトグロアミメエダシャク,Cabera griseolimbata (Oberthür, 1879),5~6月と7~8月,年2化する。
フタスジウスキエダシャク,Parabapta aetheriata (Graeser, 1889),5~7月,年1化で蛹で越冬する。
イハラエダシャク,Parabapta iharai Yazaki, 1989,5~6月,年1化。
ウスアオエダシャク,Parabapta clarissa (Butler, 1878),4~6月,年1化で蛹越冬。
フタスジオエダシャク,Rhynchobapta cervinaria (Moore, 1888),5~6月と8~9月,年2化し、蛹で越冬する。
シロミャクオエдаシャク,Rhynchobapta eburnivena (Warren, 1896),3月から9月,周年経過は明確でない。
マエキオエダシャク,Plesiomorpha flaviceps (Butler, 1881),4月から9月,本州中部地方では年2化し、蛹で越冬する。西表島では7月と10月に得られている。
モンオビオエダシャク,Plesiomorpha punctilinearia (Leech, 1891),4~6月と8月,年2化。奄美大島以南では、12月から3月にかけても発生している。
フタモントガリエダシャク,Nadagara prosigna Prout, 1930,4~7月,おそらく年1化。
ミナミトガリエダシャク,Nadagara subnubila Inoue, 1967,3月と6~8月,おそらく年2化するのであろう。
マルバエダシャク,Boninnadagara crinomorpha Inoue, 1994,2~3月と6~8月,少なくとも年2化はするのであろう。
ニッコウキエダシャク,Pseudepione magnaria (Wileman, 1911),9~11月,秋の蛾である。
フタテンソトグロキエダシャク,Pseudepione shiraii Inoue, 1943,9~11月,年1化で。
ウスオビヒメエダシャク,Euchristophia cumulata (Christoph, 1881),5月から9月,少なくとも年2化、蛹で越冬する。
ハグルマエダシャク,Synegia hadussa (Butler, 1878),5月から9月頃,おそらく年1化であろう。卵越冬と推定。屋久島亜種は7~8月。
アベリアハグルマエダシャク,Synegia pallens Inoue, 1982,5~6月,年1化。卵越冬と推定。屋久島では7~8月。
マルハグルマエダシャク,Synegia ichinosawana (Matsumura, 1925),5~6月と7~8月,年2化で卵越冬と推定される。
スジハグルマエダシャク,Synegia limitatoides Inoue, 1982,6~8月,おそらく年1化。卵越冬と推定。
オオツカハグルマエдаシャク,Synegia ohtsukai Sato, 1990,6月と8月,周年経過は不明。
クロハグルマエдаシャク,Synegia esther Butler, 1881,5~10月,年1~2化。南西諸島では、1月から12月までほぼ毎月採集されている。
オオハグルマエдаシャク,Borbacha pardaria (Guenée, 1858),2月、3月、5月、8月、10月、12月,周年経過は不明だが、沖縄島で10月に得られた幼虫が11月に羽化している。
シロズエダシャク,Ecpetelia albifrontaria (Leech, 1891),4~6月,年1化で蛹で越冬する。
コトビスジエダシャク,Petelia rivulosa (Butler, 1881),6~7月,年1化で卵か若齢幼虫で越冬するものと推定している。
ヨスジアカエダシャク,Astygisa morosa (Butler, 1881),5~6月と7~9月,年2化し、蛹越冬であろう。
オオヨスジアカエダシャク,Astygisa chlororphnodes (Wehrli, 1936),5~6月と7~9月,蛹越冬であろう。
ウラキトガリエダシャク,Hypephyra terrosa Butler, 1889,6月から9月頃,周年経過は不明。
クガニエダシャク,Hyperythra lutea (Stoll, 1781),8月,偶産種かもしれない。
ツマキエダシャク,Platycerota incertaria (Leech, 1891),4~10月,地域によって年2~3化するのであろう。蛹で越冬。
ツマキアカエダシャク,Platycerota particolor (Warren, 1896),3月,周年経過は不明。
フタテンオエダシャク,Chiasmia defixaria (Walker, 1861),4月から10月頃,年2~3化するものと思われる。越冬態は蛹。
ナガオエダシャク,Chiasmia cinerearia (Bremer & Grey, 1853),5~6月と7~8月,対馬で1975年8月17日に1♂の記録のみ。
ウスオエダシャク,Chiasmia hebesata (Walker, 1861),不明,分布域が広いので、地域によっては、年に2~3化するのであろう。
オキナワオエダシャク,Chiasmia emersaria (Walker, 1861),5月、7月、8月、11月,羽化月。
ヒメアミメエダシャク,Chiasmia clathrata (Linnaeus, 1758),5~6月と7~8月,年2化し、蛹で越冬する。
シャンハイオエдаシャク,Macaria shanghaisaria Walker, 1861,5月から9月,地域によって年2~3化し、蛹越冬と推定される。
シロオビオエダシャク,Macaria fuscaria (Leech, 1891),5月、7月、8月、10月,少なくとも年2化。北海道や本州中部地方の山地では、7~8月発生の年1化であろう。
シナノオエダシャク,Macaria signaria (Hübner, 1809),7~8月,年1化で。
チャオビオエダシャク,Macaria liturata (Clerck, 1759),5~6月と7~8月,地域によって年1~2化すると推定。
ギンネムエダシャク,Macaria abydata Guenée, 1858),3月、6月、7月、8月 (小笠原諸島)、8月と翌年1月 (沖縄島),くわしい周年経過は不明。
キトビエダシャク,Macaria brunneata (Thunberg, 1784),7~8月,年1化。ヨーロッパでは卵で越冬するという。
ウスキオエダシャク,Oxymacaria normata (Alphéraky, 1892),5~6月と7~9月,年2化、蛹越冬。
クロモンオエダシャク,Oxymacaria temeraria (Swinhoe, 1891),3~4月、8~9月、10~11月,年2~3化する。
フトスジオエдаシャク,Oxymacaria pryeri (Butler, 1879),6~8月,周年経過は不明である。
ウスネズミエダシャク,Isturgia vapulata (Butler, 1879),5~7月と8~9月,年2化し、蛹越冬。
ソトオビエダシャク,Isturgia arenacearia (Denis & Schiffermüller, 1775),5~6月と8~9月,少なくとも年2化し。
トビカギバエдаシャク,Luxiaria amasa (Butler, 1878),3月から10月頃,年2~3化する。
ミナミトビカギバエダシャク,Luxiaria mitorrhaphes Prout, 1925,5月と8~9月,年2化はするものと思われる。
キトビカギバエダシャク,Pseudonadagara semicolor (Warren, 1895),6~8月,周年経過は不明である。
カギバエдаシャク,Pseudonadagara hepatica Inoue, 1994,2~4月と10~12月,年に2~3化するのであろう。7~8月の個体はより小さく、全体が黄褐色ではなく赤レンガ色。
スエヒロエダシャク,Gonodontis pallida (Butler, 1880),3~6月と9~1月,年2化する。
アトムスジエダシャク,Aporhoptrina semiorbiculata (Christoph, 1881),7~8月 (北海道)、5~8月 (本州中部地方の山地),
クロフキエダシャク,Monocerotesa lutearia (Leech, 1891),6~7月と7~8月,年2化。北海道では年1化かもしれない。
ダイセツタカネエдаシャク,Glacies coracina (Esper, 1805),6月後半から8月上旬,卵から成虫まで足掛け3年を要する。
ヘリグロエダシャク,Bupalus vestalis Staudinger, 1897,5~7月,昼飛性。
スカシエダシャク,Krananda semihyalina Moore, 1868,不明,吸かい地域ではほぼ1年中成虫が見られる。年3~4化するのであろう。
ツマジロエダシャク,Krananda latimarginaria Leech, 1891,不明,地域によって年2~4化するものと推定される。
キベリゴマフエダシャク,Epobeidia tigrata (Guenée, 1858),6~8月 (発生のピークは7月中旬),年1化, 卵越冬と推定される。
トンボエダシャク,Cystidia stratonice (Stoll, 1782),6~7月,年1化。昼飛性。
ヒロオビトンボエダシャク,Cystidia truncangulata Wehrli, 1934,6~7月,年1化。昼飛性。
ウメエダシャク,Cystidia couaggaria (Guenée, 1858),6~8月,年1化。昼飛性。
シロジマエダシャク,Euryobeidia languidata (Walker, 1862),7~8月,年1化。
ゴマダラシロエдаシャク,Antipercnia albinigrata (Warren, 1896),5~6月と7~8月,年2化し、蛹で越冬する。
オオゴマダラエダシャク,Parapercnia giraffata (Guenée, 1858),4~9月頃,少なくとも年2化し、蛹で越冬する。
クロフオオシロエダシャク,Pogonopygia nigralbata Warren, 1894,5~6月と7~8月,年2化。九州以南では3月から見られるので、年3~4化するのであろう。
タイワンオオシロエダシャク,Pogonopygia pavida (Bastelberger, 1911),3~4月、10~11月、12~1月,少なくとも年3化はするのであろう。
クロフシロエдаシャク,Dilophodes elegans (Butler, 1878),3~5月と7~8月,年2化、地域によって異なる。
キオビエダシャク,Milionia zonea Moore, 1872,3月から11月頃,年3~4化し。鹿児島県では蛹で越冬が可能。
ウスゴマダラエダシャク,Metabraxas paucimaculata Inoue, 1955,10~11月,年1化、秋の蛾。
オオシロエダシャク,Metabraxas clerica Butler, 1881,7~8月 (北海道)、6~8月 (本州中部),地域によって年1~2化するものと推定。
プライヤエダシャク,Arichanna pryeraria Leech, 1891,4月下旬から7月上旬、九州では4~6月と8月,年1化か年2化。
シロホシエダシャク,Arichanna albomacularia Leech, 1891,4月から6月,年1化で春の蛾。
キジマエдаシャク,Arichanna tetrica (Butler, 1878),4~6月,年1化で蛹越冬。
キシタエダシャク,Arichanna melanaria (Linnaeus, 1758),6~8月,年1化。
ヒョウモンエダシャク,Arichanna gaschkevitchii (Motschulsky, 1861),6月から9月頃,年1化である。卵で越冬する。
ナカウスエдаシャク,Alcis angulifera (Butler, 1878),4~6月と9~10月,年2化。幼虫で越冬。
ヒメナカウスエдаシャク,Alcis medialbifera Inoue, 1972,8~10月,おそらく年1化、幼虫越冬であろう。
コケエダシャク,Alcis jubata (Thunberg, 1788),7~8月,年1化で、幼虫で越冬。
オオナカホシエдаシャク,Alcis pryeraria (Leech, 1897),7~9月 (北海道や東北地方~中部地方山岳地帯)、5~6月と7~9月 (本州の低標高の地や西日本),地域によって年1~2化。
シロシタオビエдаシャク,Alcis picata (Butler, 1881),7月から9月,年1化で、幼虫越冬。
イツスジエダシャク,Alcis extinctaria (Eversmann, 1851),7~8月,年1化で、幼虫で越冬する。
ウスバキエダシャク,Pseuderannis lomozemia (Prout, 1930),3月から5月,年1化、春。蛹で越冬する。
ウスバシロエдаシャク,Pseuderannis amplipennis (Inoue, 1942),3~5月,年1化、春の蛾。蛹越冬である。
フタヤマエダシャク,Rikiosatoa grisea (Butler, 1878),5月から9月ころ,年2化、幼虫で越冬。
ネグロエдаシャク,Ramobia basifuscaria (Leech, 1891),9月から11月,年1化、秋の蛾。卵越冬。
ナカジロネグロエдаシャク,Ramobia mediodivisa Inoue, 1953,9~11月,秋の蛾で、卵で越冬。
ババエダシャク,Hesperumia babai Sato, 1980,6月,年1化、卵で越冬。
マダラシロエダシャク,Hesperumia silvicola (Inoue, 1953),6月下旬~7月上旬と9~10月,年2化し。
マルバトビスジエдаシャク,Anaboarmia aechmeessa (Prout, 1929),7月下旬~9月上旬,年1化で、卵で越冬。
フタキスジエダシャク,Gigantalcis flavolinearia (Leech, 1891),9~11月,秋の蛾である。卵で越冬。
クロクモエダシャク,Apocleora rimosa (Butler, 1879),5~9月,年2~3化。若齢幼虫で越冬する。
マツオオエダシャク,Deileptenia ribeata (Clerck, 1759),4月下旬から10月上旬,本州中部地方では年2化し、幼虫で越冬する。
キタルリモンエダシャク,Cleora cinctaria (Denis & Schiffermüller, 1775),春,年1化。
ルリモンエдаシャク,Cleora insolita (Butler, 1878),4月頃から7月上旬,年1化の春の蛾であるが、地域による。蛹で越冬。
シロテンエダシャク,Cleora leucophaea (Butler, 1878),4~5月,年1化、春。
アマミシロテンエダシャク,Cleora amamiensis Sato, 1978,12月から3月,
ヤクシマフトスジエダシャク,Cleora minutaria (Leech, 1891),12月から1月,年2~3化と推定されるが、周年経過は明らかではない。
ソトシロモンエダシャク,Cleora venustaria (Leech, 1891),5~6月と7~9月,年2化で蛹越冬と推定される。
オガサワラフトスジエダシャク,Cleora ogasawarensis Inoue, 1994,1~11月,年に何回か発生を繰り返しているのであろう。
リュウキュウフトスジエダシャク,Cleora injectaria (Walker, 1860),不明,年間にわたって各月の採集記録があり、年に何回か発生を繰り返している。
フトスジエダシャク,Cleora repulsaria (Walker, 1860),不明,年に2~3化するものと思われる。
ヨモギエダシャク,Ascotis selenaria (Denis & Schiffermüller, 1775),5~6月と7~8月 (北海道)、本州以南では年2~3化,蛹で越冬。
セブトエдаシャク,Cusiala stipitaria (Oberthür, 1880),4月頃から9月 (本州以南),年2~3化。蛹越冬。北海道では5~6月に発生。
ウストビスジエダシャク,Ectropis aigneri Prout, 1930,不明,地域によって年1~2化し、蛹で越冬する。
オオトビスジエダシャク,Ectropis excellens (Butler, 1884),不明,年に少なくとも2化し、場所によっては3化以上する。多くは蛹で越冬するが、奄美大島以南では12月から1月にかけても得られており、条件さえ整えば発生が繰り返される。
ウルマトビスジエダシャク,Ectropis bhurmitra (Walker, 1860),12月下旬~2月下旬 (沖縄島)、7月上旬 (与論島),年2~3化と推定される。
フトフタオビエдаシャク,Ectropis crepuscularia (Denis & Schiffermüller, 1775),3月から10月頃,年に2~3化し、蛹で越冬する。
スギノキエダシャク(新称),Ectropis sp.,4~5月と7~8月,蛹で越冬する。
ウスジロエダシャク,Ectropis obliqua (Prout, 1915),4月から9月頃,年に2~3化、蛹で越冬。
ハミスジエダシャク,Hypomecis roboraria (Denis & Schiffermüller, 1775),5~6月と8~9月 (本州以南)、7~8月 (北海道や高標高地),中齢~亜終齢幼虫で越冬する。
オオバナミガタエダシャク,Hypomecis lunifera (Butler, 1878),6~7月と9月 (本州以南)、7~8月 (北海道や高標高地),年2化。越冬態は幼虫と推定される。
アキバエダシャク,Hypomecis akiba (Inoue, 1963),6月下旬~8月中旬,年1化。卵越冬と推定。
ナカシロオビエダシャク,Hypomecis definita (Butler, 1881),5~6月と8~9月,年2化。幼虫越冬の可能性が高い。
ウスバミスジエдаシャク,Hypomecis punctinalis (Scopoli, 1763),4~6月と7~8月 (さらに9~10月に3化目),年に2~3化するものと思われる。越冬態は蛹。
