大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,備考,出典
H030,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Aphthonoides,,beccaril,,,,,トゲアシトビハムシ,,,,,,,Aphthonoides beccaril,不明,,ハムシ目録データベース
H031,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopistes,,biplagiatus,,,,,テントウノミハムシ,,,,,,,Argopistes biplagiatus,不明,,ハムシ目録データベース
H032,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopistes,,rufus,,,,,ヘリグロテントウノミハムシ,,,,,,,Argopistes rufus,ラズベリー、モクセイ、ヒイラギモクセイ、キンモクセイ、イボタなど,,ハムシハンドブック
H033,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopistes,,ryukyuensis,,,,,リュウキュウテントウノミハムシ,,,,,,,Argopistes ryukyuensis,不明,,ハムシ目録データベース
H034,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopistes,,tsekooni,,,,,ヒメテントウノミハムシ,,,,,,,Argopistes tsekooni,不明,,ハムシ目録データベース
H035,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopistes,,unicolor,,,,,クロテントウノミハムシ,,,,,,,Argopistes unicolor,不明,,ハムシ目録データベース
H036,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopus,,balyi,,,,,オオキイロマルノミハムシ,,,,,,,Argopus balyi,ボタンヅル,,ハムシハンドブック
H037,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopus,,clarki,,,,,クラークマルノミハムシ,,,,,,,Argopus clarki,不明,,ハムシ目録データベース
H038,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopus,,clypeatus,,,,,オオアカマルノミハムシ,,,,,,,Argopus clypeatus,不明,,ハムシ目録データベース
H039,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopus,,nigripennis,,,,,クロバネマルノミハムシ,,,,,,,Argopus nigripennis,不明,,ハムシ目録データベース
H040,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopus,,punctipennis,,,,,アカイロマルノミハムシ,,,,,,,Argopus punctipennis,不明,,ハムシ目録データベース
H041,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Argopus,,unicolor,,,,,ウスイロマルノミハムシ,,,,,,,Argopus unicolor,不明,,ハムシ目録データベース
H042,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Batophila,,acutangula,,,,,ハネナシトビハムシ,,,,,,,Batophila acutangula,不明,,ハムシ目録データベース
H043,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Batophila,,latissima,,,,,ハバビロハネナシトビハムシ,,,,,,,Batophila latissima,不明,,ハムシ目録データベース
H044,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Bikasha,,collaris,,,,,フタイロセマルトビハムシ,,,,,,,Bikasha collaris,不明,,ハムシ目録データベース
H045,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Bikasha,,nipponica,,,,,コバンマメトビハムシ,,,,,,,Bikasha nipponica,不明,,ハムシ目録データベース
H046,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Bikasha,,simplicithorax,,,,,キイロマメトビハムシ,,,,,,,Bikasha simplicithorax,不明,,ハムシ目録データベース
H047,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Cangshanaltica,,ogatai,,,,,オガタマンマルトビハムシ,,,,,,,Cangshanaltica ogatai,不明,,ハムシ目録データベース
H048,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Chaetocnema),,,,,オカボヒサゴトビハムシ,,,,,,,Chaetocnema (Chaetocnema),不明,,ハムシ目録データベース
H049,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Chaetocnema),,,,,ヒメドウガネトビハムシ,,,,,,,Chaetocnema (Chaetocnema),不明,,ハムシ目録データベース
H050,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Chaetocnema),,,,,キイチゴヒサゴトビハムシ,,,,,,,Chaetocnema (Chaetocnema),不明,,ハムシ目録データベース
H051,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Chaetocnema),,,,,ムギヒサゴトビハムシ,,,,,,,Chaetocnema (Chaetocnema),不明,,ハムシ目録データベース
H052,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Chaetocnema),,,,,ヤマヒサゴトビハムシ,,,,,,,Chaetocnema (Chaetocnema),不明,,ハムシ目録データベース
H053,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Chaetocnema),,,,,ヒサゴトビハムシ,,,,,,,Chaetocnema (Chaetocnema),メヒシバ,,ハムシハンドブック
H054,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Chaetocnema),,,,,ワタラセヒサゴトビハムシ,,,,,,,Chaetocnema (Chaetocnema),不明,,ハムシ目録データベース
H055,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,フタイロヒサゴトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H056,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,テンサイトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H057,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,サツマイモヒサゴトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H058,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,クサイチゴトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H059,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,カンミヤヒサゴトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H060,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,ニセテンサイトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H061,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,アオバドウガネトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H062,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,オオヒサゴトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H063,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Tlanoma),,,,,キイチゴトビハムシ,,,,,,,Chaetocnema (Tlanoma),不明,,ハムシ目録データベース
H064,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Udorpes),,,,,タイワンヒサゴトビハムシ,,,,,,,Chaetocnema (Udorpes),不明,,ハムシ目録データベース
H065,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Chaetocnema,,(Udorpes),,,,,ウミベヒサゴトビハムシ,,,,,,,Chaetocnema (Udorpes),不明,,ハムシ目録データベース
H066,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Clavicornaltica,,nakanoi,,,,,エグリヒゲブトコマルトビハムシ,,,,,,,Clavicornaltica nakanoi,不明,,ハムシ目録データベース
H067,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Clavicornaltica,,sakishimana,,,,,サキシマヒゲブトコマルトビハムシ,,,,,,,Clavicornaltica sakishimana,不明,,ハムシ目録データベース
H068,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Clavicornaltica,,tokushigei,,,,,ツマキレヒゲブトコマルトビハムシ,,,,,,,Clavicornaltica tokushigei,不明,,ハムシ目録データベース
H069,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Crepidodera,,japonica,,,,,ミドリトビハムシ,,,,,,,Crepidodera japonica,不明,,ハムシ目録データベース
H070,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Crepidodera,,sahalinensis,,,,,スズキミドリトビハムシ,,,,,,,Crepidodera sahalinensis,不明,,ハムシ目録データベース
H071,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Crepidodera,,yahiroi,,,,,ヤヒロミドリトビハムシ,,,,,,,Crepidodera yahiroi,不明,,ハムシ目録データベース
H072,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Dibolia,,(Dibolia),,,,,ヤハズトビハムシ,,,,,,,Dibolia (Dibolia),不明,,ハムシ目録データベース
H073,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Disonycha,,politula,,,,,メリケントビハムシ,,,,,,,Disonycha politula,不明,,ハムシ目録データベース
H074,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Epitrix,,hirtipennis,,,,,タバコノミハムシ,,,,,,,Epitrix hirtipennis,タバコなどナス科植物,,ハムシハンドブック
H075,Chrysomelidae,ハムシ科,Alticinae,ヒゲナガハムシ亜科,,,,,Euphitrea,,nisotroides,,,,,ニセタマトビハムシ,,,,,,,Euphitrea nisotroides,不明,,ハムシ目録データベース
