大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,備考,出典
1,Micropterigidae,コバネガ科,,,,,,,Micropterix,,aureatella,,(Scopoli),1763,,モンフタオビコバネ,,,,,,,"Micropterix aureatella (Scopoli, 1763)",不明,,日本産蛾類標準図鑑3
3,Micropterigidae,コバネガ科,,,,,,,Paramartyria,,immaculatella,,Issiki,1931,,ムモンコバネ,,,,,,,"Paramartyria immaculatella Issiki, 1931",マキノゴケ（マキノゴケ科）,,日本産蛾類標準図鑑3
2,Micropterigidae,コバネガ科,,,,,,,Paramartyria,,semifasciella,,Issiki,1931,,マエモンコバネ,,,,,,,"Paramartyria semifasciella Issiki, 1931",マキノゴケ（マキノゴケ科）; オオウロコゴケ（ウロコゴケ科）,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,hyperborea,,Imada & Kato,2018,,ツガルイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,,,
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,leptobelos,,Imada & Kato,2018,,シラカミイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,,,
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,catapasta,,Imada & Kato,2018,,アニイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,,,
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,trochos,,Imada & Kato,2018,,ワガイッシキコバネ,,,,,出版後の追加,新記録・再分類等,,,,
9,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,nudata,,(Issiki),1953,,シロウマズアカヒロコバネ,シロウマズアカヒロコバネ（和名改称）,シロウマヒロコバネ,,,,,"Issikiomartyria nudata (Issiki, 1953)",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,akemiae,,Hashimoto,2006,,ヒメズアカヒロコバネ,ヒメズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria akemiae Hashimoto, 2006",ジャゴケ（ジャゴケ科）と推測される,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,plicata,,Hashimoto,2006,,ニセヒメズアカヒロコバネ,ニセヒメズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria plicata Hashimoto, 2006",ジャゴケ（ジャゴケ科）と推測される,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,distincta,,Hashimoto,2006,,エチゴズアカヒロコバネ,エチゴズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria distincta Hashimoto, 2006",ジャゴケ（ジャゴケ科）と推測される,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Issikiomartyria,,bisegmentata,,Hashimoto,2006,,フタフシズアカヒロコバネ,フタフシズアカヒロコバネ（和名新称）,,,,,,"Issikiomartyria bisegmentata Hashimoto, 2006",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Melinopteryx,,coruscans,,Imada & Kato,2018,,トオヤマタカネコバネ,,,,,出版後の追加,新記録・再分類等,,,,
,Micropterigidae,コバネガ科,,,,,,,Melinopteryx,,bilobata,,Imada & Kato,2018,,イカワタカネコバネ,,,,,出版後の追加,新記録・再分類等,,,,
,Micropterigidae,コバネガ科,,,,,,,Kurokopteryx,,dolichocerata,,Hashimoto,2006,,ホソクロズコバネ,,,,,,,"Kurokopteryx dolichocerata Hashimoto, 2006",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
4,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,nipponensis,,Issiki,1931,,ニッポンヒロコバネ,,,,,,,"Neomicropteryx nipponensis Issiki, 1931",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,kiwana,,Hashimoto,2006,,キイヒロコバネ,キィヒロコバネ; キィヒロコバネ（和名新称）,,,,,,"Neomicropteryx kiwana Hashimoto, 2006",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,redacta,,Hashimoto,2006,,オワセヒロコバネ,オワセヒロコバネ（和名新称）,,,,,,"Neomicropteryx redacta Hashimoto, 2006",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
5,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,matsumurana,,Issiki,1931,,マツムラヒロコバネ,,,,,,,"Neomicropteryx matsumurana Issiki, 1931",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
6,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,bifurca,,Issiki,1953,,サンダンキョウヒロコバネ,,,,,,,"Neomicropteryx bifurca Issiki, 1953",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
8,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,cornuta,,Issiki,1953,,イシヅチヒロコバネ,,,,,,,"Neomicropteryx cornuta Issiki, 1953",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
7,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,elongata,,Issiki,1953,,ツルギヒロコバネ,,,,,,,"Neomicropteryx elongata Issiki, 1953",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
,Micropterigidae,コバネガ科,,,,,,,Neomicropteryx,,kazusana,,Hashimoto,1992,,カズサヒロコバネ,,,,,,,"Neomicropteryx kazusana Hashimoto, 1992",ジャゴケ（ジャゴケ科）,,日本産蛾類標準図鑑3
13,Eriocraniidae,スイコバネガ科,,,,,,,Issikiocrania,,japonicella,,Moriuti,1982,,イッシキスイコバネ,,,,,,,"Issikiocrania japonicella Moriuti, 1982",プナ（プナ科）,,日本産蛾類標準図鑑3
,Eriocraniidae,スイコバネガ科,,,,,,,Eriocrania,,unimaculella,,(Zetterstedt),1839,,シロテンスイコバネ,シロテンスイコバネ（和名新称）,,,,,,"Eriocrania unimaculella (Zetterstedt, 1839)",シラカンバ（カバノキ科）,,日本産蛾類標準図鑑3
