和名,学名,成虫出現時期,出典,備考
クロルリトゲハムシ,Rhadinosa nigrocyanea,5~11月,ハムシハンドブック,
クワノミハムシ,Luperomorpha funesta,4~9月,ハムシハンドブック,
クワハムシ,Fleutiauxia armata,3~8月,ハムシハンドブック,
ケブカクロナガハムシ,Hesperomorpha hirsuta,4~7月,ハムシハンドブック,
コガタカメノコハムシ,Cassida vespertina,4~10月,ハムシハンドブック,
コマルノミハムシ,Nonarthra tibialis,5~10月,ハムシハンドブック,
コヤツボシツツハムシ,Cryptocephalus (Cryptocephalus),4~5月(山地では6~8月),ハムシハンドブック,
サクラサルハムシ,Cleoporus lateralis,5~9月,ハムシハンドブック,
サシゲトビハムシ,Lipromima minuta,4~10月,ハムシハンドブック,
サメハダツブノミハムシ,Aphthona strigosa,4~10月,ハムシハンドブック,
サンゴジュハムシ,Pyrrhalta lineatipes,5~10月(7~8月は夏眠),ハムシハンドブック,
ジュウシホシツツハムシ,Cryptocephalus (Cryptocephalus),6~8月,ハムシハンドブック,
ジンガサハムシ,Aspidimorpha (Aspidimorpha),4~9月,ハムシハンドブック,
スイバトビハムシ,Mantura (Mantura),5~6月,ハムシハンドブック,
スキバジンガサハムシ,Aspidimorpha (Aspidimorpha),4~11月,ハムシハンドブック,
スジカミナリハムシ,Altica latericosta,4~9月,ハムシハンドブック,
スズキミドリトビハムシ,Crepidodera sahalinensis,4~10月,ハムシハンドブック,
セスジツツハムシ,Cryptocephalus (Cryptocephalus),4~9月,ハムシハンドブック,
セモンジンガサハムシ,Cassida crucifera,4~10月,ハムシハンドブック,
ソラマメゾウムシ,Bruchus rufimanus,年1回発生,ハムシハンドブック,
タテスジキツツハムシ,Cryptocephalus (Burlinius),6~8月,ハムシハンドブック,
タテスジヒメジンガサハムシ,Cassida circumdata,3~8月,ハムシハンドブック,
タニガワモクメキリガ,"Brachionycha permixta Sugi, 1970",3~4月,日本のキリガ,
タバコノミハムシ,Epitrix hirtipennis,5~11月,ハムシハンドブック,
タマアシトビハムシ,Philopona vibex,3~11月,ハムシハンドブック,
タマツツハムシ,Adiscus lewisii,6~9月,ハムシハンドブック,
チビカサハラハムシ,Demotina decorata,4~10月,ハムシハンドブック,
チビルリツツハムシ,Cryptocephalus (Burlinius),5~6月(山地では7~8月),ハムシハンドブック,
チャイロサルハムシ,Basilepta balyi,4~10月,ハムシハンドブック,
チャバネツヤハムシ,Phygasia fulvipennis,4~7月,ハムシハンドブック,
ツシマヘリビロトゲハムシ,Platypria (Platypria),5~10月,ハムシハンドブック,
ツツジコブハムシ,Chlamisus laticollis,4~10月,ハムシハンドブック,
ツブノミハムシ,Aphthona perminuta,3~11月,ハムシハンドブック,
ツマキタマノミハムシ,Sphaeroderma apicale,4~11月,ハムシハンドブック,
トゲアシクビボソハムシ,Lema (Lema),4~11月,ハムシハンドブック,
トビサルハムシ,Trichochrysea japana,4~6月(低山地では5~8月),ハムシハンドブック,
トホシクビボソハムシ,Lema (Lema),3~11月,ハムシハンドブック,
ドウガネサルハムシ,Heteraspis lewisii,3~11月,ハムシハンドブック,
ドウガネツヤハムシ,Oomorphoides cupreatus,3~10月,ハムシハンドブック,
ナガトビハムシ,Liprus punctatostriatus,4~7月,ハムシハンドブック,
ナガヒラタハムシ,Brontispa longissima,4~6月(おそらく周年),ハムシハンドブック,
ナトビハムシ,Psylliodes (Psylliodes),3~11月,ハムシハンドブック,
ニホンケブカサルハムシ,Fidia japonica,4~7月,ハムシハンドブック,
ニレハムシ,Xanthogaleruca maculicollis,4~10月,ハムシハンドブック,
ハギツツハムシ,Pachybrachis (Pachybrachis),5~10月,ハムシハンドブック,
ハラグロヒメハムシ,Taphinellina cyanea,4~9月,ハムシハンドブック,
ハンノキハムシ,Agelastica coerulea,4~8月(山地では8~10月),ハムシハンドブック,
ヒゲナガルリマルノミハムシ,Hemipyxis plagioderoides,4~8月,ハムシハンドブック,
ヒゴトゲハムシ,Dactylispa (Triplispa),6月,ハムシハンドブック,
ヒサゴトビハムシ,Chaetocnema (Chaetocnema),4~10月,ハムシハンドブック,
ヒメカメノコハムシ,Cassida piperata,4~10月,ハムシハンドブック,
ヒメキベリトゲハムシ,Dactylispa (Triplispa),4~11月,ハムシハンドブック,
ヒメジンガサハムシ,Cassida fuscorufa,4~11月,ハムシハンドブック,
ヒロアシタマノミハムシ,Sphaeroderma tarsatum,4~9月,ハムシハンドブック,
ヒロヒゲツツハムシ,Diachus auratus,3~5月,ハムシハンドブック,
フェモラータモモブトハムシ,Sagra femorata,7~8月,ハムシハンドブック,
フタスジヒメハムシ,Medythia nigrobilineata,5~10月,ハムシハンドブック,
フタホシオオノミハムシ,Pseudodera xanthospila,4~7月,ハムシハンドブック,
ブタクサハムシ,Ophraella communa,3~10月,ハムシハンドブック,
ブチヒゲケブカハムシ,Pyrrhalta annulicornis,5~10月,ハムシハンドブック,
ブドウサルハムシ,Bromius obscurus,5~9月,ハムシハンドブック,
ヘリグロテントウノミハムシ,Argopistes rufus,4~11月,ハムシハンドブック,
ベニカメノコハムシ,Cassida murraea,6~8月,ハムシハンドブック,
ホソルリトビハムシ,Aphthonaltica angustata,3~7月,ハムシハンドブック,
ホタルハムシ,Monolepta dichroa,6~11月,ハムシハンドブック,
マダラアラゲサルハムシ,Demotina fasciculata,4~10月,ハムシハンドブック,
ミカンカメノコハムシ,Cassida obtusata,3~10月,ハムシハンドブック,
ミドリカメノコハムシ,Cassida erudita,5~7月,ハムシハンドブック,
ミドリトビハムシ,Crepidodera japonica,5~10月,ハムシハンドブック,
ムシクソハムシ,Chlamisus spilotus,4~9月,ハムシハンドブック,
ムナキルリハムシ,Smaragdina semiaurantiaca,4~6月,ハムシハンドブック,
ムナグロツヤハムシ,Arthrotus niger,3~10月,ハムシハンドブック,
ムネアカキバネサルハムシ,Pagria consimilis,3~11月,ハムシハンドブック,
ムネアカサルハムシ,Basilepta ruficollis,6~9月,ハムシハンドブック,
ムネアカタマノミハムシ,Sphaeroderma placidum,3~7月,ハムシハンドブック,
モンキアシナガハムシ,Monolepta quadriguttata,5~10月,ハムシハンドブック,
ヤツボシツツハムシ,Cryptocephalus (Cryptocephalus),4~6月(山地では6~7月),ハムシハンドブック,
ヤマイモハムシ,Lema (Petauristes),4~10月,ハムシハンドブック,
ヨツキボシハムシ,Hamushia eburata,3~7月,ハムシハンドブック,
ヨツボシナガツツハムシ,Clytra (Clytra),6~10月,ハムシハンドブック,
ヨツボシハムシ,Paridea (Paridea),4~9月,ハムシハンドブック,
ヨツモンカメノコハムシ,Laccoptera (Laccopteroidea),4~12月,ハムシハンドブック,
ヨツモンクロツツハムシ,Cryptocephalus (Cryptocephalus),4~5月(山地では6~7月),ハムシハンドブック,
ヨモギトビハムシ,Longitarsus (Longitarsus),4~10月,ハムシハンドブック,
リンゴコフキハムシ,Fidia atra,4~7月(山地では7~9月),ハムシハンドブック,
ルリサルハムシ,Basilepta modesta,4~9月,ハムシハンドブック,
ルリナガスネトビハムシ,Psylliodes (Psylliodes),4~10月,ハムシハンドブック,
ルリマルノミハムシ,Nonarthra cyanea,3~11月,ハムシハンドブック,
スミレモンキリガ,Sugitania akirai Sugi 1990,10~11月,日本産蛾類標準図鑑2,年1化

