大図鑑カタログNo,科名,科和名,亜科名,亜科和名,族名,族和名,亜族名,亜族和名,属名,亜属名,種小名,亜種小名,著者,公表年,類似種,和名,旧和名,別名,その他の和名,亜種範囲,標準図鑑ステータス,標準図鑑以後の変更,学名,食草,食草に関する備考,出典
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Taeniophila,,unio,,(Oberthür),1880,,ミスジシロエダシャク,,,,,,,"Taeniophila unio (Oberthür, 1880)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Lamprocabera,,candidaria,,(Leech),1897,,フタオビシロエダシャク,,,,,,,"Lamprocabera candidaria (Leech, 1897)",ズミ(バラ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Lomographa,,inamata,,(Walker),1861,,マエキシロエダシャク,,,,,,,"Lomographa inamata (Walker, 1861)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Lomographa,,simplicior,,(Butler),1881,,クロズウスキエダシャク,クロズウスキエダシャク,,,,,,"Lomographa simplicior (Butler, 1881)",ミズナラ; クヌギ(以上ブナ科); ズミ; マメザクラ; ウワミズザクラ; ナナカマド (以上バラ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Lomographa,,bimaculata,,(Fabricius),1775,,フタホシシロエダシャク,フタホシシロエダシャク,,,,,,"Lomographa bimaculata (Fabricius, 1775)",ソメイヨシノ; カスミザクラ; マメザクラ; ウワミズザクラ; ナナカマド; モモ(以上バラ科); 同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Lomographa,,temerata,,(Denis & Schiffermüller),1775,,バラシロエダシャク,,,,,,,"Lomographa temerata (Denis & Schiffermüller, 1775)",ウワミズザクラ; マメザクラ; カスミザクラ; モモ; ズミ; ナナカマド(以上バラ科); 同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Lomographa,,subspersata,,(Wehrli),1939,,ウスフタスジシロエダシャク,,,,,,,"Lomographa subspersata (Wehrli, 1939)",ソメイヨシノ; マメザクラ; リンゴ; ズミ; ナナカマド(以上バラ科); バラ科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Lomographa,,claripennis,,Inoue,1977,,オオフタスジシロエダシャク,,,,,,,"Lomographa claripennis Inoue, 1977",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Lomographa,,nivea,,(Djakonov),1936,,ウスオビシロエダシャク,,,,,,,"Lomographa nivea (Djakonov, 1936)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Cabera,,insulata,,Inoue,1958,,ミスジコナフエダシャク,,,,,,,"Cabera insulata Inoue, 1958",ヤマネコヤナギ; キツネヤナギ(以上ヤナギ科); ヤナギ属各種につくものと思われる,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Cabera,,schaefferi,,Bremer,1864,,ヒラヤマシロエダシャク,,,,,,,"Cabera schaefferi Bremer, 1864",ツノハシバミ (カバノキ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Cabera,,purus,,(Butler),1878,,コスジシロエダシャク,,,,,,,"Cabera purus (Butler, 1878)",ヤシャブシ; ヒメヤシャブシ; ヤマハンノキ; ミヤマカワラハンノキ; シラカンバ(以上カバノキ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Cabera,,griseolimbata,,(Oberthür),1879,,アトグロアミメエダシャク,アトグロアミメエダシャク,,,,,,"Cabera griseolimbata (Oberthür, 1879)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Parabapta,,aetheriata,,(Graeser),1889,,フタスジウスキエダシャク,,,,,,,"Parabapta aetheriata (Graeser, 1889)",イタヤカエデ(ムクロジ科),,Acer属の他の植物にもつくと思われる; 日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Parabapta,,iharai,,Yazaki,1989,,イハラエダシャク,,,,,,,"Parabapta iharai Yazaki, 1989",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Parabapta,,clarissa,,(Butler),1878,,ウスアオエダシャク,,,,,,,"Parabapta clarissa (Butler, 1878)",クヌギ; ミズナラ; アベマキ; クリ(以上ブナ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Rhynchobapta,,cervinaria,,(Moore),1888,,フタスジオエダシャク,フタスジオエダシャク,,,,,,"Rhynchobapta cervinaria (Moore, 1888)",アオハダ; ミヤマウメモドキ(以上モチノキ科); タンナサワフタギ(ハイノキ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Rhynchobapta,,eburnivena,,(Warren),1896,,シロミャクオエダシャク,,,,,,,"Rhynchobapta eburnivena (Warren, 1896)",モチノキ; タラヨウ(以上モチノキ科); モチノキ属に固有と思われる,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Plesiomorpha,,flaviceps,,(Butler),1881,,マエキオエダシャク,,,,,,,"Plesiomorpha flaviceps (Butler, 1881)",イヌツゲ; ソヨゴ; アオハダ; ミヤマウメモドキ; ムッチャガラ(以上モチノキ科); モチノキ属に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Plesiomorpha,,punctilinearia,,(Leech),1891,,モンオビオエダシャク,,,,,,,"Plesiomorpha punctilinearia (Leech, 1891)",イヌツゲ (モチノキ科); モチノキ属の他の植物からの報告はない,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Nadagara,,prosigna,,Prout,1930,,フタモントガリエダシャク,,,,,,,"Nadagara prosigna Prout, 1930",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Nadagara,,subnubila,,Inoue,1967,,ミナミトガリエダシャク,,,,,,,"Nadagara subnubila Inoue, 1967",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Boninnadagara,,crinomorpha,,Inoue,1994,,マルバエダシャク,,,,,,,"Boninnadagara crinomorpha Inoue, 1994",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Pseudepione,,magnaria,,(Wileman),1911,,ニッコウキエダシャク,,,,,,,"Pseudepione magnaria (Wileman, 1911)",サワフタギ (ハイノキ科); 古くズミ (バラ科)の記録もあるが再確認されていない,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Pseudepione,,shiraii,,Inoue,1943,,フタテンソトグロキエダシャク,,,,,,,"Pseudepione shiraii Inoue, 1943",ヒメシャラ(ツバキ科); 分布域から推定すると; 同属のナツツバキ(ツバキ科)にもつく可能性は大きいが未確認である,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Euchristophia,,cumulata,,(Christoph),1881,,ウスオビヒメエダシャク,ウスオビヒメエダシャク,,,,,,"Euchristophia cumulata (Christoph, 1881)",ウリハダカエデ; ウリカエデ; オガラバナ(以上ムクロジ科); カエデ属に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Synegia,,hadassa,,(Butler),1878,,ハグルマエダシャク,ハグルマエダシャク,,,,,,"Synegia hadassa (Butler, 1878)",アオハダ; ソヨゴ; イヌツゲ (以上モチノキ科)。モチノキ属に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Synegia,,pallens,,Inoue,1982,,アベリアハグルマエダシャク,アベリアハグルマエダシャク,,,,,,"Synegia pallens Inoue, 1982",ウゴツクバネウツギ; コツクバネウツギ,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Synegia,,,,,,,マルハグルマエダシャク,,,,,,,"Synegia ichinosawaiana (Matsumura, 1925)",イヌツゲ; アオハダ(以上モチノキ科); モチノキ属に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Synegia,,limitatoides,,Inoue,1982,,スジハグルマエダシャク,,,,,,,"Synegia limitatoides Inoue, 1982",アオハダ (モチノキ科); モチノキ属の他種にもつくであろう,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Synegia,,ohtsukai,,Sato,1990,,オオツカハグルマエダシャク,,,,,,,"Synegia ohtsukai Sato, 1990",不明,,日本産蛾類標準図鑑1
,不明,,
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Synegia,,masuii,,Sato,1990,,ミナミハグルマエダシャク,,,,,,,"Synegia masuii Sato, 1990",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Synegia,,esther,,Butler,1881,,クロハグルマエダシャク,,,,,,,"Synegia esther Butler, 1881",イヌツゲ; クロガネモチ; タラヨウ(以上モチノキ科); モチノキ属に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Borbacha,,pardaria,,(Guenée),1858,,オオハグルマエダシャク,,,,,,,"Borbacha pardaria (Guenée, 1858)",フウトウカズラ (コショウ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Ecpetelia,,albifrontaria,,(Leech),1891,,シロズエダシャク,,,,,,,"Ecpetelia albifrontaria (Leech, 1891)",ケンポナシ (クロウメモドキ科); おそらく同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Petelia,,rivulosa,,(Butler),1881,,コトビスジエダシャク,,,,,,,"Petelia rivulosa (Butler, 1881)",ケンポナシ (クロウメモドキ科); おそらく同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Astygisa,,morosa,,(Butler),1881,,ヨスジアカエダシャク,ヨスジアカエダシャク,,,,,,"Astygisa morosa (Butler, 1881)",ケンポナシ (クロウメモドキ科); おそらく同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Astygisa,,chlororphnodes,,(Wehrli),1936,,オオヨスジアカエダシャク,,,,,,,"Astygisa chlororphnodes (Wehrli, 1936)",ケンポナシ (クロウメモドキ科); おそらく同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Hypephyra,,terrosa,,Butler,1889,,ウラキトガリエダシャク,ウラキトガリエダシャク,,,,,,"Hypephyra terrosa Butler, 1889",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Hyperythra,,lutea,,(Stoll),1781,,クガニエダシャク,,,,,,,"Hyperythra lutea (Stoll, 1781)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Platycerota,,incertaria,,(Leech),1891,,ツマキエダシャク,,,,,,,"Platycerota incertaria (Leech, 1891)",イヌツゲ; ソヨゴ; ミヤマウメモドキ(以上モチノキ科) モチノキ属に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Platycerota,,particolor,,(Warren),1896,,ツマキアカエダシャク,,,,,,,"Platycerota particolor (Warren, 1896)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Chiasmia,,defixaria,,(Walker),1861,,フタテンオエダシャク,,,,,,,"Chiasmia defixaria (Walker, 1861)",ネムノキ (マメ科)に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Chiasmia,,cinerearia,,(Bremer & Grey),1853,,ナガオエダシャク,,,,,,,"Chiasmia cinerearia (Bremer & Grey, 1853)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Chiasmia,,hebesata,,(Walker),1861,,ウスオエダシャク,,,,,,,"Chiasmia hebesata (Walker, 1861)",ヤマハギ; マルバハギ; メドハギ; ヤハズソウ(以上マメ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Chiasmia,,emersaria,,(Walker),1861,,オキナワオエダシャク,,,,,,,"Chiasmia emersaria (Walker, 1861)",ホウオウボク; ソウシジュ（インドではマメ科; グミ科; ギョリュウ科; シクンシ科の報告あり）,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Chiasmia,,clathrata,,(Linnaeus),1758,,ヒメアミメエダシャク,ヒメアミメエダシャク,,,,,,"Chiasmia clathrata (Linnaeus, 1758)",不明,,日本産蛾類標準図鑑1
,不明,,
,不明,,
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Macaria,,shanghaisaria,,Walker,1861,,シャンハイオエダシャク,,,,,,,"Macaria shanghaisaria Walker, 1861",タチヤナギ; オノエヤナギ; シダレヤナギ (ヤナギ属); セイヨウハコヤナギ (ヤマナラシ属) (以上ヤナギ科); 同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Macaria,,fuscaria,,(Leech),1891,,シロオビオエダシャク,,,,,,,"Macaria fuscaria (Leech, 1891)",カラマツ; エゾマツ(以上マツ科); 生息域が広いのでマツ科を中心に他の針葉樹につく可能性も大きい,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Macaria,,signaria,,(Hübner),1809,,シナノオエダシャク,シナノオエダシャク,,,,,,"Macaria signaria (Hübner, 1809)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Macaria,,liturata,,(Clerck),1759,,チャオビオエダシャク,チャオビオエダシャク,,,,,,"Macaria liturata (Clerck, 1759)",ハイマツ; カラマツ(以上マツ科); 他のマツ科植物にもつくと思われる,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Macaria,,abydata,,Guenée,1858,,ギンネムエダシャク,,,,,,,"Macaria abydata Guenée, 1858",小笠原諸島では; ギンネム (ギンゴウカン) とアメリカネムノキ(以上マメ科); 沖縄島ではギンネムのほかにハイクサネムとホウオウボク(以上マメ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Macaria,,brunneata,,(Thunberg),1784,,キトビエダシャク,キトビエダシャク,,,,,,"Macaria brunneata (Thunberg, 1784)",クロマメノキ; コケモモ(以上ツツジ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Oxymacaria,,normata,,(Alphéraky),1892,,ウスキオエダシャク,ウスキオエダシャク,,,,,,"Oxymacaria normata (Alphéraky, 1892)",アキグミ(グミ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Oxymacaria,,temeraria,,(Swinhoe),1891,,クロモンオエダシャク,,,,,,,"Oxymacaria temeraria (Swinhoe, 1891)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Oxymacaria,,pryeri,,(Butler),1879,,フトスジオエダシャク,,,,,,,"Oxymacaria pryeri (Butler, 1879)",マルバハギ (マメ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Isturgia,,vapulata,,(Butler),1879,,ウスネズミエダシャク,,,,,,,"Isturgia vapulata (Butler, 1879)",アキグミ(グミ科); 同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Isturgia,,arenacearia,,(Denis & Schiffermüller),1775,,ソトオビエダシャク,,,,,,,"Isturgia arenacearia (Denis & Schiffermüller, 1775)",飼育条件下ではツルフジバカマ; クサフジ; ヤハズエンドウなどマメ科植物で飼育に成功している。野外では未確認。国外ではヨーロッパや中国でもマメ科につくことが知られる,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Luxiaria,,amasa,,(Butler),1878,,トビカギバエダシャク,トビカギバエダシャク,,,,,,"Luxiaria amasa (Butler, 1878)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Luxiaria,,mitorrhaphes,,Prout,1925,,ミナミトビカギバエダシャク,,,,,,,"Luxiaria mitorrhaphes Prout, 1925",不明,,日本産蛾類標準図鑑1
,不明,,
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Pseudonadagara,,semicolor,,(Warren),1895,,キトビカギバエダシャク,,,,,,,"Pseudonadagara semicolor (Warren, 1895)",アデク (フトモモ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Pseudonadagara,,hepatica,,Inoue,1994,,カギバエダシャク,,,,,,,"Pseudonadagara hepatica Inoue, 1994",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Gonodontis,,pallida,,(Butler),1880,,スエヒロエダシャク,,,,,,,"Gonodontis pallida (Butler, 1880)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Aporhoptrina,,semiorbiculata,,(Christoph),1881,,アトムスジエダシャク,,,,,,,"Aporhoptrina semiorbiculata (Christoph, 1881)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Monocerotesa,,lutearia,,(Leech),1891,,クロフキエダシャク,,,,,,,"Monocerotesa lutearia (Leech, 1891)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Glacies,,coracina,,(Esper),1805,,ダイセツタカネエダシャク,ダイセツタカネエダシャク,,,,,,"Glacies coracina (Esper, 1805)",ガンコウラン(ツツジ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Bupalus,,vestalis,,Staudinger,1897,,ヘリグロエダシャク,ヘリグロエダシャク,,,,,,"Bupalus vestalis Staudinger, 1897",マツ科と推定される,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Krananda,,semihyalina,,Moore,1868,,スカシエダシャク,,,,,,,"Krananda semihyalina Moore, 1868",クスノキ; ヤブニッケイ(以上クスノキ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Krananda,,latimarginaria,,Leech,1891,,ツマジロエダシャク,,,,,,,"Krananda latimarginaria Leech, 1891",クスノキ(クスノキ科); オガタマノキ(モクレン科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Epobeidia,,tigrata,,(Guenée),1858,,キベリゴマフエダシャク,キベリゴマフエダシャク,,,,,,"Epobeidia tigrata (Guenée, 1858)",ツルウメモドキ (ニシキギ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Cystidia,,stratonice,,(Stoll),1782,,トンボエダシャク,,,,,,,"Cystidia stratonice (Stoll, 1782)",ツルウメモドキ (ニシキギ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Cystidia,,truncangulata,,Wehrli,1934,,ヒロオビトンボエダシャク,,,,,,,"Cystidia truncangulata Wehrli, 1934",ツルウメモドキ(ニシキギ科); マユミ(ニシキギ科) から幼虫が得られた例があるが; その後確認されていない,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Cystidia,,couaggaria,,(Guenée),1858,,ウメエダシャク,ウメエダシャク,,,,,,"Cystidia couaggaria (Guenée, 1858)",ウメ; モモ; リンゴなどバラ科; カバノキ科; ブナ科; エゴノキ科; スイカズラ科; ニシキギ科; 食性の幅はかなり広い,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Euryobeidia,,languidata,,(Walker),1862,,シロジマエダシャク,シロジマエダシャク,,,,,,"Euryobeidia languidata (Walker, 1862)",モチノキ(モチノキ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Antipercnia,,albinigrata,,(Warren),1896,,ゴマダラシロエダシャク,ゴマダラシロエダシャク,,,,,,"Antipercnia albinigrata (Warren, 1896)",アオモジ; クロモジ; ダンコウバイ; ヤマコウバシ(以上クスノキ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Parapercnia,,giraffata,,(Guenée),1858,,オオゴマダラエダシャク,,,,,,,"Parapercnia giraffata (Guenée, 1858)",カキノキ; シナノガキ(以上カキノキ科); 同科に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Pogonopygia,,nigralbata,,Warren,1894,,クロフオオシロエダシャク,クロフオオシロエダシャク,,,,,,"Pogonopygia nigralbata Warren, 1894",シキミ(マツブサ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Pogonopygia,,pavida,,(Bastelberger),1911,,タイワンオオシロエダシャク,タイワンオオシロエダシャク,,,,,,"Pogonopygia pavida (Bastelberger, 1911)",ヤエヤマシキミ(マツブサ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Dilophodes,,elegans,,(Butler),1878,,クロフシロエダシャク,クロフシロエダシャク,,,,,,"Dilophodes elegans (Butler, 1878)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Milionia,,zonea,,Moore,1872,,キオビエダシャク,キオビエダシャク,,,,,,"Milionia zonea Moore, 1872",イヌマキ; ナギ(以上マキ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Metabraxas,,paucimaculata,,Inoue,1955,,ウスゴマダラエダシャク,,,,,,,"Metabraxas paucimaculata Inoue, 1955",幼虫は発見されていないが; コブシ; タムシバなど Magnolia (モクレン科)で飼育に成功,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Metabraxas,,clerica,,Butler,1881,,オオシロエダシャク,,,,,,,"Metabraxas clerica Butler, 1881",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Arichanna,,pryeraria,,Leech,1891,,プライヤエダシャク,,,,,,,"Arichanna pryeraria Leech, 1891",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Arichanna,,albomacularia,,Leech,1891,,シロホシエダシャク,,,,,,,"Arichanna albomacularia Leech, 1891",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Arichanna,,tetrica,,(Butler),1878,,キジマエダシャク,,,,,,,"Arichanna tetrica (Butler, 1878)",ガマズミ; オオカメノキ,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Arichanna,,melanaria,,(Linnaeus),1758,,キシタエダシャク,キシタエダシャク,,,,,,"Arichanna melanaria (Linnaeus, 1758)",アセビ; ミヤマキリシマ; レンゲツツジ; ヤマツツジ; イソツツジ; ガンコウラン(以上ツツジ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Arichanna,,gaschkevitchii,,(Motschulsky),1861,,ヒョウモンエダシャク,ヒョウモンエダシャク,,,,,,"Arichanna gaschkevitchii (Motschulsky, 1861)",アセビ; ハナヒリノキ; レンゲツツジ; クロマメノキ(以上ツツジ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Alcis,,angulifera,,(Butler),1878,,ナカウスエダシャク,,,,,,,"Alcis angulifera (Butler, 1878)",広食性,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Alcis,,medialbifera,,Inoue,1972,,ヒメナカウスエダシャク,,,,,,,"Alcis medialbifera Inoue, 1972",モミ; トドマツ; コメツガ; トウヒ(以上マツ科); 針葉樹に固有,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Alcis,,jubata,,(Thunberg),1788,,コケエダシャク,コケエダシャク,,,,,,"Alcis jubata (Thunberg, 1788)",バンダイキノリ; コフキイバラキノリ (以上サルオガセ科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Alcis,,pryeraria,,(Leech),1897,,オオナカホシエダシャク,,,,,,,"Alcis pryeraria (Leech, 1897)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Alcis,,picata,,(Butler),1881,,シロシタオビエダシャク,,,,,,,"Alcis picata (Butler, 1881)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Alcis,,extinctaria,,(Eversmann),1851,,イツスジエダシャク,イツスジエダシャク,,,,,,"Alcis extinctaria (Eversmann, 1851)",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Pseuderannis,,lomozemia,,(Prout),1930,,ウスバキエダシャク,,,,,,,"Pseuderannis lomozemia (Prout, 1930)",広食性,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Pseuderannis,,amplipennis,,(Inoue),1942,,ウスバシロエダシャク,,,,,,,"Pseuderannis amplipennis (Inoue, 1942)",コナラ(ブナ科); マンサク (マンサク科); ユキツバキ(ツバキ科); 広食性,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Rikiosatoa,,grisea,,(Butler),1878,,フタヤマエダシャク,,,,,,,"Rikiosatoa grisea (Butler, 1878)",アカマツ (マツ科); 他のマツ科植物; さらには他の針葉樹類にもつく可能性がある,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Ramobia,,basifuscaria,,(Leech),1891,,ネグロエダシャク,,,,,,,"Ramobia basifuscaria (Leech, 1891)",ホオノキ(モクレン科),,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Ramobia,,mediodivisa,,Inoue,1953,,ナカジロネグロエダシャク,,,,,,,"Ramobia mediodivisa Inoue, 1953",不明,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Hesperumia,,babai,,Sato,1980,,ババエダシャク,,,,,,,"Hesperumia babai Sato, 1980",マルバマンサク (マンサク科); 広食性,,日本産蛾類標準図鑑1
,Geometridae,シャクガ科,Ennominae,エダシャク亜科,,,,,Hesperumia,,silvicola,,(Inoue),1953,,マダラシロエダシャク,,,,,,,"Hesperumia silvicola (Inoue, 1953)",不明,,日本産蛾類標準図鑑1
